"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,134
Timestep, Region,"Spanish mackerel juv"_0,"Spanish mackerel juv"_1,"Spanish mackerel juv"_2,"Spanish mackerel juv"_3,"Spanish mackerel juv"_4,"Spanish mackerel juv"_5,"Spanish mackerel juv"_6,"Spanish mackerel juv"_7,"Spanish mackerel juv"_8,"Spanish mackerel juv"_9,"Spanish mackerel juv"_10,"Spanish mackerel juv"_11,"Spanish mackerel adult"_12,"Spanish mackerel adult"_13,"Spanish mackerel adult"_14,"Spanish mackerel adult"_15,"Spanish mackerel adult"_16,"Spanish mackerel adult"_17,"Spanish mackerel adult"_18,"Spanish mackerel adult"_19,"Spanish mackerel adult"_20,"Spanish mackerel adult"_21,"Spanish mackerel adult"_22,"Spanish mackerel adult"_23,"Spanish mackerel adult"_24,"Spanish mackerel adult"_25,"Spanish mackerel adult"_26,"Spanish mackerel adult"_27,"Spanish mackerel adult"_28,"Spanish mackerel adult"_29,"Spanish mackerel adult"_30,"Spanish mackerel adult"_31,"Spanish mackerel adult"_32,"Spanish mackerel adult"_33,"Spanish mackerel adult"_34,"Spanish mackerel adult"_35,"Spanish mackerel adult"_36,"Spanish mackerel adult"_37,"Spanish mackerel adult"_38,"Spanish mackerel adult"_39,"Spanish mackerel adult"_40,"Spanish mackerel adult"_41,"Spanish mackerel adult"_42,"Spanish mackerel adult"_43,"Spanish mackerel adult"_44,"Spanish mackerel adult"_45,"Spanish mackerel adult"_46,"Spanish mackerel adult"_47,"Spanish mackerel adult"_48,"Spanish mackerel adult"_49,"Spanish mackerel adult"_50,"Spanish mackerel adult"_51,"Spanish mackerel adult"_52,"Spanish mackerel adult"_53,"Spanish mackerel adult"_54,"Spanish mackerel adult"_55,"Spanish mackerel adult"_56,"Spanish mackerel adult"_57,"Spanish mackerel adult"_58,"Spanish mackerel adult"_59,"Spanish mackerel adult"_60,"Spanish mackerel adult"_61,"Spanish mackerel adult"_62,"Spanish mackerel adult"_63,"Spanish mackerel adult"_64,"Spanish mackerel adult"_65,"Spanish mackerel adult"_66,"Spanish mackerel adult"_67,"Spanish mackerel adult"_68,"Spanish mackerel adult"_69,"Spanish mackerel adult"_70,"Spanish mackerel adult"_71,"Spanish mackerel adult"_72,"Spanish mackerel adult"_73,"Spanish mackerel adult"_74,"Spanish mackerel adult"_75,"Spanish mackerel adult"_76,"Spanish mackerel adult"_77,"Spanish mackerel adult"_78,"Spanish mackerel adult"_79,"Spanish mackerel adult"_80,"Spanish mackerel adult"_81,"Spanish mackerel adult"_82,"Spanish mackerel adult"_83,"Spanish mackerel adult"_84,"Spanish mackerel adult"_85,"Spanish mackerel adult"_86,"Spanish mackerel adult"_87,"Spanish mackerel adult"_88,"Spanish mackerel adult"_89,"Spanish mackerel adult"_90,"Spanish mackerel adult"_91,"Spanish mackerel adult"_92,"Spanish mackerel adult"_93,"Spanish mackerel adult"_94,"Spanish mackerel adult"_95,"Spanish mackerel adult"_96,"Spanish mackerel adult"_97,"Spanish mackerel adult"_98,"Spanish mackerel adult"_99,"Spanish mackerel adult"_100,"Spanish mackerel adult"_101,"Spanish mackerel adult"_102,"Spanish mackerel adult"_103,"Spanish mackerel adult"_104,"Spanish mackerel adult"_105,"Spanish mackerel adult"_106,"Spanish mackerel adult"_107,"Spanish mackerel adult"_108,"Spanish mackerel adult"_109,"Spanish mackerel adult"_110,"Spanish mackerel adult"_111,"Spanish mackerel adult"_112,"Spanish mackerel adult"_113,"Spanish mackerel adult"_114,"Spanish mackerel adult"_115,"Spanish mackerel adult"_116,"Spanish mackerel adult"_117,"Spanish mackerel adult"_118,"Spanish mackerel adult"_119,"Spanish mackerel adult"_120,"Spanish mackerel adult"_121,"Spanish mackerel adult"_122,"Spanish mackerel adult"_123,"Spanish mackerel adult"_124,"Spanish mackerel adult"_125,"Spanish mackerel adult"_126,"Spanish mackerel adult"_127,"Spanish mackerel adult"_128,"Spanish mackerel adult"_129,"Spanish mackerel adult"_130,"Spanish mackerel adult"_131,"Spanish mackerel adult"_132,"Spanish mackerel adult"_133,"Spanish mackerel adult"_134
0,Ecosim Base Values,0.2953762,0.2591092,0.2272952,0.1993874,0.1749062,0.1534308,0.1345922,0.1180667,0.1035702,0.09085362,0.07969841,0.06991286,0.06132881,0.05659763,0.05223144,0.04820208,0.04448356,0.04105191,0.03788498,0.03496237,0.03226522,0.02977614,0.02747907,0.02535922,0.0234029,0.0215975,0.01993137,0.01839378,0.0169748,0.01566529,0.0144568,0.01334154,0.01231232,0.01136249,0.01048594,0.009677006,0.008930479,0.008241544,0.007605755,0.007019014,0.006477536,0.00597783,0.005516674,0.005091093,0.004698344,0.004335893,0.004001404,0.003692718,0.003407845,0.003144949,0.002902334,0.002678435,0.002471809,0.002281123,0.002105147,0.001942747,0.001792875,0.001654564,0.001526924,0.001409131,0.001300424,0.001200104,0.001107522,0.001022083,0.0009432352,0.0008704699,0.000803318,0.0007413466,0.0006841558,0.000631377,0.0005826699,0.0005377202,0.0004962381,0.0004579561,0.0004226273,0.000390024,0.0003599359,0.0003321689,0.0003065439,0.0002828958,0.000261072,0.0002409317,0.0002223452,0.0002051925,0.0001893631,0.0001747548,0.0001612734,0.0001488321,0.0001373505,0.0001267547,0.0001169763,0.0001079522,9.962432E-05,9.193887E-05,8.48463E-05,7.830089E-05,7.226042E-05,6.668593E-05,6.154148E-05,5.67939E-05,5.241257E-05,4.836923E-05,4.463782E-05,4.119426E-05,3.801635E-05,3.508361E-05,3.237711E-05,2.987939E-05,2.757437E-05,2.544716E-05,2.348405E-05,2.167239E-05,2.000049E-05,1.845756E-05,1.703366E-05,1.571961E-05,1.450693E-05,1.33878E-05,1.235501E-05,1.140189E-05,1.05223E-05,9.710561E-06,8.961446E-06,8.270121E-06,7.632128E-06,7.043352E-06,6.499997E-06,5.998559E-06,5.535804E-06,5.108748E-06,4.714636E-06,4.350929E-06,4.015279E-06,3.705523E-06,4.432808E-05
1,1,0.01100353,0.008788058,0.007781227,0.006831419,0.006025098,0.005337904,0.004570845,0.004459157,0.00437485,0.003251922,0.003160123,0.003390789,0.002848968,0.00330623,0.003524654,0.003155575,0.003369617,0.004134332,0.003936454,0.005496628,0.005069649,0.005628115,0.006541635,0.007874998,0.008617525,0.009237718,0.007786856,0.007690977,0.007558244,0.006966096,0.006997749,0.006650941,0.00658808,0.006103243,0.005427997,0.005852589,0.005075159,0.004841348,0.004245249,0.004268234,0.004004491,0.003592514,0.003161317,0.00315878,0.002885761,0.002642884,0.002460128,0.001959186,0.002158713,0.001954332,0.0016581,0.00155321,0.00141438,0.001479329,0.001317012,0.001284811,0.0009942831,0.0009729418,0.000917863,0.0007678369,0.0007340899,0.0007207816,0.0007102133,0.0005930925,0.0005578646,0.000573712,0.0004662256,0.0004482628,0.0004313226,0.0003741451,0.0003136469,0.0002825247,0.0002978833,0.0002576722,0.0002545567,0.0002108009,0.0002037535,0.0001864837,0.0001806509,0.0001550957,0.0001542616,0.0001305111,0.000134396,0.0001097558,0.0001081112,0.0001089496,9.830628E-05,9.047901E-05,9.386999E-05,8.051179E-05,6.537105E-05,6.518359E-05,5.713448E-05,5.782116E-05,5.320755E-05,4.610082E-05,4.613433E-05,3.943903E-05,3.959273E-05,3.299403E-05,3.079036E-05,2.715014E-05,2.679136E-05,2.253074E-05,2.159139E-05,2.161851E-05,1.858973E-05,1.70839E-05,1.709526E-05,1.482184E-05,1.359814E-05,1.288044E-05,1.098343E-05,1.053743E-05,1.09603E-05,9.759613E-06,8.123421E-06,8.064025E-06,7.377741E-06,7.357067E-06,5.894917E-06,5.752198E-06,5.597958E-06,4.737587E-06,4.219908E-06,4.19685E-06,4.011873E-06,3.711133E-06,3.268774E-06,3.21865E-06,2.704282E-06,2.349044E-06,2.517945E-06,2.185986E-06,1.966366E-06
2,1,0.009554677,0.008627425,0.006815349,0.00628056,0.005562193,0.005047609,0.004555206,0.004026922,0.00375528,0.003434676,0.002868339,0.002596125,0.002895356,0.002882212,0.002962531,0.003020192,0.003151087,0.003524901,0.003911417,0.003885139,0.004913245,0.004949871,0.0051496,0.006437457,0.007242638,0.008435033,0.008226368,0.007844159,0.007666538,0.007004609,0.006902288,0.006392288,0.005789661,0.006413491,0.006052965,0.005268005,0.005245945,0.004956042,0.004858404,0.004236518,0.00424383,0.003609485,0.00352069,0.002976225,0.00292872,0.002726384,0.00244034,0.002293132,0.001839205,0.001986285,0.001819555,0.001695362,0.001487232,0.001355354,0.001421621,0.001190811,0.001156451,0.000984504,0.0009401873,0.000857864,0.0007226528,0.0006457659,0.0006943194,0.0007073426,0.0005716638,0.0005226993,0.0005230132,0.0004395086,0.0004411951,0.0004264434,0.0003405182,0.0003047131,0.000267635,0.0002681582,0.0002389685,0.0002280114,0.0001971087,0.0001905641,0.0001751084,0.0001832999,0.0001473136,0.0001509039,0.0001245496,0.0001290597,0.0001073317,0.0001016782,0.000104955,9.122922E-05,8.98958E-05,8.597405E-05,7.109276E-05,6.10425E-05,6.021855E-05,5.38826E-05,5.034452E-05,4.969837E-05,4.228213E-05,4.458945E-05,3.732731E-05,3.628852E-05,3.088795E-05,2.924324E-05,2.573826E-05,2.580569E-05,2.115381E-05,2.188281E-05,2.021276E-05,1.801384E-05,1.585434E-05,1.64745E-05,1.334535E-05,1.286352E-05,1.270312E-05,1.034392E-05,1.07609E-05,1.04836E-05,9.352429E-06,7.563995E-06,7.36949E-06,6.781721E-06,7.130659E-06,5.553372E-06,5.471579E-06,5.48006E-06,4.325375E-06,3.967898E-06,3.966408E-06,3.747979E-06,3.597761E-06,2.966114E-06,2.919787E-06,2.56525E-06,2.358783E-06,2.255382E-06,2.040857E-06
3,1,0.009413986,0.007551358,0.006867724,0.005775876,0.005100388,0.004497529,0.00423545,0.003677288,0.003192903,0.003120711,0.002861951,0.00259322,0.002222495,0.00277484,0.002654223,0.002962151,0.003059107,0.002788319,0.003350708,0.003811477,0.003786072,0.004825267,0.004419592,0.005206038,0.006188294,0.007063783,0.007170429,0.007221871,0.007093876,0.007052706,0.006797462,0.006945366,0.005886399,0.005560073,0.005888627,0.005252845,0.005036352,0.005195198,0.004488793,0.004674897,0.00402987,0.003855069,0.003658402,0.003436288,0.003033897,0.002909659,0.002413105,0.002359213,0.002068521,0.001822716,0.001750947,0.001675194,0.001528129,0.001432539,0.001244093,0.001286898,0.001119889,0.001074258,0.0009380424,0.0009116131,0.0007759808,0.0007007093,0.0006718056,0.0006425176,0.0006160111,0.0005638771,0.0004627336,0.0004877355,0.0003986848,0.0004097736,0.0003937969,0.0003224585,0.0003073251,0.0002555942,0.0002502654,0.0002439101,0.0002146304,0.0001880938,0.0001942094,0.0001699592,0.0001767202,0.0001378619,0.0001396353,0.0001123302,0.0001204455,9.804793E-05,9.667614E-05,0.000102288,8.514657E-05,8.47722E-05,8.288994E-05,6.627723E-05,5.794411E-05,5.938016E-05,5.081351E-05,5.046078E-05,4.422386E-05,3.966815E-05,4.178667E-05,3.413354E-05,3.421145E-05,2.979995E-05,2.692605E-05,2.629232E-05,2.320608E-05,1.861964E-05,1.934071E-05,1.907499E-05,1.688745E-05,1.512634E-05,1.620743E-05,1.221148E-05,1.250382E-05,1.149064E-05,1.015316E-05,1.000347E-05,9.508553E-06,8.799742E-06,7.491131E-06,7.22E-06,6.321219E-06,6.758557E-06,5.43614E-06,5.222338E-06,5.037013E-06,4.284992E-06,3.790855E-06,3.79307E-06,3.582753E-06,3.294916E-06,2.944684E-06,2.730084E-06,2.564574E-06,2.24609E-06,2.151383E-06
4,1,0.00937041,0.007241295,0.005945932,0.005616737,0.004790972,0.004277327,0.003704363,0.003560989,0.002995864,0.002828409,0.002739745,0.002313322,0.002248475,0.002185459,0.002817249,0.002772577,0.002798757,0.002773904,0.002787727,0.003179634,0.003446719,0.003501582,0.004398364,0.004220298,0.004845486,0.005698296,0.007305236,0.006955249,0.006934811,0.006720385,0.006462382,0.006661162,0.005933858,0.006073766,0.005475681,0.005631691,0.005113964,0.004821469,0.004957623,0.004444636,0.004406383,0.00378666,0.003679595,0.003503026,0.003230467,0.002681513,0.002752918,0.002274576,0.002236595,0.002048001,0.001702324,0.001660105,0.001532306,0.00149631,0.001367085,0.001208952,0.001119122,0.00108363,0.001103473,0.0009106161,0.0008634067,0.0007892713,0.0006141945,0.0005907178,0.0006396698,0.000574976,0.0005387194,0.0004439352,0.0004518197,0.0003577906,0.000413995,0.0003677819,0.000311966,0.0003029869,0.0002610699,0.0002368978,0.0002306483,0.0002242681,0.0001814173,0.0001781023,0.0001559962,0.0001687006,0.0001364907,0.0001344842,0.0001187392,0.0001136259,8.882982E-05,9.864974E-05,0.0001018357,8.114018E-05,7.668556E-05,7.206607E-05,6.169238E-05,5.512251E-05,5.304565E-05,4.962516E-05,4.634927E-05,4.54615E-05,3.789124E-05,3.937103E-05,3.192268E-05,3.088922E-05,2.832914E-05,2.571077E-05,2.484513E-05,2.249185E-05,1.912851E-05,1.883815E-05,1.793697E-05,1.649951E-05,1.356573E-05,1.544698E-05,1.198315E-05,1.17285E-05,1.089737E-05,9.644547E-06,9.713917E-06,9.38336E-06,8.19537E-06,6.680169E-06,6.741286E-06,5.8223E-06,6.263575E-06,4.877837E-06,4.795306E-06,4.609438E-06,3.971374E-06,3.578618E-06,3.575274E-06,3.305432E-06,3.134621E-06,2.752802E-06,2.614606E-06,2.554561E-06,2.016811E-06
5,1,0.008737803,0.007569628,0.006037267,0.005137113,0.004645185,0.003945948,0.003684749,0.003281668,0.002899459,0.002485971,0.002402284,0.0022703,0.002037194,0.002228794,0.002063601,0.002742621,0.002661835,0.002878215,0.002776835,0.002732729,0.003026924,0.003390106,0.003450974,0.004179554,0.003949711,0.004770619,0.005608975,0.006646046,0.006853817,0.006853403,0.006474311,0.006603619,0.006040142,0.005884058,0.005475412,0.005037982,0.005618109,0.00507224,0.004598942,0.004722378,0.003994996,0.00443764,0.003549695,0.00352379,0.003178002,0.003023045,0.002518434,0.002486792,0.002339612,0.002096055,0.001890839,0.00161521,0.001687261,0.001432356,0.001341463,0.001336407,0.001139828,0.00114516,0.001006807,0.000987625,0.0008543586,0.0008161179,0.000731179,0.0005959504,0.0005781209,0.0005860552,0.0005176433,0.0005167711,0.0004188092,0.0004362618,0.0003581191,0.0003726438,0.0003461145,0.0002821377,0.0002836023,0.0002529355,0.0002413091,0.0002215507,0.0001994456,0.0001722802,0.0001760048,0.0001525205,0.0001548167,0.0001238724,0.0001283143,0.0001125509,0.0001127488,8.701226E-05,9.130452E-05,9.547464E-05,7.567129E-05,7.322695E-05,6.964254E-05,6.127152E-05,4.935072E-05,5.523681E-05,4.699189E-05,4.608437E-05,4.259272E-05,3.545542E-05,3.594806E-05,3.098552E-05,3.029898E-05,2.481928E-05,2.508911E-05,2.290606E-05,2.235677E-05,1.777361E-05,1.743515E-05,1.616524E-05,1.540808E-05,1.352927E-05,1.33773E-05,1.19468E-05,1.104269E-05,1.048199E-05,9.31855E-06,9.069871E-06,8.281549E-06,7.668917E-06,6.709562E-06,6.397036E-06,5.323614E-06,6.103015E-06,4.847517E-06,4.784782E-06,4.406431E-06,3.824832E-06,3.329397E-06,3.151238E-06,3.23243E-06,3.037972E-06,2.834674E-06,2.501341E-06,2.298771E-06
6,1,0.008456893,0.006943291,0.006105933,0.004885962,0.004174201,0.003976769,0.003274044,0.002784072,0.002754873,0.00262492,0.002178991,0.002114632,0.00188305,0.00216123,0.002107794,0.002089582,0.002721237,0.002476038,0.002548506,0.002753763,0.002646411,0.002878154,0.003077561,0.00333068,0.003860655,0.003799991,0.004731895,0.005202495,0.006016457,0.006424177,0.007144554,0.006970322,0.005980474,0.005862696,0.005562853,0.004915384,0.005012685,0.005777248,0.00494406,0.004397903,0.004247762,0.004134338,0.004124445,0.003292581,0.003368098,0.003027719,0.002906179,0.002337959,0.002309877,0.002280219,0.002098202,0.001874535,0.001543806,0.001537893,0.001412256,0.001317519,0.001218471,0.001040201,0.001031617,0.0009173633,0.0009324912,0.0008185398,0.0007995096,0.000710753,0.0005400534,0.0005722169,0.0005845468,0.0005194391,0.0004868073,0.0004284156,0.0004106076,0.0003446651,0.000361924,0.000336945,0.0002849598,0.0002782016,0.0002242455,0.000221748,0.0002316016,0.0001929206,0.0001498203,0.0001623143,0.0001461613,0.0001434071,0.000114582,0.0001204568,0.0001081205,0.0001011271,8.053349E-05,8.297826E-05,9.0301E-05,7.104636E-05,7.33714E-05,6.615464E-05,6.046543E-05,5.148876E-05,5.148614E-05,4.544045E-05,4.407592E-05,3.806427E-05,3.584354E-05,3.479685E-05,2.998723E-05,2.920063E-05,2.455216E-05,2.228137E-05,2.158249E-05,1.981546E-05,1.717887E-05,1.716215E-05,1.561975E-05,1.479559E-05,1.240085E-05,1.300777E-05,1.156336E-05,1.05888E-05,9.789055E-06,9.329777E-06,9.274438E-06,8.006156E-06,7.626888E-06,6.195639E-06,5.866144E-06,5.212929E-06,5.911487E-06,4.12195E-06,4.252899E-06,4.214256E-06,3.219402E-06,3.246518E-06,3.1021E-06,3.177342E-06,2.90818E-06,2.693276E-06,2.301229E-06
7,1,0.009107985,0.007063169,0.00599028,0.005273777,0.004021727,0.003628451,0.003422549,0.002873762,0.002619832,0.002477091,0.002235632,0.001889152,0.001842372,0.001813352,0.00206219,0.001928251,0.00194555,0.002489742,0.002281343,0.002610144,0.002503093,0.002564423,0.002787402,0.00313638,0.003387525,0.003568015,0.003761311,0.004425238,0.004880887,0.006135852,0.006258479,0.006879103,0.006579794,0.005751468,0.00538469,0.00548879,0.004883518,0.00507088,0.005142307,0.004517224,0.004469339,0.003891511,0.003984195,0.003873249,0.003215712,0.003094363,0.002824393,0.002840369,0.002205394,0.002185039,0.002224791,0.001910555,0.001808251,0.001549112,0.001557279,0.001412052,0.001200684,0.001096111,0.001097468,0.00097582,0.0008822208,0.0008953761,0.0008062341,0.0007882392,0.0006541025,0.0005489633,0.0005527051,0.0005710722,0.0005062204,0.0004645716,0.0004026733,0.0003701655,0.0003143862,0.0003617408,0.0003195626,0.0002605207,0.0002567301,0.0002257059,0.0002254225,0.000207853,0.000191736,0.0001438797,0.0001527219,0.0001317086,0.0001407963,0.0001176775,0.0001223968,0.0001035907,0.0001028951,7.334864E-05,8.012023E-05,8.395779E-05,6.793786E-05,6.768698E-05,6.423598E-05,5.691004E-05,4.818041E-05,5.025334E-05,4.504975E-05,4.070784E-05,3.887382E-05,3.383947E-05,3.253096E-05,2.927438E-05,2.873476E-05,2.282123E-05,2.140284E-05,2.107428E-05,1.912481E-05,1.538958E-05,1.650725E-05,1.480104E-05,1.44807E-05,1.237773E-05,1.217008E-05,1.044236E-05,9.862896E-06,9.395058E-06,8.536384E-06,8.605206E-06,7.650852E-06,7.156387E-06,5.737228E-06,5.611925E-06,5.174496E-06,5.616254E-06,4.270426E-06,4.374388E-06,4.162743E-06,3.188472E-06,2.973285E-06,2.991761E-06,2.81557E-06,2.708271E-06,2.383662E-06
8,1,0.008864361,0.007422512,0.005902828,0.005008515,0.004429371,0.003315413,0.002883614,0.002782734,0.002336461,0.002334484,0.00213588,0.001867927,0.001589192,0.001779069,0.001779058,0.001969799,0.001982101,0.001983395,0.002285593,0.002279233,0.002277709,0.002461125,0.002501308,0.002651616,0.002973395,0.003138565,0.003413259,0.003777942,0.004004664,0.00444937,0.005778935,0.006076175,0.006255758,0.006294333,0.005403399,0.005391184,0.00522992,0.00440016,0.004610579,0.004579718,0.004356631,0.004110482,0.003755824,0.003683769,0.003645173,0.002954612,0.002801142,0.002661429,0.002813855,0.00227637,0.002067987,0.002000746,0.001961642,0.001650444,0.001491359,0.001503703,0.001391231,0.001129012,0.001100893,0.0009887355,0.0009375445,0.0007962001,0.0008836631,0.0007494962,0.0007014921,0.0006674234,0.0005503415,0.0005098491,0.0005523522,0.0004672608,0.0004593598,0.0003880624,0.000376733,0.0003045265,0.0003287979,0.0002945664,0.0002469501,0.0002437115,0.0002100379,0.0002103963,0.0001987813,0.000189297,0.0001431752,0.0001474988,0.0001294882,0.000131753,0.000115178,0.000111572,9.961775E-05,9.692766E-05,7.429756E-05,7.38884E-05,8.013858E-05,6.869878E-05,6.293425E-05,6.122415E-05,5.274075E-05,4.595675E-05,4.679595E-05,4.269049E-05,3.901064E-05,3.577867E-05,3.207608E-05,3.02636E-05,2.793082E-05,2.717082E-05,2.24073E-05,2.059267E-05,2.083815E-05,1.835388E-05,1.496611E-05,1.485352E-05,1.377346E-05,1.29547E-05,1.160183E-05,1.171158E-05,1.051181E-05,9.023664E-06,8.902683E-06,8.408602E-06,7.809011E-06,7.574688E-06,6.741561E-06,5.52033E-06,5.562631E-06,4.858159E-06,5.171057E-06,4.083605E-06,3.902549E-06,3.988423E-06,3.119747E-06,2.768459E-06,2.808003E-06,2.828835E-06,2.402252E-06
9,1,0.008416226,0.007522005,0.006103154,0.004977051,0.004243611,0.003635502,0.00298405,0.002510638,0.002442796,0.002049049,0.001968313,0.00188103,0.00161929,0.001459843,0.001769228,0.001813589,0.001944489,0.001872619,0.001872942,0.002186552,0.002369797,0.002245461,0.002411032,0.002513445,0.002635965,0.00291058,0.002624946,0.003230554,0.003560376,0.004014747,0.00432309,0.005776839,0.005596089,0.006006786,0.005905586,0.004965423,0.005203107,0.005157412,0.00443416,0.004264687,0.004434349,0.004225457,0.004223201,0.003513036,0.003714091,0.003820607,0.003066368,0.002841554,0.002573647,0.002571041,0.002125105,0.001965694,0.001881485,0.001870479,0.001498813,0.001381646,0.001432901,0.00129405,0.001119007,0.0009826198,0.0009784228,0.0009105233,0.0007842722,0.0008628576,0.0007233029,0.0006460864,0.0006191038,0.0005043054,0.0004845939,0.0005195705,0.0004485109,0.0004295278,0.000335893,0.0003554777,0.0002866864,0.0003236788,0.0002853923,0.0002524614,0.0002245048,0.0002052718,0.0002123351,0.0001916195,0.0001776159,0.0001402666,0.0001343974,0.0001227827,0.0001289936,0.0001041288,9.598941E-05,9.293068E-05,9.187713E-05,7.082157E-05,7.185699E-05,7.635136E-05,6.408976E-05,5.978951E-05,5.380487E-05,5.274619E-05,4.60841E-05,4.620886E-05,3.993718E-05,3.778484E-05,3.309294E-05,2.845187E-05,2.933235E-05,2.636142E-05,2.555093E-05,2.141882E-05,1.934019E-05,1.961691E-05,1.788539E-05,1.532178E-05,1.459527E-05,1.297127E-05,1.257998E-05,1.076318E-05,1.130127E-05,9.314603E-06,8.93784E-06,8.49455E-06,7.871876E-06,7.826704E-06,6.711995E-06,6.12717E-06,5.581075E-06,5.383169E-06,4.486978E-06,4.746873E-06,3.885643E-06,3.765218E-06,3.711139E-06,2.969954E-06,2.768223E-06,2.461144E-06,2.618228E-06
