"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,134
Timestep, Region,"Spanish mackerel juv"_0,"Spanish mackerel juv"_1,"Spanish mackerel juv"_2,"Spanish mackerel juv"_3,"Spanish mackerel juv"_4,"Spanish mackerel juv"_5,"Spanish mackerel juv"_6,"Spanish mackerel juv"_7,"Spanish mackerel juv"_8,"Spanish mackerel juv"_9,"Spanish mackerel juv"_10,"Spanish mackerel juv"_11,"Spanish mackerel adult"_12,"Spanish mackerel adult"_13,"Spanish mackerel adult"_14,"Spanish mackerel adult"_15,"Spanish mackerel adult"_16,"Spanish mackerel adult"_17,"Spanish mackerel adult"_18,"Spanish mackerel adult"_19,"Spanish mackerel adult"_20,"Spanish mackerel adult"_21,"Spanish mackerel adult"_22,"Spanish mackerel adult"_23,"Spanish mackerel adult"_24,"Spanish mackerel adult"_25,"Spanish mackerel adult"_26,"Spanish mackerel adult"_27,"Spanish mackerel adult"_28,"Spanish mackerel adult"_29,"Spanish mackerel adult"_30,"Spanish mackerel adult"_31,"Spanish mackerel adult"_32,"Spanish mackerel adult"_33,"Spanish mackerel adult"_34,"Spanish mackerel adult"_35,"Spanish mackerel adult"_36,"Spanish mackerel adult"_37,"Spanish mackerel adult"_38,"Spanish mackerel adult"_39,"Spanish mackerel adult"_40,"Spanish mackerel adult"_41,"Spanish mackerel adult"_42,"Spanish mackerel adult"_43,"Spanish mackerel adult"_44,"Spanish mackerel adult"_45,"Spanish mackerel adult"_46,"Spanish mackerel adult"_47,"Spanish mackerel adult"_48,"Spanish mackerel adult"_49,"Spanish mackerel adult"_50,"Spanish mackerel adult"_51,"Spanish mackerel adult"_52,"Spanish mackerel adult"_53,"Spanish mackerel adult"_54,"Spanish mackerel adult"_55,"Spanish mackerel adult"_56,"Spanish mackerel adult"_57,"Spanish mackerel adult"_58,"Spanish mackerel adult"_59,"Spanish mackerel adult"_60,"Spanish mackerel adult"_61,"Spanish mackerel adult"_62,"Spanish mackerel adult"_63,"Spanish mackerel adult"_64,"Spanish mackerel adult"_65,"Spanish mackerel adult"_66,"Spanish mackerel adult"_67,"Spanish mackerel adult"_68,"Spanish mackerel adult"_69,"Spanish mackerel adult"_70,"Spanish mackerel adult"_71,"Spanish mackerel adult"_72,"Spanish mackerel adult"_73,"Spanish mackerel adult"_74,"Spanish mackerel adult"_75,"Spanish mackerel adult"_76,"Spanish mackerel adult"_77,"Spanish mackerel adult"_78,"Spanish mackerel adult"_79,"Spanish mackerel adult"_80,"Spanish mackerel adult"_81,"Spanish mackerel adult"_82,"Spanish mackerel adult"_83,"Spanish mackerel adult"_84,"Spanish mackerel adult"_85,"Spanish mackerel adult"_86,"Spanish mackerel adult"_87,"Spanish mackerel adult"_88,"Spanish mackerel adult"_89,"Spanish mackerel adult"_90,"Spanish mackerel adult"_91,"Spanish mackerel adult"_92,"Spanish mackerel adult"_93,"Spanish mackerel adult"_94,"Spanish mackerel adult"_95,"Spanish mackerel adult"_96,"Spanish mackerel adult"_97,"Spanish mackerel adult"_98,"Spanish mackerel adult"_99,"Spanish mackerel adult"_100,"Spanish mackerel adult"_101,"Spanish mackerel adult"_102,"Spanish mackerel adult"_103,"Spanish mackerel adult"_104,"Spanish mackerel adult"_105,"Spanish mackerel adult"_106,"Spanish mackerel adult"_107,"Spanish mackerel adult"_108,"Spanish mackerel adult"_109,"Spanish mackerel adult"_110,"Spanish mackerel adult"_111,"Spanish mackerel adult"_112,"Spanish mackerel adult"_113,"Spanish mackerel adult"_114,"Spanish mackerel adult"_115,"Spanish mackerel adult"_116,"Spanish mackerel adult"_117,"Spanish mackerel adult"_118,"Spanish mackerel adult"_119,"Spanish mackerel adult"_120,"Spanish mackerel adult"_121,"Spanish mackerel adult"_122,"Spanish mackerel adult"_123,"Spanish mackerel adult"_124,"Spanish mackerel adult"_125,"Spanish mackerel adult"_126,"Spanish mackerel adult"_127,"Spanish mackerel adult"_128,"Spanish mackerel adult"_129,"Spanish mackerel adult"_130,"Spanish mackerel adult"_131,"Spanish mackerel adult"_132,"Spanish mackerel adult"_133,"Spanish mackerel adult"_134
0,Ecosim Base Values,0,1.517479E-05,0.0001169456,0.0003802745,0.0008686027,0.001635035,0.002723421,0.004169342,0.006001001,0.008240045,0.01090231,0.01399849,0.01753474,0.02151326,0.02593275,0.03078891,0.03607484,0.04178138,0.04789748,0.0544105,0.06130645,0.06857022,0.07618592,0.08413684,0.09240588,0.1009755,0.109828,0.1189456,0.1283104,0.1379047,0.1477109,0.1577117,0.1678901,0.1782293,0.1887133,0.199326,0.2100522,0.2208769,0.2317857,0.2427648,0.2538008,0.2648809,0.2759928,0.2871248,0.2982657,0.3094047,0.3205318,0.3316373,0.3427121,0.3537475,0.3647356,0.3756684,0.3865389,0.3973404,0.4080664,0.4187112,0.4292692,0.4397352,0.4501047,0.4603732,0.4705368,0.4805918,0.4905349,0.5003629,0.5100733,0.5196635,0.5291312,0.5384747,0.5476921,0.5567822,0.5657434,0.574575,0.5832759,0.5918457,0.6002837,0.6085896,0.6167635,0.6248051,0.6327147,0.6404924,0.6481388,0.6556543,0.6630393,0.6702948,0.6774213,0.68442,0.6912917,0.6980374,0.7046583,0.7111554,0.71753,0.7237833,0.7299168,0.7359316,0.7418293,0.7476113,0.753279,0.7588338,0.7642773,0.7696112,0.7748368,0.7799558,0.7849697,0.7898801,0.7946886,0.7993969,0.8040065,0.8085189,0.8129359,0.817259,0.8214899,0.8256299,0.829681,0.8336443,0.8375218,0.8413148,0.8450249,0.8486536,0.8522025,0.8556731,0.8590668,0.8623852,0.8656295,0.8688014,0.8719022,0.8749334,0.8778962,0.8807921,0.8836225,0.8863887,0.8890918,0.8917333,0.8943146,0.8968366,0.9219052
1,1,5.014695E-11,3.29354E-05,0.0002441466,0.0008106305,0.001749425,0.003294632,0.004872254,0.007625809,0.01207226,0.01354771,0.01962983,0.02596708,0.03464657,0.03045317,0.02809518,0.02528102,0.02548756,0.02538979,0.02211482,0.023484,0.02214272,0.02092133,0.02137689,0.02209652,0.02294252,0.01882293,0.01826187,0.01975048,0.02015938,0.02164637,0.0235473,0.02320163,0.0263445,0.02712303,0.02729889,0.03215325,0.03124567,0.03307603,0.03362556,0.03751997,0.0404589,0.04092302,0.04080987,0.04451873,0.04615728,0.05114965,0.05121518,0.04642984,0.05406393,0.05561896,0.05690327,0.06054523,0.05977124,0.0678249,0.0655518,0.0706306,0.06689381,0.068978,0.07467259,0.07191721,0.07317272,0.07668465,0.0871691,0.0798822,0.0848036,0.09007695,0.08699007,0.08994557,0.09376195,0.08983774,0.08876098,0.08771683,0.09736757,0.09332959,0.1020228,0.09626047,0.1012537,0.101098,0.1061869,0.1026509,0.1132692,0.1059982,0.1155652,0.1071743,0.1132323,0.1239796,0.1152289,0.1256916,0.1366422,0.1267955,0.1165603,0.1249107,0.1206271,0.1332484,0.1368411,0.1244871,0.1400326,0.1273595,0.1438272,0.1306195,0.1338437,0.1353207,0.1399141,0.1291837,0.1350207,0.1383248,0.134597,0.1388404,0.1507816,0.142133,0.138042,0.1365722,0.1354921,0.1446319,0.1571758,0.1546859,0.138989,0.1502208,0.1539714,0.1655651,0.1510308,0.1512388,0.1484413,0.143869,0.1418156,0.1520012,0.1603848,0.1601197,0.1519118,0.1587478,0.152216,0.1512414,0.1696278,0.1516908,0.1608232
2,1,4.588232E-11,4.05521E-05,0.0002755435,0.0008903617,0.001959297,0.003568823,0.00595317,0.008263499,0.01129233,0.01682672,0.019138,0.02508436,0.03318301,0.0329302,0.02848973,0.025644,0.02501486,0.0258778,0.02520941,0.0218516,0.02323857,0.02234423,0.02109338,0.02248506,0.02308203,0.02454346,0.01928404,0.02009526,0.02150946,0.02112596,0.02377214,0.02385932,0.02330521,0.02822782,0.029257,0.02967701,0.03229541,0.03266653,0.03601515,0.03649563,0.04067841,0.04086305,0.04337495,0.0421206,0.04549899,0.04774411,0.05178081,0.0520228,0.04743338,0.05405821,0.05606082,0.06141083,0.06203151,0.06125741,0.06946494,0.06423627,0.07012664,0.06983774,0.07161584,0.07511946,0.07289783,0.07048836,0.07782444,0.09206144,0.08192226,0.08502647,0.08792645,0.08815451,0.09334663,0.09779091,0.08751684,0.08865421,0.08779068,0.09482765,0.09256653,0.09949644,0.09655325,0.09970171,0.1000583,0.1114158,0.1027987,0.114011,0.1068407,0.1171985,0.1091169,0.1118361,0.1263386,0.1131559,0.1304871,0.1320215,0.1211329,0.1132115,0.1240466,0.1204013,0.1270378,0.1363325,0.1214124,0.1422684,0.1259705,0.1421257,0.1281724,0.134191,0.1346876,0.1397802,0.1282218,0.1396618,0.1374066,0.1356869,0.1363374,0.152384,0.1376939,0.1386249,0.1387868,0.1337255,0.1517559,0.1571932,0.1531409,0.1360833,0.1455581,0.1510517,0.1663714,0.1485901,0.1529252,0.1525455,0.1407491,0.1409417,0.1509583,0.156415,0.1606804,0.1445547,0.154501,0.1520496,0.1547483,0.1615649,0.1530054
3,1,4.705877E-11,4.394184E-05,0.0003487675,0.0009710225,0.002291069,0.003959824,0.006632571,0.009723319,0.01314056,0.01692478,0.02361585,0.02671855,0.03320415,0.03051784,0.03109907,0.02758456,0.02594676,0.02423412,0.02562534,0.02397547,0.02213624,0.02433345,0.02277133,0.02220642,0.0235713,0.02434294,0.02483612,0.01932779,0.02050942,0.02235468,0.02247271,0.02621127,0.02497857,0.02482916,0.0291697,0.02945713,0.0310417,0.03543577,0.03247445,0.03842234,0.0382162,0.04124313,0.04405072,0.0460969,0.04549373,0.04876452,0.04780195,0.05436136,0.05217236,0.05065308,0.05363015,0.0567144,0.0606293,0.06349242,0.06191051,0.06933315,0.06552622,0.07039114,0.07153221,0.07462292,0.07387667,0.07522994,0.07553233,0.07840862,0.08750413,0.08425347,0.08397283,0.08820865,0.0874761,0.09469769,0.09730776,0.08986823,0.09521859,0.08642829,0.09513977,0.09821241,0.09939969,0.09673782,0.1049816,0.1032312,0.1128924,0.102346,0.1105217,0.1035971,0.1158334,0.1084087,0.1125834,0.1286673,0.112688,0.1317403,0.1341965,0.1194736,0.112514,0.1252752,0.1201016,0.1305907,0.1304352,0.1211321,0.1418695,0.1234341,0.1405324,0.1285904,0.1310183,0.1421261,0.1345198,0.1230963,0.1341837,0.1346207,0.1342625,0.1358991,0.1563247,0.1318736,0.1410264,0.1334454,0.1370362,0.1480478,0.1528796,0.1533732,0.1409805,0.1482275,0.1477946,0.1672769,0.1521446,0.1525737,0.1475879,0.1442699,0.1399603,0.1498323,0.158337,0.1592866,0.1471632,0.1525573,0.156402,0.1536623,0.1643228
4,1,4.823522E-11,4.857652E-05,0.0003473868,0.001240282,0.002480273,0.004651475,0.006856239,0.01091415,0.01514559,0.01936701,0.02484708,0.0331523,0.034824,0.03115816,0.03003166,0.03099556,0.02614283,0.02401507,0.02413473,0.02478893,0.02413421,0.02224649,0.0251247,0.02355471,0.02293814,0.0247794,0.02686497,0.02601224,0.02055382,0.02176757,0.02362479,0.02459383,0.026276,0.02789118,0.02670541,0.03111778,0.03154407,0.03339544,0.03780197,0.03515235,0.04034793,0.03977503,0.04307537,0.0462279,0.04743406,0.04560006,0.05003783,0.04885007,0.05604217,0.05531809,0.05217793,0.05529832,0.05682564,0.06399439,0.06563772,0.06427561,0.06714998,0.06813752,0.07568049,0.0744393,0.07549924,0.07949434,0.07345657,0.07298391,0.08227363,0.08793255,0.0872106,0.08509035,0.08790491,0.08483806,0.09974366,0.0967098,0.09138632,0.09762122,0.09027016,0.09579029,0.0995828,0.1075797,0.09909381,0.1018124,0.1026874,0.1146445,0.1053517,0.1139886,0.1128775,0.1161433,0.1064477,0.1191436,0.1332935,0.1124674,0.1276288,0.126077,0.1190961,0.1110171,0.1207195,0.1227733,0.1278305,0.137201,0.1216931,0.1415705,0.1224026,0.1351715,0.1290978,0.1321785,0.1411068,0.137765,0.1288273,0.1375198,0.1337457,0.1366333,0.1303723,0.1569932,0.136204,0.1390808,0.1361289,0.1370338,0.1496551,0.1544792,0.1508346,0.1340721,0.1453778,0.1447719,0.1629428,0.1471915,0.1486779,0.143042,0.1409124,0.1377707,0.1479161,0.1564741,0.1583132,0.1448094,0.152245,0.1616611,0.1514179
5,1,4.588232E-11,5.23749E-05,0.0003890808,0.001209783,0.002886351,0.004772,0.008163638,0.01119587,0.01566641,0.02157098,0.02668533,0.03331101,0.04503477,0.03243634,0.02833157,0.03010605,0.02948555,0.02544783,0.02487128,0.02468658,0.02547863,0.02477906,0.02303443,0.02560142,0.02429377,0.02410379,0.02657125,0.02763182,0.02875045,0.02173631,0.02357974,0.02571222,0.02543912,0.02841134,0.02890253,0.02779385,0.03418981,0.03385149,0.03530676,0.03917798,0.03519223,0.04344211,0.04117275,0.04522757,0.04693263,0.04834494,0.04652797,0.04913074,0.05336602,0.05605247,0.05555827,0.05322836,0.05880833,0.0580664,0.06271534,0.06768496,0.0659634,0.07202783,0.06891944,0.07461481,0.07479799,0.07613719,0.0785679,0.07555137,0.07566245,0.08172536,0.08499544,0.08885616,0.08467082,0.09113327,0.0887345,0.09559318,0.09745225,0.08922206,0.09911091,0.09352347,0.1017041,0.1005395,0.1028715,0.09829757,0.1057696,0.1054754,0.1123804,0.1022469,0.1153346,0.1138396,0.1205546,0.1078496,0.1169985,0.133374,0.1135225,0.1286274,0.1284655,0.1242095,0.1070196,0.1299225,0.122974,0.1312693,0.1353163,0.1210809,0.1373916,0.1247829,0.1389964,0.1247941,0.1337416,0.1364126,0.1427053,0.1267692,0.1347859,0.1304852,0.1340975,0.1327817,0.1477103,0.1401384,0.1398923,0.13518,0.1368885,0.1472964,0.1458049,0.1498014,0.13727,0.1455563,0.140325,0.165921,0.1496003,0.1530444,0.1449701,0.1430291,0.1350976,0.1420047,0.1593004,0.1609583,0.1548322,0.1521759,0.1560729
6,1,4.499998E-11,4.943211E-05,0.0003990999,0.001276817,0.002725476,0.005474347,0.008011131,0.01257374,0.01668504,0.0227529,0.03051157,0.03574492,0.04246365,0.04308953,0.03109952,0.02853473,0.02877851,0.02918769,0.02455341,0.02503099,0.0247613,0.02464934,0.02449001,0.02378315,0.02647124,0.02560841,0.02570843,0.02704431,0.02869059,0.02940277,0.02424666,0.02653023,0.02694358,0.02652886,0.02974657,0.02929624,0.02996111,0.03809417,0.03656241,0.03749271,0.04024868,0.03897099,0.04478296,0.0418158,0.04709191,0.04888004,0.05045124,0.04753976,0.05112964,0.05540534,0.05968521,0.05915679,0.05489335,0.05862695,0.06127547,0.06467669,0.06878775,0.06484859,0.07029577,0.06765614,0.07672492,0.07642613,0.0776526,0.08061721,0.0736625,0.07806979,0.08508088,0.08946387,0.08820399,0.08986449,0.089512,0.09058025,0.09913409,0.09951228,0.0942989,0.1026155,0.08922406,0.1005125,0.1079511,0.1045879,0.09433343,0.1047047,0.1063466,0.1115781,0.1006176,0.1140445,0.1150973,0.1169919,0.1078873,0.1140689,0.1340595,0.1109405,0.1332375,0.1284368,0.1238186,0.1149757,0.1273084,0.1246179,0.1329658,0.1305795,0.1260907,0.1383427,0.1263014,0.1398068,0.1271408,0.12719,0.1350849,0.1376194,0.12793,0.1375792,0.1314518,0.1351478,0.1302882,0.1494194,0.1400852,0.1397537,0.1338106,0.1425632,0.1537673,0.1494573,0.153556,0.1340232,0.1416738,0.1406341,0.1670924,0.138333,0.1460937,0.143387,0.1323715,0.1357491,0.1444063,0.1605346,0.1613908,0.1529502,0.1510452
7,1,4.89705E-11,4.686009E-05,0.0003682751,0.001217565,0.002680912,0.005002306,0.009158742,0.01251367,0.01852614,0.02333165,0.02972575,0.03901089,0.04501094,0.03945712,0.03966455,0.02905076,0.02638837,0.02737379,0.02863446,0.02477354,0.0246287,0.02492381,0.02548112,0.02585744,0.02564503,0.02695155,0.02661191,0.02641954,0.02839254,0.03088748,0.03138715,0.02548373,0.02749093,0.0286,0.02738432,0.03215975,0.03185111,0.03269447,0.03851583,0.03759301,0.04014881,0.04055493,0.04112205,0.04624073,0.04369877,0.04749027,0.04997965,0.05210872,0.04905718,0.05196475,0.05775495,0.05953843,0.06083779,0.05782888,0.06336598,0.06531795,0.0634508,0.06802745,0.0703572,0.07107727,0.06896456,0.07898649,0.07914933,0.08086524,0.08127464,0.07696272,0.07971393,0.08688611,0.09265928,0.09055319,0.08990281,0.08632157,0.08806559,0.1028637,0.1011783,0.09128557,0.09976617,0.09338914,0.1045262,0.1046137,0.1064497,0.09578102,0.104049,0.1025008,0.1144783,0.1039199,0.121005,0.116211,0.122244,0.1036142,0.1151345,0.1334267,0.1119553,0.1310821,0.1308711,0.1235328,0.1132416,0.1296191,0.1262173,0.1319745,0.1374121,0.1252026,0.1361203,0.1279999,0.1431731,0.1242501,0.1291583,0.1361647,0.138069,0.1225362,0.1397235,0.131386,0.1378498,0.132402,0.1467473,0.1356978,0.1374452,0.1323655,0.1364243,0.148191,0.1486168,0.1529703,0.1299375,0.140657,0.1441406,0.1648828,0.1461072,0.1538062,0.1456622,0.1342876,0.1336384,0.1439183,0.1504491,0.1577693,0.1477357
8,1,4.808816E-11,4.578519E-05,0.0003490578,0.001125327,0.002708283,0.004688783,0.007813016,0.01318384,0.01667626,0.02535837,0.03060151,0.03778551,0.04717147,0.04207607,0.03619128,0.03731385,0.02834851,0.02699928,0.0266255,0.02856631,0.02429738,0.02485473,0.02510071,0.02557997,0.02662924,0.02574286,0.0280943,0.02781103,0.02735965,0.02901689,0.03181178,0.03313904,0.02606082,0.02883327,0.0302193,0.02973652,0.03339978,0.03188924,0.03374182,0.03878511,0.0395423,0.04101882,0.04321979,0.04213086,0.04711374,0.04428874,0.04751721,0.05090387,0.05468108,0.05224791,0.05290119,0.05742599,0.06454252,0.06050951,0.05949455,0.0650809,0.06802156,0.0641965,0.07229259,0.0687852,0.07260466,0.06794867,0.08276089,0.07973167,0.07925176,0.08534253,0.07991427,0.07789419,0.08886487,0.09242275,0.0936745,0.09140797,0.09082394,0.08896382,0.1012721,0.1000283,0.09102663,0.09982821,0.09388573,0.1041067,0.1065933,0.1092879,0.09885916,0.1045357,0.1058801,0.1124793,0.1071644,0.1167154,0.1166349,0.1221167,0.1056323,0.112323,0.1334424,0.1168081,0.1286999,0.1312881,0.122074,0.1130275,0.1276324,0.1233022,0.1325347,0.1336899,0.125289,0.1354923,0.127708,0.1395911,0.1265236,0.129617,0.1410836,0.139208,0.124601,0.1339729,0.1297167,0.1312542,0.128861,0.1481459,0.1402896,0.1329981,0.1326497,0.1377838,0.1431392,0.1526104,0.1520994,0.1294708,0.1482745,0.142201,0.1602538,0.1462127,0.1467756,0.1482749,0.1364557,0.1312722,0.1410237,0.1546492,0.151401
9,1,4.602937E-11,4.818869E-05,0.0003131959,0.001067987,0.002527339,0.004754761,0.007509943,0.01171361,0.01858388,0.02294897,0.03119123,0.03898605,0.04615267,0.04377726,0.03982783,0.03422417,0.03644492,0.02714525,0.02543677,0.02692314,0.02922372,0.02490085,0.0262138,0.02581024,0.02674748,0.02785489,0.0247724,0.02913494,0.02893934,0.02906915,0.03092211,0.03437573,0.03391957,0.02764971,0.02980505,0.03084533,0.03137844,0.03605799,0.0345648,0.03474327,0.04061997,0.04162362,0.0448252,0.0442741,0.04541828,0.05165445,0.04879557,0.05068599,0.05311804,0.0555562,0.05341627,0.05430826,0.05842079,0.06645394,0.0598698,0.06008105,0.06652699,0.06895044,0.0679869,0.06982607,0.07252156,0.07499018,0.07078961,0.08599726,0.08317081,0.07892857,0.0836145,0.07881853,0.0782505,0.08766146,0.09419727,0.09355681,0.08657361,0.09099481,0.08793551,0.103347,0.1015301,0.09642636,0.0963309,0.09597366,0.1094696,0.108003,0.1073976,0.100287,0.1007488,0.1044542,0.1143843,0.1032315,0.110215,0.1126488,0.1228887,0.105863,0.1135633,0.1350125,0.1161999,0.1296158,0.1235198,0.1241985,0.1154908,0.1315238,0.1232293,0.1332874,0.1308144,0.1191828,0.1373342,0.1266032,0.1375759,0.1250721,0.127634,0.1399652,0.1389412,0.1299746,0.1374708,0.1282791,0.1335043,0.125702,0.1489278,0.1311176,0.1350885,0.1308568,0.1337214,0.1454456,0.1434314,0.145022,0.135419,0.1474804,0.1387422,0.1553163,0.1462453,0.1470868,0.144859,0.1352369,0.1344236,0.1293454,0.1552974
