"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,134
Timestep, Region,"Spanish mackerel juv"_0,"Spanish mackerel juv"_1,"Spanish mackerel juv"_2,"Spanish mackerel juv"_3,"Spanish mackerel juv"_4,"Spanish mackerel juv"_5,"Spanish mackerel juv"_6,"Spanish mackerel juv"_7,"Spanish mackerel juv"_8,"Spanish mackerel juv"_9,"Spanish mackerel juv"_10,"Spanish mackerel juv"_11,"Spanish mackerel adult"_12,"Spanish mackerel adult"_13,"Spanish mackerel adult"_14,"Spanish mackerel adult"_15,"Spanish mackerel adult"_16,"Spanish mackerel adult"_17,"Spanish mackerel adult"_18,"Spanish mackerel adult"_19,"Spanish mackerel adult"_20,"Spanish mackerel adult"_21,"Spanish mackerel adult"_22,"Spanish mackerel adult"_23,"Spanish mackerel adult"_24,"Spanish mackerel adult"_25,"Spanish mackerel adult"_26,"Spanish mackerel adult"_27,"Spanish mackerel adult"_28,"Spanish mackerel adult"_29,"Spanish mackerel adult"_30,"Spanish mackerel adult"_31,"Spanish mackerel adult"_32,"Spanish mackerel adult"_33,"Spanish mackerel adult"_34,"Spanish mackerel adult"_35,"Spanish mackerel adult"_36,"Spanish mackerel adult"_37,"Spanish mackerel adult"_38,"Spanish mackerel adult"_39,"Spanish mackerel adult"_40,"Spanish mackerel adult"_41,"Spanish mackerel adult"_42,"Spanish mackerel adult"_43,"Spanish mackerel adult"_44,"Spanish mackerel adult"_45,"Spanish mackerel adult"_46,"Spanish mackerel adult"_47,"Spanish mackerel adult"_48,"Spanish mackerel adult"_49,"Spanish mackerel adult"_50,"Spanish mackerel adult"_51,"Spanish mackerel adult"_52,"Spanish mackerel adult"_53,"Spanish mackerel adult"_54,"Spanish mackerel adult"_55,"Spanish mackerel adult"_56,"Spanish mackerel adult"_57,"Spanish mackerel adult"_58,"Spanish mackerel adult"_59,"Spanish mackerel adult"_60,"Spanish mackerel adult"_61,"Spanish mackerel adult"_62,"Spanish mackerel adult"_63,"Spanish mackerel adult"_64,"Spanish mackerel adult"_65,"Spanish mackerel adult"_66,"Spanish mackerel adult"_67,"Spanish mackerel adult"_68,"Spanish mackerel adult"_69,"Spanish mackerel adult"_70,"Spanish mackerel adult"_71,"Spanish mackerel adult"_72,"Spanish mackerel adult"_73,"Spanish mackerel adult"_74,"Spanish mackerel adult"_75,"Spanish mackerel adult"_76,"Spanish mackerel adult"_77,"Spanish mackerel adult"_78,"Spanish mackerel adult"_79,"Spanish mackerel adult"_80,"Spanish mackerel adult"_81,"Spanish mackerel adult"_82,"Spanish mackerel adult"_83,"Spanish mackerel adult"_84,"Spanish mackerel adult"_85,"Spanish mackerel adult"_86,"Spanish mackerel adult"_87,"Spanish mackerel adult"_88,"Spanish mackerel adult"_89,"Spanish mackerel adult"_90,"Spanish mackerel adult"_91,"Spanish mackerel adult"_92,"Spanish mackerel adult"_93,"Spanish mackerel adult"_94,"Spanish mackerel adult"_95,"Spanish mackerel adult"_96,"Spanish mackerel adult"_97,"Spanish mackerel adult"_98,"Spanish mackerel adult"_99,"Spanish mackerel adult"_100,"Spanish mackerel adult"_101,"Spanish mackerel adult"_102,"Spanish mackerel adult"_103,"Spanish mackerel adult"_104,"Spanish mackerel adult"_105,"Spanish mackerel adult"_106,"Spanish mackerel adult"_107,"Spanish mackerel adult"_108,"Spanish mackerel adult"_109,"Spanish mackerel adult"_110,"Spanish mackerel adult"_111,"Spanish mackerel adult"_112,"Spanish mackerel adult"_113,"Spanish mackerel adult"_114,"Spanish mackerel adult"_115,"Spanish mackerel adult"_116,"Spanish mackerel adult"_117,"Spanish mackerel adult"_118,"Spanish mackerel adult"_119,"Spanish mackerel adult"_120,"Spanish mackerel adult"_121,"Spanish mackerel adult"_122,"Spanish mackerel adult"_123,"Spanish mackerel adult"_124,"Spanish mackerel adult"_125,"Spanish mackerel adult"_126,"Spanish mackerel adult"_127,"Spanish mackerel adult"_128,"Spanish mackerel adult"_129,"Spanish mackerel adult"_130,"Spanish mackerel adult"_131,"Spanish mackerel adult"_132,"Spanish mackerel adult"_133,"Spanish mackerel adult"_134
0,Ecosim Base Values,0.2953762,0.2591092,0.2272952,0.1993874,0.1749062,0.1534308,0.1345922,0.1180667,0.1035702,0.09085362,0.07969841,0.06991286,0.06132881,0.05659763,0.05223144,0.04820208,0.04448356,0.04105191,0.03788498,0.03496237,0.03226522,0.02977614,0.02747907,0.02535922,0.0234029,0.0215975,0.01993137,0.01839378,0.0169748,0.01566529,0.0144568,0.01334154,0.01231232,0.01136249,0.01048594,0.009677006,0.008930479,0.008241544,0.007605755,0.007019014,0.006477536,0.00597783,0.005516674,0.005091093,0.004698344,0.004335893,0.004001404,0.003692718,0.003407845,0.003144949,0.002902334,0.002678435,0.002471809,0.002281123,0.002105147,0.001942747,0.001792875,0.001654564,0.001526924,0.001409131,0.001300424,0.001200104,0.001107522,0.001022083,0.0009432352,0.0008704699,0.000803318,0.0007413466,0.0006841558,0.000631377,0.0005826699,0.0005377202,0.0004962381,0.0004579561,0.0004226273,0.000390024,0.0003599359,0.0003321689,0.0003065439,0.0002828958,0.000261072,0.0002409317,0.0002223452,0.0002051925,0.0001893631,0.0001747548,0.0001612734,0.0001488321,0.0001373505,0.0001267547,0.0001169763,0.0001079522,9.962432E-05,9.193887E-05,8.48463E-05,7.830089E-05,7.226042E-05,6.668593E-05,6.154148E-05,5.67939E-05,5.241257E-05,4.836923E-05,4.463782E-05,4.119426E-05,3.801635E-05,3.508361E-05,3.237711E-05,2.987939E-05,2.757437E-05,2.544716E-05,2.348405E-05,2.167239E-05,2.000049E-05,1.845756E-05,1.703366E-05,1.571961E-05,1.450693E-05,1.33878E-05,1.235501E-05,1.140189E-05,1.05223E-05,9.710561E-06,8.961446E-06,8.270121E-06,7.632128E-06,7.043352E-06,6.499997E-06,5.998559E-06,5.535804E-06,5.108748E-06,4.714636E-06,4.350929E-06,4.015279E-06,3.705523E-06,4.432808E-05
1,0,0.02194235,0.02019462,0.01875914,0.01763632,0.01666792,0.01546518,0.01484303,0.01434014,0.01320729,0.01345652,0.01324995,0.01224062,0.01161531,0.01250291,0.01319348,0.0140752,0.0147618,0.01564656,0.01753618,0.01831193,0.01967568,0.02207471,0.02397087,0.02603199,0.0292635,0.03597751,0.03341223,0.03086916,0.0292803,0.02719488,0.02539934,0.02438695,0.02259141,0.0213434,0.02024966,0.01882894,0.0179302,0.0169468,0.01565596,0.01442878,0.01323754,0.0123476,0.01137008,0.01040406,0.009687109,0.008754193,0.008240648,0.007656049,0.007118487,0.006535404,0.005939043,0.005463707,0.005045513,0.00471499,0.004348489,0.00400441,0.00369098,0.003421016,0.003126964,0.002859966,0.002701283,0.002466148,0.002244249,0.002093218,0.001930013,0.001789982,0.001642597,0.001507706,0.001414177,0.001298627,0.001186707,0.001116853,0.001014271,0.0009464055,0.0008604542,0.0007966509,0.0007363429,0.0006843588,0.0006253749,0.0005879208,0.0005319984,0.0004899898,0.0004528087,0.0004186096,0.0003875591,0.0003550742,0.0003342761,0.0002996193,0.0002782751,0.0002613815,0.0002418694,0.0002258136,0.0002044166,0.0001894073,0.0001717092,0.000162039,0.0001470767,0.0001377879,0.0001256004,0.0001164317,0.0001071014,9.846507E-05,9.073217E-05,8.489516E-05,7.75779E-05,7.238484E-05,6.706858E-05,6.136162E-05,5.594734E-05,5.236086E-05,4.836825E-05,4.55355E-05,4.100484E-05,3.79371E-05,3.454579E-05,3.199315E-05,2.999864E-05,2.754515E-05,2.524102E-05,2.325244E-05,2.131938E-05,1.979807E-05,1.860614E-05,1.702309E-05,1.584695E-05,1.448837E-05,1.335366E-05,1.237875E-05,1.144887E-05,1.054177E-05,9.662758E-06,8.895895E-06,8.252354E-06,7.59113E-06,6.965136E-06
2,0,0.02082437,0.01868591,0.01755415,0.01632237,0.01546719,0.01461868,0.01357385,0.0131488,0.01270364,0.01169748,0.01204336,0.01188426,0.01094704,0.01105832,0.01189925,0.01255654,0.01339911,0.01405319,0.01489687,0.01670605,0.0173982,0.01872608,0.02101965,0.02277853,0.02475289,0.02780535,0.03425895,0.0317896,0.02935649,0.02784383,0.0258612,0.02415375,0.02319285,0.02146319,0.02027542,0.01923639,0.0178695,0.01706313,0.01608092,0.01488089,0.013699,0.01256496,0.01174435,0.01080754,0.009881882,0.009201419,0.008314709,0.007821201,0.00728035,0.006761654,0.006208331,0.005640382,0.005189599,0.004792606,0.004477934,0.004133882,0.00380221,0.003507513,0.003250502,0.002970447,0.002718059,0.002566216,0.002344837,0.002128164,0.001987918,0.001834228,0.001701273,0.001561131,0.001432186,0.001343364,0.001233838,0.001127732,0.001061768,0.0009636494,0.0008993627,0.0008171219,0.0007572274,0.0006994563,0.0006503219,0.0005940995,0.0005588125,0.0005055454,0.000465657,0.0004301237,0.0003978006,0.000368147,0.0003370077,0.0003177728,0.0002841465,0.0002639712,0.0002483816,0.0002301352,0.0002145004,0.0001941644,0.000179965,0.0001629971,0.000154113,0.0001397222,0.0001309222,0.0001192379,0.0001106516,0.0001017461,9.352854E-05,8.614259E-05,8.064737E-05,7.369094E-05,6.871006E-05,6.370824E-05,5.83133E-05,5.309231E-05,4.974693E-05,4.596755E-05,4.330438E-05,3.895269E-05,3.604643E-05,3.280438E-05,3.039028E-05,2.8511E-05,2.617621E-05,2.397163E-05,2.205641E-05,2.024442E-05,1.879817E-05,1.768901E-05,1.616734E-05,1.506962E-05,1.376914E-05,1.269537E-05,1.17518E-05,1.088021E-05,1.00153E-05,9.177393E-06,8.453862E-06,7.837098E-06,7.214872E-06
3,0,0.02000454,0.01791531,0.01609142,0.01537897,0.01425448,0.01358616,0.0128873,0.01195695,0.01164612,0.01130465,0.01040109,0.01078419,0.01067426,0.01042366,0.0105258,0.01133049,0.01195196,0.01276516,0.01338038,0.01419729,0.01591605,0.01654162,0.01781779,0.0200203,0.02164693,0.02354478,0.02643557,0.03263299,0.03024231,0.02792137,0.0264874,0.02459905,0.02297919,0.02207056,0.02039605,0.01927494,0.01827062,0.016962,0.01624341,0.01527773,0.01414896,0.01301696,0.01194146,0.01117465,0.01027678,0.009392807,0.008747254,0.007900705,0.007429037,0.006927851,0.006423493,0.00589776,0.005362419,0.004933256,0.004554485,0.004254265,0.003929789,0.003611192,0.003335271,0.00309117,0.002823633,0.0025836,0.002441416,0.002230414,0.002020061,0.00188799,0.001743676,0.001617966,0.00148397,0.001361464,0.001275831,0.001172888,0.001071615,0.00101015,0.0009161724,0.0008551715,0.0007766381,0.0007201585,0.0006647315,0.0006186232,0.0005649835,0.0005312124,0.0004804215,0.0004427262,0.0004086361,0.0003781828,0.0003500379,0.0003199014,0.0003023295,0.0002696199,0.0002506353,0.0002361282,0.0002189981,0.0002038946,0.000184408,0.0001710904,0.0001549058,0.0001466207,0.0001327561,0.0001245398,0.0001132555,0.0001052361,9.670159E-05,8.892136E-05,8.177367E-05,7.668455E-05,7.001698E-05,6.525916E-05,6.051007E-05,5.54635E-05,5.043796E-05,4.728344E-05,4.369601E-05,4.117976E-05,3.703278E-05,3.425732E-05,3.114282E-05,2.887661E-05,2.711673E-05,2.490464E-05,2.279347E-05,2.093671E-05,1.922463E-05,1.786507E-05,1.681416E-05,1.536691E-05,1.433869E-05,1.309042E-05,1.205815E-05,1.116542E-05,1.034973E-05,9.519589E-06,8.719456E-06,8.033538E-06,7.448649E-06
4,0,0.0194264,0.0172665,0.01556245,0.01399909,0.01347186,0.01253094,0.01200644,0.01140209,0.01057807,0.01035228,0.01006575,0.009262464,0.009658883,0.01017923,0.009934799,0.01002212,0.01079411,0.01137705,0.012166,0.01274946,0.01353423,0.01516455,0.01573596,0.01696124,0.01907309,0.02060603,0.0223941,0.02516349,0.03110176,0.02880098,0.02658709,0.02522127,0.02340192,0.02187263,0.02101734,0.01938786,0.01834136,0.01737365,0.01611769,0.01546177,0.01453007,0.01346483,0.01237708,0.01135997,0.01063503,0.009778798,0.008932886,0.008322745,0.007514205,0.007064812,0.006595786,0.00610959,0.005609814,0.005100969,0.004691466,0.004333925,0.004045965,0.003737682,0.003432582,0.00317203,0.002942062,0.002685563,0.00245747,0.002325798,0.002121806,0.001920209,0.001795824,0.001660329,0.001539058,0.001411833,0.001294467,0.001212647,0.001115908,0.001018688,0.0009617321,0.0008715745,0.0008130779,0.0007386805,0.0006852761,0.0006321823,0.0005886676,0.000537075,0.0005055044,0.0004568728,0.0004211956,0.0003886556,0.000360063,0.0003331698,0.0003036812,0.0002877628,0.0002562231,0.0002381427,0.0002246412,0.0002084989,0.0001940193,0.0001752685,0.0001627431,0.0001473031,0.0001396333,0.0001262509,0.0001185217,0.0001076669,0.0001000994,9.197299E-05,8.461386E-05,7.771946E-05,7.296512E-05,6.658847E-05,6.20322E-05,5.753776E-05,5.279772E-05,4.789468E-05,4.497747E-05,4.15674E-05,3.920655E-05,3.522532E-05,3.258748E-05,2.962066E-05,2.745773E-05,2.58192E-05,2.369879E-05,2.16843E-05,1.988985E-05,1.827968E-05,1.698942E-05,1.598884E-05,1.460446E-05,1.365702E-05,1.246038E-05,1.146294E-05,1.061517E-05,9.843185E-06,9.052003E-06,8.288596E-06,7.642964E-06
5,0,0.01904393,0.01678387,0.01504317,0.0136151,0.01225149,0.01185752,0.01104641,0.01063697,0.01010136,0.009383744,0.009210914,0.008956371,0.008259294,0.009216166,0.009712425,0.009470889,0.009549503,0.01028863,0.01084206,0.01159767,0.01216006,0.0129119,0.01446231,0.01498202,0.01615785,0.0181852,0.01963026,0.02130762,0.02397136,0.0296742,0.02745416,0.02532185,0.02404322,0.02227965,0.02082115,0.02003831,0.01844091,0.01746579,0.01654012,0.01532974,0.01472936,0.01383073,0.01281921,0.01178338,0.010808,0.01013142,0.009312976,0.008499755,0.007927547,0.007152789,0.006723963,0.006286495,0.00581768,0.005341056,0.00485841,0.004465454,0.004129174,0.003851868,0.003557905,0.003265668,0.003019072,0.002801193,0.002556855,0.00234057,0.002216962,0.002020513,0.001827415,0.001709913,0.001581966,0.001465134,0.001344575,0.001231692,0.001154174,0.001062692,0.0009691577,0.0009161347,0.000830117,0.0007739672,0.0007029421,0.0006528512,0.0006017756,0.0005609063,0.0005110257,0.0004813827,0.000434946,0.0004011627,0.0003698496,0.0003431326,0.0003172787,0.0002886088,0.0002739991,0.0002436662,0.0002264775,0.0002139377,0.000198616,0.0001848589,0.0001667495,0.0001549539,0.0001401813,0.0001330573,0.0001201477,0.000112879,0.0001024479,9.52921E-05,8.755798E-05,8.058518E-05,7.394137E-05,6.949843E-05,6.341695E-05,5.901253E-05,5.475671E-05,5.029841E-05,4.552414E-05,4.281894E-05,3.959347E-05,3.734485E-05,3.354709E-05,3.102493E-05,2.817784E-05,2.614558E-05,2.460616E-05,2.256698E-05,2.065304E-05,1.89263E-05,1.740128E-05,1.617075E-05,1.522145E-05,1.389113E-05,1.301283E-05,1.186841E-05,1.091384E-05,1.010217E-05,9.374166E-06,8.6188E-06,7.880211E-06
6,0,0.0187931,0.01657095,0.01460135,0.01317927,0.01197552,0.0107544,0.01045968,0.009767829,0.009431947,0.008977446,0.008337414,0.008196282,0.007980366,0.00788269,0.008800949,0.009272821,0.009032662,0.009101924,0.009812016,0.01033842,0.01106146,0.01160787,0.01232293,0.01380232,0.01427403,0.01540795,0.01734176,0.01871266,0.0202828,0.02285239,0.02831618,0.02618511,0.02413377,0.0229353,0.02122881,0.01983994,0.01910407,0.01755661,0.01663725,0.01575312,0.01459922,0.0140416,0.01317591,0.01221573,0.01122621,0.01029255,0.009658374,0.008878835,0.008095808,0.007554687,0.006813972,0.006406024,0.005996679,0.005542421,0.005087191,0.004630593,0.004252262,0.003936541,0.003669393,0.003389429,0.003110545,0.00287623,0.00266953,0.002437216,0.002231129,0.002115299,0.001926277,0.001741004,0.001629617,0.001508464,0.001396398,0.001282032,0.001172626,0.001099437,0.001012692,0.000922758,0.0008731836,0.0007912104,0.0007373994,0.0006700038,0.0006223865,0.0005732343,0.0005347545,0.0004867208,0.0004589068,0.0004144232,0.0003823579,0.0003522722,0.000327328,0.0003022401,0.0002745078,0.0002611012,0.0002319107,0.0002155999,0.0002039229,0.0001894304,0.0001762445,0.0001587713,0.0001476802,0.0001335168,0.0001268668,0.0001144438,0.0001076082,9.761279E-05,9.082078E-05,8.345048E-05,7.679287E-05,7.040853E-05,6.62618E-05,6.045346E-05,5.620901E-05,5.216894E-05,4.795883E-05,4.333933E-05,4.079201E-05,3.774117E-05,3.559343E-05,3.196933E-05,2.955789E-05,2.684005E-05,2.491658E-05,2.345602E-05,2.149964E-05,1.968973E-05,1.802244E-05,1.657664E-05,1.540118E-05,1.450533E-05,1.322862E-05,1.240542E-05,1.131177E-05,1.039976E-05,9.623832E-06,8.932749E-06,8.2159E-06
7,0,0.01859879,0.01634889,0.01451,0.0127655,0.01160176,0.01057633,0.009470942,0.009256992,0.008662347,0.008366319,0.007972542,0.007412035,0.007299352,0.007621967,0.007525038,0.008406087,0.008849756,0.008617549,0.008677854,0.009359907,0.009860088,0.0105557,0.01108543,0.01176479,0.01317626,0.01361137,0.01469862,0.01654093,0.01784896,0.01932044,0.02180186,0.02701772,0.02498214,0.02301729,0.02187712,0.02023855,0.01891558,0.018214,0.01672096,0.01585098,0.01501691,0.01391229,0.01338554,0.01255872,0.01164348,0.01070102,0.009806958,0.009210844,0.008464771,0.007714568,0.007200514,0.006491716,0.006105691,0.005721588,0.005283382,0.004848458,0.00441486,0.004053127,0.003753931,0.003498105,0.003231319,0.002965058,0.002742221,0.002544774,0.002324143,0.002127809,0.002018474,0.001836616,0.001659717,0.001553329,0.00143895,0.001331757,0.001222785,0.001117492,0.001047505,0.0009653587,0.0008787608,0.0008325144,0.0007544603,0.0007026143,0.000638713,0.000593867,0.0005460734,0.000509947,0.0004638014,0.000437727,0.0003948928,0.0003646198,0.0003355484,0.000312331,0.0002881602,0.0002612647,0.0002489832,0.000220802,0.0002054061,0.0001943559,0.0001806792,0.0001680941,0.0001513156,0.0001407673,0.0001272669,0.0001210319,0.0001090566,0.0001026383,9.305545E-05,8.660627E-05,7.959858E-05,7.321724E-05,6.707237E-05,6.320537E-05,5.765427E-05,5.354407E-05,4.972176E-05,4.574286E-05,4.125693E-05,3.890404E-05,3.599103E-05,3.39472E-05,3.048385E-05,2.817738E-05,2.557818E-05,2.374622E-05,2.237331E-05,2.050216E-05,1.878021E-05,1.716475E-05,1.58035E-05,1.468189E-05,1.38314E-05,1.260878E-05,1.183071E-05,1.078762E-05,9.912389E-06,9.172506E-06,8.514629E-06
8,0,0.01843355,0.01622224,0.01430141,0.0127421,0.01119373,0.01023416,0.00935154,0.00835932,0.008200677,0.007680987,0.007428988,0.00708869,0.006596924,0.006967189,0.007280122,0.007184417,0.008026757,0.008447695,0.008222209,0.008278635,0.008930193,0.009409495,0.01007595,0.01058593,0.01123433,0.0125823,0.01298282,0.01402224,0.01578415,0.01703075,0.01841078,0.02079334,0.02578581,0.02384448,0.02195414,0.02087885,0.0192977,0.01804053,0.01737309,0.01593577,0.01510971,0.0143186,0.01326121,0.01276332,0.0119774,0.01110156,0.01020811,0.009347956,0.008783994,0.008075242,0.007355003,0.006864825,0.006186351,0.005820176,0.005460283,0.005037551,0.004620303,0.004210802,0.003864726,0.003579804,0.003335803,0.003082379,0.00282647,0.002614845,0.002426453,0.002216354,0.002029964,0.001926906,0.001751255,0.001582976,0.001480947,0.001372749,0.001270579,0.001166718,0.001065357,0.0009982996,0.0009206331,0.0008370639,0.0007939219,0.000719624,0.0006696176,0.0006091075,0.0005667266,0.0005205837,0.0004865246,0.0004421611,0.0004176392,0.0003762794,0.0003478395,0.0003197914,0.0002981084,0.0002747894,0.0002486791,0.0002373904,0.0002103102,0.0001957715,0.0001853101,0.0001723469,0.0001603775,0.0001443004,0.0001341997,0.0001213342,0.0001155072,0.0001039784,9.79214E-05,8.872783E-05,8.260213E-05,7.594665E-05,6.982199E-05,6.390182E-05,6.031248E-05,5.498645E-05,5.102337E-05,4.73926E-05,4.36339E-05,3.929368E-05,3.710692E-05,3.432581E-05,3.238495E-05,2.908739E-05,2.685795E-05,2.438165E-05,2.263678E-05,2.134932E-05,1.95555E-05,1.79128E-05,1.635605E-05,1.507066E-05,1.399966E-05,1.319092E-05,1.201953E-05,1.128686E-05,1.028962E-05,9.451823E-06,8.746291E-06
9,0,0.01828455,0.01602898,0.01419029,0.01251657,0.01119861,0.009826549,0.009040846,0.0082749,0.007385829,0.007280172,0.006816316,0.006603919,0.006313709,0.006297471,0.006647657,0.006955207,0.006858291,0.007667614,0.008060575,0.007845486,0.007899079,0.008524236,0.008981621,0.009617048,0.01011189,0.0107234,0.01201376,0.01238317,0.0133798,0.01506929,0.01624752,0.01754573,0.01984662,0.0246141,0.02275425,0.02094826,0.01992414,0.01840088,0.01721466,0.01658,0.01519333,0.01441263,0.01365229,0.01264288,0.01217102,0.01142448,0.01058497,0.0097385,0.00891222,0.008375223,0.007703308,0.007014757,0.006545218,0.005896438,0.005550456,0.005211488,0.004804455,0.004403855,0.004017058,0.003684118,0.003415223,0.003182186,0.002941495,0.002694467,0.002493888,0.002313922,0.002114207,0.001936917,0.001839442,0.001670856,0.001509852,0.001412256,0.001310268,0.001212145,0.001113574,0.001015847,0.0009514483,0.0008781345,0.0007973234,0.0007572675,0.0006864914,0.000638482,0.0005806958,0.0005410285,0.0004965811,0.0004641197,0.000421419,0.000398441,0.0003586916,0.0003318007,0.0003047363,0.0002846583,0.0002620787,0.0002368228,0.000226335,0.0002003415,0.0001865772,0.0001767108,0.0001643719,0.000153002,0.0001376044,0.0001280032,0.000115694,0.0001101914,9.913398E-05,9.342949E-05,8.46002E-05,7.881606E-05,7.24569E-05,6.658493E-05,6.090712E-05,5.756112E-05,5.242211E-05,4.863215E-05,4.519372E-05,4.163057E-05,3.743948E-05,3.539745E-05,3.274037E-05,3.090126E-05,2.774941E-05,2.560089E-05,2.324112E-05,2.158932E-05,2.036963E-05,1.865088E-05,1.708458E-05,1.558797E-05,1.437327E-05,1.334962E-05,1.258031E-05,1.145525E-05,1.076776E-05,9.816719E-06,9.010426E-06
