"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,134
Timestep, Region,"Spanish mackerel juv"_0,"Spanish mackerel juv"_1,"Spanish mackerel juv"_2,"Spanish mackerel juv"_3,"Spanish mackerel juv"_4,"Spanish mackerel juv"_5,"Spanish mackerel juv"_6,"Spanish mackerel juv"_7,"Spanish mackerel juv"_8,"Spanish mackerel juv"_9,"Spanish mackerel juv"_10,"Spanish mackerel juv"_11,"Spanish mackerel adult"_12,"Spanish mackerel adult"_13,"Spanish mackerel adult"_14,"Spanish mackerel adult"_15,"Spanish mackerel adult"_16,"Spanish mackerel adult"_17,"Spanish mackerel adult"_18,"Spanish mackerel adult"_19,"Spanish mackerel adult"_20,"Spanish mackerel adult"_21,"Spanish mackerel adult"_22,"Spanish mackerel adult"_23,"Spanish mackerel adult"_24,"Spanish mackerel adult"_25,"Spanish mackerel adult"_26,"Spanish mackerel adult"_27,"Spanish mackerel adult"_28,"Spanish mackerel adult"_29,"Spanish mackerel adult"_30,"Spanish mackerel adult"_31,"Spanish mackerel adult"_32,"Spanish mackerel adult"_33,"Spanish mackerel adult"_34,"Spanish mackerel adult"_35,"Spanish mackerel adult"_36,"Spanish mackerel adult"_37,"Spanish mackerel adult"_38,"Spanish mackerel adult"_39,"Spanish mackerel adult"_40,"Spanish mackerel adult"_41,"Spanish mackerel adult"_42,"Spanish mackerel adult"_43,"Spanish mackerel adult"_44,"Spanish mackerel adult"_45,"Spanish mackerel adult"_46,"Spanish mackerel adult"_47,"Spanish mackerel adult"_48,"Spanish mackerel adult"_49,"Spanish mackerel adult"_50,"Spanish mackerel adult"_51,"Spanish mackerel adult"_52,"Spanish mackerel adult"_53,"Spanish mackerel adult"_54,"Spanish mackerel adult"_55,"Spanish mackerel adult"_56,"Spanish mackerel adult"_57,"Spanish mackerel adult"_58,"Spanish mackerel adult"_59,"Spanish mackerel adult"_60,"Spanish mackerel adult"_61,"Spanish mackerel adult"_62,"Spanish mackerel adult"_63,"Spanish mackerel adult"_64,"Spanish mackerel adult"_65,"Spanish mackerel adult"_66,"Spanish mackerel adult"_67,"Spanish mackerel adult"_68,"Spanish mackerel adult"_69,"Spanish mackerel adult"_70,"Spanish mackerel adult"_71,"Spanish mackerel adult"_72,"Spanish mackerel adult"_73,"Spanish mackerel adult"_74,"Spanish mackerel adult"_75,"Spanish mackerel adult"_76,"Spanish mackerel adult"_77,"Spanish mackerel adult"_78,"Spanish mackerel adult"_79,"Spanish mackerel adult"_80,"Spanish mackerel adult"_81,"Spanish mackerel adult"_82,"Spanish mackerel adult"_83,"Spanish mackerel adult"_84,"Spanish mackerel adult"_85,"Spanish mackerel adult"_86,"Spanish mackerel adult"_87,"Spanish mackerel adult"_88,"Spanish mackerel adult"_89,"Spanish mackerel adult"_90,"Spanish mackerel adult"_91,"Spanish mackerel adult"_92,"Spanish mackerel adult"_93,"Spanish mackerel adult"_94,"Spanish mackerel adult"_95,"Spanish mackerel adult"_96,"Spanish mackerel adult"_97,"Spanish mackerel adult"_98,"Spanish mackerel adult"_99,"Spanish mackerel adult"_100,"Spanish mackerel adult"_101,"Spanish mackerel adult"_102,"Spanish mackerel adult"_103,"Spanish mackerel adult"_104,"Spanish mackerel adult"_105,"Spanish mackerel adult"_106,"Spanish mackerel adult"_107,"Spanish mackerel adult"_108,"Spanish mackerel adult"_109,"Spanish mackerel adult"_110,"Spanish mackerel adult"_111,"Spanish mackerel adult"_112,"Spanish mackerel adult"_113,"Spanish mackerel adult"_114,"Spanish mackerel adult"_115,"Spanish mackerel adult"_116,"Spanish mackerel adult"_117,"Spanish mackerel adult"_118,"Spanish mackerel adult"_119,"Spanish mackerel adult"_120,"Spanish mackerel adult"_121,"Spanish mackerel adult"_122,"Spanish mackerel adult"_123,"Spanish mackerel adult"_124,"Spanish mackerel adult"_125,"Spanish mackerel adult"_126,"Spanish mackerel adult"_127,"Spanish mackerel adult"_128,"Spanish mackerel adult"_129,"Spanish mackerel adult"_130,"Spanish mackerel adult"_131,"Spanish mackerel adult"_132,"Spanish mackerel adult"_133,"Spanish mackerel adult"_134
0,Ecosim Base Values,0,1.517479E-05,0.0001169456,0.0003802745,0.0008686027,0.001635035,0.002723421,0.004169342,0.006001001,0.008240045,0.01090231,0.01399849,0.01753474,0.02151326,0.02593275,0.03078891,0.03607484,0.04178138,0.04789748,0.0544105,0.06130645,0.06857022,0.07618592,0.08413684,0.09240588,0.1009755,0.109828,0.1189456,0.1283104,0.1379047,0.1477109,0.1577117,0.1678901,0.1782293,0.1887133,0.199326,0.2100522,0.2208769,0.2317857,0.2427648,0.2538008,0.2648809,0.2759928,0.2871248,0.2982657,0.3094047,0.3205318,0.3316373,0.3427121,0.3537475,0.3647356,0.3756684,0.3865389,0.3973404,0.4080664,0.4187112,0.4292692,0.4397352,0.4501047,0.4603732,0.4705368,0.4805918,0.4905349,0.5003629,0.5100733,0.5196635,0.5291312,0.5384747,0.5476921,0.5567822,0.5657434,0.574575,0.5832759,0.5918457,0.6002837,0.6085896,0.6167635,0.6248051,0.6327147,0.6404924,0.6481388,0.6556543,0.6630393,0.6702948,0.6774213,0.68442,0.6912917,0.6980374,0.7046583,0.7111554,0.71753,0.7237833,0.7299168,0.7359316,0.7418293,0.7476113,0.753279,0.7588338,0.7642773,0.7696112,0.7748368,0.7799558,0.7849697,0.7898801,0.7946886,0.7993969,0.8040065,0.8085189,0.8129359,0.817259,0.8214899,0.8256299,0.829681,0.8336443,0.8375218,0.8413148,0.8450249,0.8486536,0.8522025,0.8556731,0.8590668,0.8623852,0.8656295,0.8688014,0.8719022,0.8749334,0.8778962,0.8807921,0.8836225,0.8863887,0.8890918,0.8917333,0.8943146,0.8968366,0.9219052
1,0,9.999945E-11,5.063086E-05,0.0003992215,0.001257425,0.002661089,0.00499074,0.007873747,0.01203145,0.01744447,0.02291535,0.02989336,0.03832104,0.05079276,0.04552671,0.04241395,0.04063982,0.04046402,0.04043486,0.03729815,0.03693879,0.0367806,0.03685937,0.03770394,0.03954796,0.04094583,0.03979331,0.04253333,0.04569399,0.04765004,0.05087671,0.05405536,0.05724717,0.06154321,0.06571635,0.06899891,0.07370881,0.07688821,0.08159643,0.08562689,0.09006872,0.09438021,0.09952397,0.1034398,0.108157,0.1129253,0.1188859,0.122175,0.1255656,0.130867,0.1348752,0.1416799,0.1464779,0.1505064,0.1555566,0.1597553,0.1657384,0.1708598,0.17473,0.1811376,0.1847052,0.1876661,0.192588,0.2004633,0.2043213,0.2080538,0.2125167,0.2172568,0.223494,0.2237721,0.2294414,0.2330552,0.2363253,0.2433555,0.2468232,0.2537915,0.2553322,0.2575205,0.260628,0.2678093,0.2690323,0.2737658,0.2801901,0.2823636,0.286484,0.2875537,0.2944084,0.2944291,0.3031151,0.3032159,0.3058477,0.307455,0.3117357,0.3120053,0.3191943,0.3237285,0.3245151,0.3260267,0.327285,0.3338816,0.3361189,0.3374482,0.3417185,0.3432542,0.3442677,0.3487727,0.3503649,0.3488472,0.355323,0.3585193,0.3589719,0.3617971,0.3612252,0.3670487,0.3701552,0.3727016,0.3734786,0.3727725,0.3747238,0.3786948,0.3827631,0.3844361,0.3832254,0.3831145,0.3808998,0.3825562,0.3898653,0.3903688,0.3934079,0.3933885,0.395367,0.395356,0.3968005,0.4004571,0.3995289,0.411164
2,0,9.999945E-11,5.797918E-05,0.0004224328,0.001343456,0.003023733,0.005316006,0.00883026,0.01258522,0.01798576,0.02518452,0.03101034,0.03963631,0.05000367,0.04895813,0.04431024,0.04171778,0.0403657,0.04050615,0.04081878,0.03815366,0.03828418,0.03840183,0.03873435,0.03993498,0.04195633,0.04356434,0.04258136,0.04555672,0.04889557,0.05092527,0.05415765,0.05741546,0.06067233,0.06504076,0.06937502,0.07263695,0.07739614,0.08041278,0.08541376,0.08924989,0.09374384,0.09802197,0.1029898,0.1069504,0.1117016,0.1165029,0.1222783,0.1256725,0.1287132,0.1341613,0.1379215,0.1446563,0.1493459,0.153383,0.1584639,0.1623545,0.1684858,0.173131,0.1770237,0.183321,0.1867365,0.1897784,0.1942445,0.2023742,0.2059767,0.2094691,0.2138629,0.2184636,0.224544,0.2248514,0.2303362,0.233658,0.2368129,0.2437219,0.2471742,0.2541682,0.2551828,0.2575924,0.2603864,0.2674737,0.2686388,0.2731986,0.2795873,0.2815879,0.2854691,0.2866274,0.2933937,0.2932884,0.3018352,0.3017973,0.3042856,0.305516,0.3099675,0.3100139,0.3171124,0.3215458,0.3221742,0.3235179,0.3248576,0.3312857,0.3334141,0.3346584,0.3388006,0.3401404,0.341246,0.3456427,0.3474375,0.3457695,0.35176,0.3550595,0.3553131,0.358063,0.3574893,0.3632369,0.3662212,0.36865,0.3691594,0.3685845,0.3703244,0.3744913,0.3785848,0.3798948,0.3787739,0.37847,0.3764122,0.3777235,0.385047,0.3852176,0.3890679,0.3884995,0.390668,0.3905799,0.3916108,0.395238,0.4024082
3,0,9.999945E-11,6.342984E-05,0.0005112526,0.001441224,0.003371943,0.005960032,0.009496949,0.01444168,0.01969627,0.02626655,0.03531216,0.04176136,0.05184545,0.04822285,0.04757315,0.04348635,0.04139202,0.04042167,0.04090161,0.04151239,0.03933993,0.0399303,0.04029806,0.04084568,0.04241188,0.04461885,0.04643696,0.0455578,0.04881721,0.05231935,0.05438545,0.057655,0.06094538,0.06425207,0.06877925,0.07313914,0.07652178,0.08125,0.08409502,0.08931797,0.09306689,0.09765241,0.1017396,0.1066519,0.1106409,0.1153988,0.1202206,0.1258891,0.1292507,0.1320129,0.1376391,0.141264,0.1477917,0.1524289,0.156522,0.1616033,0.1651919,0.1714372,0.175688,0.1795263,0.185714,0.189043,0.191984,0.1962444,0.2045994,0.2081125,0.2112564,0.215419,0.220023,0.2259194,0.226495,0.2315829,0.2347153,0.2376652,0.2443829,0.2478714,0.2548577,0.2554326,0.2579221,0.2604918,0.267519,0.2686783,0.2731719,0.279512,0.2814142,0.284916,0.2860487,0.2930222,0.2924277,0.3011979,0.3008195,0.3033071,0.3042327,0.308632,0.308767,0.315628,0.320051,0.3204974,0.3216756,0.3227452,0.3292823,0.3312905,0.3324185,0.3363682,0.337818,0.338721,0.3432877,0.3451086,0.3433869,0.3487673,0.3521422,0.352288,0.3550067,0.3545058,0.3600363,0.3630554,0.365562,0.365637,0.3650694,0.3664977,0.3708695,0.3751672,0.3763236,0.3749294,0.3746486,0.3725361,0.3735713,0.3809183,0.3812636,0.3850627,0.3842624,0.3863657,0.3864234,0.3873927,0.398836
4,0,9.999945E-11,7.451209E-05,0.0005360697,0.001743761,0.003552772,0.006659802,0.01043824,0.01547691,0.02228994,0.02884152,0.03717499,0.04797734,0.05517782,0.04990623,0.04686727,0.04661949,0.04305842,0.04144132,0.0408434,0.04162602,0.04253245,0.04083606,0.04184962,0.04244747,0.04324082,0.04506987,0.04753482,0.04945833,0.04868472,0.05217273,0.055868,0.05795433,0.06135819,0.06463933,0.06792792,0.07269763,0.07705574,0.08053812,0.08525474,0.08790649,0.09333169,0.09699956,0.1016683,0.1056607,0.1105069,0.1144921,0.1193062,0.1240766,0.1296062,0.1329472,0.1355695,0.1412881,0.1447021,0.1511041,0.1557528,0.1597578,0.1648078,0.168268,0.1746639,0.1785826,0.1821765,0.188412,0.1914879,0.1944924,0.198544,0.2068713,0.2103753,0.2132006,0.2172988,0.2219333,0.2277635,0.2284074,0.2331256,0.23609,0.2387641,0.2454598,0.2491763,0.2557946,0.256108,0.2585761,0.2610889,0.2681273,0.2689915,0.2734855,0.27984,0.2815745,0.2846287,0.2858895,0.2931969,0.2921271,0.3008409,0.3004763,0.302737,0.3034132,0.3077393,0.3079826,0.3146397,0.3188833,0.3192932,0.3203983,0.3212901,0.3277183,0.3298642,0.3307352,0.3345871,0.3360579,0.3368927,0.3413486,0.3432235,0.3413484,0.3464391,0.3500639,0.3499088,0.3525239,0.3520836,0.357476,0.360443,0.3628344,0.362762,0.3621382,0.3635453,0.367842,0.3723168,0.3732218,0.3717483,0.3714682,0.3697598,0.3698142,0.3772771,0.3780234,0.3818198,0.3809241,0.3827674,0.3829795,0.3918782
5,0,9.999945E-11,7.341435E-05,0.0005729095,0.001775722,0.004106877,0.006962607,0.0116472,0.01658144,0.02349063,0.03201726,0.03962553,0.05042013,0.06365451,0.05302845,0.0484047,0.04592584,0.04606402,0.04297016,0.04177834,0.04161856,0.04264603,0.04383105,0.04256921,0.04400523,0.04479697,0.04580622,0.04788807,0.05064887,0.05264687,0.05191929,0.05568024,0.05956372,0.06156387,0.06513947,0.06854038,0.07166836,0.07675789,0.08103949,0.08463015,0.08933398,0.09183013,0.09743344,0.1010913,0.1056717,0.1096935,0.1144213,0.1183614,0.1233348,0.1278863,0.1333895,0.1367544,0.1391663,0.1449292,0.1482244,0.1544752,0.1591185,0.1629328,0.1680643,0.1713969,0.1780773,0.1815133,0.1850227,0.1911885,0.1939808,0.196991,0.2010116,0.2092234,0.2127003,0.2152162,0.2193249,0.2239985,0.2297293,0.2303274,0.2348723,0.237713,0.2401237,0.2467098,0.2506766,0.2570789,0.2570458,0.2594282,0.2618203,0.2688539,0.2694884,0.2740733,0.2802778,0.281979,0.2845287,0.285999,0.293648,0.2921162,0.3008139,0.300239,0.3022799,0.3028797,0.3070483,0.3076002,0.3139026,0.3179061,0.3185202,0.3193799,0.3201156,0.3264899,0.3286977,0.3293794,0.3331762,0.3346006,0.3354856,0.3397263,0.3415517,0.3396672,0.3445409,0.3483807,0.3480163,0.3504028,0.3502192,0.3552128,0.3583058,0.3606289,0.3600585,0.3595662,0.3609921,0.365344,0.3697746,0.3703113,0.3689972,0.3686157,0.3672936,0.3667561,0.3741381,0.3749601,0.3788572,0.3778367,0.3794973,0.3884786
6,0,9.999945E-11,7.261534E-05,0.0005655452,0.001874719,0.004113827,0.00787488,0.01198648,0.01830466,0.02473497,0.03304308,0.04337126,0.05319529,0.06486567,0.06089907,0.05129698,0.04728534,0.04537699,0.04583587,0.04320343,0.04242584,0.04264913,0.04391397,0.04539109,0.04452941,0.0463408,0.04730263,0.04856235,0.05086938,0.05392306,0.05595115,0.05532195,0.05925122,0.06336786,0.06526694,0.06902391,0.07243479,0.07559423,0.08087675,0.08520069,0.08883017,0.09344765,0.09584098,0.1015532,0.1051624,0.1097149,0.1137591,0.1183592,0.1221537,0.1273345,0.1318334,0.1372043,0.1406255,0.1427119,0.1486656,0.1518452,0.1578802,0.1625899,0.1662174,0.1714173,0.17465,0.1814467,0.1845395,0.187962,0.1938959,0.1965517,0.1994393,0.2034339,0.2116673,0.2151167,0.2172952,0.221422,0.2258938,0.2318558,0.232194,0.2366237,0.2394561,0.2416792,0.2480746,0.2521594,0.2583398,0.2582527,0.2605014,0.2626998,0.2697418,0.2701342,0.274732,0.2809037,0.2825759,0.2844345,0.2864141,0.2942543,0.2922212,0.3009496,0.3001123,0.3018851,0.3024627,0.3065509,0.3072059,0.3132813,0.3173387,0.3179947,0.3186836,0.3190725,0.3254276,0.327796,0.3280399,0.3320891,0.3332952,0.3341163,0.3381936,0.3400475,0.3382471,0.3426979,0.3468229,0.3462723,0.3485551,0.3487969,0.3531953,0.3564005,0.3584182,0.3577085,0.3573521,0.3588623,0.3631606,0.3675551,0.3678917,0.3667814,0.3661454,0.3651227,0.3641419,0.3713416,0.3721394,0.3763404,0.3751814,0.3848612
7,0,9.999945E-11,7.078175E-05,0.0005411712,0.001755991,0.004130116,0.007534805,0.01288438,0.01826424,0.02668507,0.03460645,0.04424454,0.05690052,0.06859056,0.06193716,0.0585958,0.04997976,0.04658105,0.04514267,0.04596053,0.04371655,0.04335322,0.04389909,0.04538219,0.0471505,0.04664779,0.04876647,0.04991241,0.05141926,0.05392121,0.05724541,0.05929057,0.05881974,0.06286891,0.06713539,0.06901387,0.07285467,0.07628828,0.07958557,0.08498941,0.08939951,0.09292179,0.09754032,0.09990709,0.1055964,0.1092082,0.1137243,0.1177176,0.1222038,0.1259763,0.1312589,0.1357546,0.1410117,0.1444646,0.146281,0.152358,0.1554313,0.1612211,0.16586,0.1694787,0.1746177,0.1778191,0.184646,0.1874703,0.190955,0.1965283,0.1991141,0.2019576,0.2058367,0.214028,0.2175798,0.2192728,0.2234118,0.2277614,0.2337229,0.2342064,0.2383939,0.2412252,0.243362,0.2494717,0.2538427,0.2596658,0.2591635,0.2617836,0.2636393,0.2707704,0.2707196,0.2754443,0.2816584,0.2833151,0.2844986,0.2867503,0.2948461,0.2923742,0.3010553,0.3000098,0.3016846,0.3022426,0.3062299,0.3067333,0.3128387,0.3167295,0.3174278,0.317959,0.3180839,0.324472,0.3268065,0.3267086,0.3310322,0.332109,0.3328884,0.3367732,0.3387958,0.3369275,0.3410587,0.3456017,0.3444444,0.3470275,0.3473391,0.3512049,0.3546166,0.3564457,0.355625,0.3551808,0.3565799,0.3609173,0.3656034,0.3656932,0.3644357,0.3636223,0.3628946,0.3620967,0.3687208,0.369517,0.3738429,0.3809041
8,0,9.999945E-11,7.265365E-05,0.0006026276,0.001719126,0.003955385,0.007530935,0.01233655,0.0195164,0.02612075,0.03657608,0.0460114,0.0570297,0.07151809,0.06543308,0.05948479,0.05673278,0.04904193,0.04621471,0.04523654,0.04636486,0.04448964,0.04449313,0.0453291,0.04705824,0.0490711,0.04892897,0.05134063,0.05262219,0.05436735,0.05704957,0.06055972,0.06271773,0.06235647,0.0665066,0.07094183,0.07273908,0.07672115,0.08017609,0.08350581,0.08905853,0.09350776,0.09698859,0.1015396,0.1039355,0.1095505,0.1132025,0.1176235,0.1215821,0.1259889,0.1296755,0.1351032,0.1396279,0.1447953,0.1483001,0.1497177,0.1560144,0.1589524,0.1643574,0.1691291,0.1726526,0.1777479,0.1808155,0.1878179,0.1903813,0.193869,0.1991575,0.2015641,0.2043503,0.2082189,0.2162084,0.219983,0.2212676,0.2252516,0.2295356,0.235603,0.2360768,0.2400845,0.2430163,0.2450038,0.2507989,0.2554608,0.2609092,0.260076,0.2627905,0.2644415,0.2716002,0.2712965,0.2762424,0.282345,0.2839904,0.2847193,0.2871255,0.2955081,0.292789,0.3012803,0.2999036,0.3014344,0.3022052,0.3057945,0.3062486,0.3124306,0.3161873,0.3167147,0.3172636,0.3172313,0.3235457,0.3260307,0.3254969,0.3300124,0.3310646,0.3316568,0.3356713,0.3375395,0.3359057,0.3396092,0.3442658,0.3428071,0.3455375,0.3458912,0.3491663,0.3531058,0.3546717,0.3536431,0.3530594,0.3546184,0.3589218,0.3635187,0.3635618,0.3622435,0.3613774,0.3610093,0.360029,0.3661836,0.3669883,0.3797095
9,0,9.999945E-11,7.304134E-05,0.0005368179,0.001792231,0.003913276,0.007331804,0.01218016,0.01839708,0.027607,0.03539492,0.047853,0.05882601,0.07074526,0.06810415,0.06279052,0.05746983,0.05527887,0.04845013,0.046175,0.04559388,0.04704834,0.04552229,0.0458276,0.04692756,0.04886628,0.05117122,0.05133552,0.05403576,0.0554359,0.05731751,0.0602178,0.06393068,0.06617815,0.06591093,0.07011876,0.07472137,0.07645849,0.08062948,0.08402253,0.08731341,0.09300655,0.09750605,0.1009692,0.1054906,0.1078856,0.1134686,0.1171551,0.1214552,0.1254118,0.1298024,0.1333814,0.1388188,0.1434494,0.1485071,0.1519099,0.1531112,0.1594618,0.162394,0.1674635,0.172334,0.1757092,0.1807627,0.1836376,0.1908945,0.1931537,0.1965796,0.2017066,0.2040125,0.2066866,0.2104614,0.2183905,0.2222393,0.2230774,0.2270721,0.2312466,0.2373468,0.2379639,0.2417657,0.2447777,0.2465838,0.2521,0.2568778,0.2621782,0.2608728,0.2635668,0.265268,0.2726089,0.2719385,0.2769178,0.2829242,0.284618,0.2848375,0.2873598,0.2959703,0.2932057,0.3014272,0.2998181,0.3012373,0.3020889,0.3055182,0.3057392,0.3120376,0.3156914,0.31634,0.3167089,0.3163267,0.3225037,0.3251562,0.3244799,0.3290205,0.3298459,0.3303337,0.3347794,0.3362743,0.334619,0.3379542,0.3427424,0.3412191,0.3440534,0.3444296,0.3474288,0.3516583,0.3531446,0.351684,0.3511889,0.3526793,0.3570362,0.3616064,0.3613314,0.3601205,0.3592894,0.3592265,0.3577903,0.3638726,0.3729709
