"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,112
Timestep, Region,"king mackerel juv"_0,"king mackerel juv"_1,"king mackerel juv"_2,"king mackerel juv"_3,"king mackerel juv"_4,"king mackerel juv"_5,"king mackerel juv"_6,"king mackerel juv"_7,"king mackerel juv"_8,"king mackerel juv"_9,"king mackerel juv"_10,"king mackerel juv"_11,"king mackerel adult"_12,"king mackerel adult"_13,"king mackerel adult"_14,"king mackerel adult"_15,"king mackerel adult"_16,"king mackerel adult"_17,"king mackerel adult"_18,"king mackerel adult"_19,"king mackerel adult"_20,"king mackerel adult"_21,"king mackerel adult"_22,"king mackerel adult"_23,"king mackerel adult"_24,"king mackerel adult"_25,"king mackerel adult"_26,"king mackerel adult"_27,"king mackerel adult"_28,"king mackerel adult"_29,"king mackerel adult"_30,"king mackerel adult"_31,"king mackerel adult"_32,"king mackerel adult"_33,"king mackerel adult"_34,"king mackerel adult"_35,"king mackerel adult"_36,"king mackerel adult"_37,"king mackerel adult"_38,"king mackerel adult"_39,"king mackerel adult"_40,"king mackerel adult"_41,"king mackerel adult"_42,"king mackerel adult"_43,"king mackerel adult"_44,"king mackerel adult"_45,"king mackerel adult"_46,"king mackerel adult"_47,"king mackerel adult"_48,"king mackerel adult"_49,"king mackerel adult"_50,"king mackerel adult"_51,"king mackerel adult"_52,"king mackerel adult"_53,"king mackerel adult"_54,"king mackerel adult"_55,"king mackerel adult"_56,"king mackerel adult"_57,"king mackerel adult"_58,"king mackerel adult"_59,"king mackerel adult"_60,"king mackerel adult"_61,"king mackerel adult"_62,"king mackerel adult"_63,"king mackerel adult"_64,"king mackerel adult"_65,"king mackerel adult"_66,"king mackerel adult"_67,"king mackerel adult"_68,"king mackerel adult"_69,"king mackerel adult"_70,"king mackerel adult"_71,"king mackerel adult"_72,"king mackerel adult"_73,"king mackerel adult"_74,"king mackerel adult"_75,"king mackerel adult"_76,"king mackerel adult"_77,"king mackerel adult"_78,"king mackerel adult"_79,"king mackerel adult"_80,"king mackerel adult"_81,"king mackerel adult"_82,"king mackerel adult"_83,"king mackerel adult"_84,"king mackerel adult"_85,"king mackerel adult"_86,"king mackerel adult"_87,"king mackerel adult"_88,"king mackerel adult"_89,"king mackerel adult"_90,"king mackerel adult"_91,"king mackerel adult"_92,"king mackerel adult"_93,"king mackerel adult"_94,"king mackerel adult"_95,"king mackerel adult"_96,"king mackerel adult"_97,"king mackerel adult"_98,"king mackerel adult"_99,"king mackerel adult"_100,"king mackerel adult"_101,"king mackerel adult"_102,"king mackerel adult"_103,"king mackerel adult"_104,"king mackerel adult"_105,"king mackerel adult"_106,"king mackerel adult"_107,"king mackerel adult"_108,"king mackerel adult"_109,"king mackerel adult"_110,"king mackerel adult"_111,"king mackerel adult"_112
0,Ecosim Base Values,0.02223703,0.02025324,0.01844643,0.01680081,0.015302,0.01393689,0.01269357,0.01156117,0.01052978,0.009590413,0.008734844,0.007955601,0.007245875,0.007038957,0.006837949,0.006642681,0.006452988,0.006268713,0.0060897,0.005915799,0.005746863,0.005582753,0.005423328,0.005268456,0.005118007,0.004971854,0.004829875,0.004691951,0.004557964,0.004427805,0.004301362,0.00417853,0.004059205,0.003943288,0.003830681,0.00372129,0.003615022,0.00351179,0.003411505,0.003314084,0.003219445,0.003127509,0.003038198,0.002951437,0.002867154,0.002785278,0.00270574,0.002628473,0.002553413,0.002480496,0.002409662,0.00234085,0.002274003,0.002209065,0.002145982,0.0020847,0.002025168,0.001967336,0.001911156,0.00185658,0.001803562,0.001752059,0.001702026,0.001653422,0.001606206,0.001560338,0.00151578,0.001472495,0.001430445,0.001389596,0.001349914,0.001311365,0.001273917,0.001237539,0.001202199,0.001167868,0.001134518,0.00110212,0.001070647,0.001040073,0.001010372,0.0009815192,0.0009534903,0.0009262619,0.000899811,0.0008741155,0.0008491538,0.0008249049,0.0008013484,0.0007784646,0.0007562343,0.0007346388,0.0007136601,0.0006932804,0.0006734827,0.0006542504,0.0006355672,0.0006174176,0.0005997863,0.0005826585,0.0005660197,0.0005498561,0.0005341541,0.0005189005,0.0005040825,0.0004896876,0.0004757038,0.0004621193,0.0004489228,0.0004361031,0.0004236495,0.0004115515,0.01400024
1,1,0.1783596,0.1513163,0.1265107,0.10307,0.08184583,0.06486522,0.0513321,0.04223957,0.03444527,0.02673867,0.02013384,0.0148609,0.01139491,0.009984099,0.008388096,0.006948932,0.005666545,0.004565736,0.003778027,0.003530181,0.003464414,0.003480075,0.0035613,0.003702177,0.004691494,0.004632264,0.00444627,0.004264699,0.004118322,0.003988181,0.003890377,0.003790419,0.003669421,0.003564082,0.00347118,0.003401315,0.003309117,0.003162406,0.003074037,0.002957445,0.002893352,0.002795958,0.002719574,0.002660989,0.002566676,0.002491823,0.002433691,0.002385033,0.002312247,0.002210908,0.002159651,0.002103634,0.002045999,0.001997549,0.001933406,0.00187214,0.00181793,0.001754763,0.001726032,0.001674167,0.001626226,0.001573649,0.001524311,0.001488887,0.001454174,0.001407111,0.001359969,0.001331374,0.001293417,0.001250045,0.001196871,0.001180831,0.001144953,0.001114655,0.001074624,0.00104462,0.001022789,0.0009981388,0.000965375,0.000931973,0.0009149732,0.0008806764,0.0008602063,0.0008281894,0.0008082403,0.0007841737,0.0007573051,0.0007396092,0.0007178365,0.0006989715,0.000676813,0.0006601003,0.0006430276,0.0006218207,0.0006031627,0.0005923088,0.0005724093,0.0005564013,0.0005313637,0.0005244864,0.0005076158,0.000495758,0.0004808108,0.0004667337,0.0004538906,0.0004359089,0.0004271953,0.0004151773,0.0004001258,0.000393113,0.0003798375,0.0003718826,0.0003592625
2,1,0.1747395,0.1518694,0.1288167,0.1076396,0.08876036,0.07041299,0.05548277,0.04372955,0.0359637,0.02950227,0.02279228,0.01724662,0.01277286,0.01093049,0.009614577,0.008051183,0.00664644,0.005429332,0.004393323,0.003638098,0.003392016,0.003332653,0.003338731,0.003418907,0.003546919,0.004508628,0.004459392,0.004242366,0.004092607,0.003936101,0.003823612,0.003753603,0.003639171,0.00351258,0.003420267,0.003331835,0.003267812,0.003171501,0.003033116,0.002950696,0.002834367,0.002789567,0.002675134,0.002602696,0.002561598,0.002466125,0.002398015,0.002333518,0.002280033,0.00221761,0.002132106,0.002071927,0.00202475,0.001974094,0.001912999,0.001855746,0.001792056,0.001744303,0.001684194,0.001660601,0.001609337,0.001561331,0.001510707,0.001465218,0.001428833,0.001394009,0.001348435,0.001308329,0.001278781,0.001238858,0.00120014,0.001152125,0.001131152,0.001093288,0.00107364,0.001035177,0.001001148,0.0009864924,0.0009602567,0.0009240104,0.0008982029,0.0008747663,0.0008473377,0.0008274793,0.0007977886,0.000776678,0.0007562586,0.0007279025,0.0007096265,0.0006914808,0.0006681815,0.0006526401,0.0006357807,0.0006168161,0.0005956025,0.0005773823,0.000566602,0.0005495725,0.0005357048,0.0005100504,0.0005035184,0.0004873869,0.0004749641,0.0004605654,0.0004490532,0.000433641,0.0004186684,0.0004086868,0.0003985317,0.0003865268,0.0003780322,0.0003640542,0.0003590364
3,1,0.1675614,0.1474767,0.1290322,0.109001,0.09141945,0.07517363,0.05972357,0.04700364,0.03708418,0.03050786,0.02508718,0.01940442,0.01467585,0.0122402,0.01051056,0.009228217,0.007728707,0.006384886,0.005222836,0.004192727,0.003490853,0.003267098,0.003190332,0.003213391,0.003272484,0.003398067,0.004306198,0.00426496,0.004097371,0.00392885,0.003789563,0.0036731,0.003604092,0.003491288,0.003382353,0.003279703,0.00319179,0.003136949,0.003038231,0.002898563,0.002830875,0.002713379,0.002670422,0.002570719,0.002501563,0.002457489,0.00236216,0.002280322,0.00224524,0.00218556,0.002118964,0.002045117,0.001990663,0.001934553,0.001891829,0.001835571,0.001782912,0.001721038,0.001664811,0.001618114,0.001591988,0.00154222,0.001495689,0.001451437,0.001403676,0.001368128,0.001339733,0.001296231,0.001252749,0.001227551,0.001190847,0.001149841,0.001103595,0.001086865,0.001049939,0.001030168,0.0009935726,0.000960361,0.0009465902,0.0009220784,0.0008873009,0.0008604035,0.0008445571,0.0008106311,0.0007930375,0.0007665002,0.0007469469,0.0007230188,0.0006996309,0.0006818311,0.0006636889,0.0006411067,0.0006237635,0.0006100169,0.0005908987,0.0005731211,0.0005534025,0.0005472118,0.0005215159,0.0005134891,0.0004881528,0.0004816345,0.0004668462,0.0004552034,0.0004440745,0.0004302406,0.0004161901,0.0004006365,0.0003921341,0.0003829942,0.0003701722,0.0003628877,0.0003491841
4,1,0.1583674,0.1415011,0.124784,0.1092357,0.09182151,0.07767187,0.06382905,0.05051791,0.0399587,0.03152053,0.02617919,0.02144013,0.0164155,0.01411107,0.01173774,0.01010407,0.008852687,0.007425996,0.006103952,0.005004068,0.004030935,0.003358942,0.003121553,0.003058219,0.003076487,0.003142261,0.003242399,0.00414324,0.004085867,0.003925688,0.003775483,0.003626165,0.003528066,0.003440892,0.003343367,0.003239753,0.003143664,0.003055644,0.002995012,0.002925587,0.002797493,0.002706599,0.002605814,0.002556385,0.002473247,0.002403323,0.002353295,0.002259373,0.00220396,0.002155079,0.002105231,0.00204259,0.001960139,0.00190805,0.001863423,0.001818672,0.0017609,0.001702018,0.001648656,0.001598131,0.001551252,0.001525772,0.00147329,0.001431943,0.001388995,0.001349797,0.001313639,0.001286564,0.001241073,0.001203896,0.001176308,0.001141789,0.001103199,0.001061147,0.001041937,0.001008129,0.0009871363,0.0009556994,0.0009197305,0.0009067656,0.0008848959,0.0008518913,0.0008245202,0.0008024319,0.0007763945,0.0007609006,0.0007286242,0.0007149362,0.0006956067,0.000670167,0.0006525663,0.0006364447,0.0006166574,0.000600854,0.000582492,0.0005675872,0.0005465716,0.0005329053,0.0005246967,0.0005039419,0.0004904763,0.0004706121,0.0004629605,0.0004491421,0.0004357256,0.000425129,0.0004135391,0.0003985272,0.0003844927,0.000377162,0.000364758,0.0003535697,0.0003475071
5,1,0.1502275,0.13472,0.1207362,0.1062437,0.09319629,0.07818051,0.06613022,0.0546641,0.04330591,0.03405394,0.0270972,0.02231961,0.01832999,0.01585297,0.01352172,0.0112788,0.00967834,0.008459637,0.007102074,0.005855938,0.004795929,0.003846616,0.003211655,0.002993274,0.002930653,0.002952658,0.003006723,0.003126604,0.003963686,0.003905243,0.003770965,0.003614758,0.003482877,0.003376677,0.003300333,0.003212694,0.003112665,0.003002476,0.002929191,0.002872306,0.002796117,0.002681521,0.002599738,0.002485902,0.002445547,0.002370727,0.002304187,0.002250799,0.002168334,0.002101776,0.002065803,0.002022072,0.001963309,0.001878102,0.001832198,0.001786581,0.001742823,0.001689877,0.00163745,0.001587427,0.001540252,0.001485036,0.001467784,0.001421017,0.001377393,0.001327307,0.001290079,0.00125498,0.001229563,0.00118525,0.001153424,0.001123463,0.001095992,0.001055582,0.001015481,0.0009974783,0.0009656365,0.0009476183,0.0009150752,0.0008846677,0.0008674681,0.0008437611,0.0008156043,0.0007894572,0.0007728408,0.0007496722,0.0007289627,0.0007003295,0.0006832293,0.0006693917,0.0006434881,0.0006256979,0.0006101691,0.0005912353,0.0005755541,0.0005597216,0.0005460013,0.0005249169,0.0005107265,0.0004974036,0.0004847575,0.0004707617,0.0004506914,0.0004448068,0.0004303075,0.0004184471,0.0004076951,0.0003972591,0.0003836033,0.0003695676,0.0003610136,0.0003517452,0.0003411637
6,1,0.1452806,0.1284766,0.1153954,0.1035233,0.09084873,0.07944287,0.06682797,0.05626503,0.04671887,0.03698622,0.02907866,0.0231253,0.01908383,0.01762374,0.01523173,0.01295302,0.01079088,0.009226355,0.008105249,0.006826317,0.005622315,0.004597483,0.003687863,0.003078179,0.002858408,0.002802428,0.002828191,0.002885623,0.002997966,0.003793326,0.003756206,0.003595795,0.003464272,0.003340203,0.003231132,0.003170784,0.003084308,0.002978375,0.002887492,0.002802285,0.002749712,0.002684903,0.002560426,0.002496813,0.00239652,0.002346123,0.002273163,0.002206189,0.002152777,0.002077043,0.002017647,0.00197665,0.001935919,0.001886223,0.001804272,0.001752615,0.00171196,0.001668786,0.001625432,0.001571278,0.001521825,0.001474058,0.001424631,0.001398698,0.001362448,0.001316151,0.0012739,0.001238413,0.001202966,0.001179329,0.001137376,0.001105188,0.001084431,0.00105228,0.001014912,0.0009736224,0.0009576106,0.0009263142,0.0009072588,0.0008803022,0.0008474135,0.0008333454,0.0008121253,0.0007861052,0.0007587356,0.0007466923,0.0007154176,0.0006990772,0.0006728605,0.0006569134,0.0006395136,0.0006192242,0.0005998284,0.0005828455,0.0005678018,0.0005505084,0.0005379086,0.0005218821,0.0005039339,0.0004884953,0.000477494,0.0004656332,0.0004529732,0.0004315395,0.0004244744,0.0004099,0.0004012899,0.0003907896,0.0003796268,0.0003670697,0.0003540594,0.0003448136,0.0003367309
7,1,0.1451334,0.1245717,0.110336,0.09890201,0.08880842,0.07781244,0.06805071,0.05727072,0.04883998,0.04003831,0.0318015,0.02501917,0.01975883,0.01831874,0.01691404,0.01456769,0.01240214,0.01034136,0.008899639,0.007805716,0.006551335,0.00538584,0.00437344,0.00352056,0.002954077,0.002743889,0.002698015,0.002708188,0.002754884,0.002871693,0.003632617,0.003590905,0.003448017,0.003328441,0.003198381,0.003100584,0.003044254,0.0029557,0.002842725,0.002766235,0.002691181,0.002646871,0.002558913,0.002464882,0.00238801,0.002296081,0.002250958,0.002169972,0.002113696,0.002068074,0.001979572,0.001934081,0.001884169,0.001858114,0.00180597,0.001728551,0.001682196,0.00163966,0.001606123,0.001559682,0.00150177,0.001447393,0.001414458,0.001366972,0.001345294,0.001301237,0.001260536,0.001216853,0.001185454,0.001154165,0.001128342,0.001090801,0.001063406,0.001035049,0.001008193,0.0009709003,0.000929819,0.0009170886,0.0008844822,0.0008681531,0.0008434851,0.0008094116,0.0007990115,0.0007789467,0.0007532784,0.0007259111,0.0007132729,0.0006857891,0.000669038,0.0006449378,0.0006264612,0.0006113865,0.0005933608,0.0005729471,0.0005573101,0.0005405216,0.0005303861,0.0005159929,0.0005016741,0.0004830921,0.0004693809,0.0004582895,0.0004460745,0.0004335155,0.0004147404,0.0004061293,0.0003944498,0.0003830923,0.0003740205,0.0003653025,0.0003530933,0.0003379047,0.0003306441
8,1,0.1513726,0.1244915,0.1061918,0.09466915,0.08444931,0.0759886,0.06670118,0.05831826,0.04900486,0.0416978,0.03428066,0.02718799,0.02148218,0.01908065,0.01761357,0.01611919,0.01387104,0.01190101,0.009928348,0.008511359,0.007445681,0.006273224,0.005147581,0.0042003,0.003398163,0.002829226,0.002627312,0.002573476,0.002590189,0.002641456,0.002746426,0.00349366,0.003428583,0.003301871,0.00319415,0.003071558,0.002969363,0.002907675,0.002817459,0.002736093,0.002650314,0.002566851,0.002529779,0.002458695,0.002356374,0.002287549,0.002200339,0.002156711,0.002080562,0.00202496,0.001979737,0.001904039,0.001855012,0.001806938,0.001779986,0.001728423,0.001660656,0.001610674,0.001567528,0.001534393,0.001493867,0.00144026,0.001387112,0.001352472,0.001306184,0.001286023,0.00124866,0.001210255,0.001165638,0.001134564,0.001104714,0.001081506,0.001042393,0.001013423,0.0009936674,0.0009656895,0.0009259682,0.0008873616,0.0008786331,0.0008452639,0.0008338742,0.0008079375,0.000775622,0.0007650391,0.0007478997,0.0007217803,0.0006952452,0.0006845943,0.0006578538,0.0006423454,0.0006168046,0.0006014014,0.0005866666,0.0005683451,0.0005501771,0.000534414,0.0005179485,0.0005043079,0.0004939348,0.0004798662,0.0004616537,0.0004486676,0.0004395776,0.0004256937,0.0004135877,0.0003963578,0.0003897893,0.0003780824,0.0003686892,0.0003595062,0.0003497144,0.000338592,0.0003240072
9,1,0.1629353,0.1291509,0.1060911,0.09063086,0.08104514,0.07256798,0.06507598,0.05693704,0.04993425,0.04173512,0.03570161,0.02920034,0.02330759,0.02055495,0.01826629,0.01680783,0.01541409,0.01335064,0.01143407,0.009473418,0.008158166,0.007134437,0.006004252,0.004897199,0.004030949,0.003235062,0.002702098,0.002512164,0.002466072,0.002468911,0.002530587,0.002626062,0.0033327,0.003284563,0.00317079,0.003047888,0.00293598,0.002835593,0.002781507,0.002700998,0.0026051,0.002535939,0.002469933,0.002421847,0.002347468,0.002250608,0.002189964,0.00210226,0.002059095,0.001995968,0.001935836,0.001893951,0.001819256,0.001774945,0.001730123,0.001700575,0.001652678,0.001584904,0.001539228,0.001499234,0.001474092,0.001422274,0.001380881,0.001326516,0.001294115,0.001247678,0.001232812,0.001190673,0.001152808,0.001115083,0.001088044,0.001055207,0.00103688,0.0009934744,0.0009753727,0.0009513726,0.000924107,0.0008878948,0.0008518252,0.0008420536,0.0008097481,0.0007965121,0.0007711129,0.0007442844,0.0007296017,0.0007149357,0.0006886168,0.0006627193,0.000654281,0.0006290083,0.0006149696,0.0005908148,0.0005737325,0.0005632091,0.0005422427,0.0005249054,0.0005125281,0.0004965906,0.0004859037,0.0004727804,0.0004601711,0.0004420739,0.0004293489,0.000420009,0.0004097508,0.0003970107,0.0003801098,0.0003736539,0.0003605006,0.0003534805,0.0003411954,0.0003353645,0.0003226879
