"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,112
Timestep, Region,"king mackerel juv"_0,"king mackerel juv"_1,"king mackerel juv"_2,"king mackerel juv"_3,"king mackerel juv"_4,"king mackerel juv"_5,"king mackerel juv"_6,"king mackerel juv"_7,"king mackerel juv"_8,"king mackerel juv"_9,"king mackerel juv"_10,"king mackerel juv"_11,"king mackerel adult"_12,"king mackerel adult"_13,"king mackerel adult"_14,"king mackerel adult"_15,"king mackerel adult"_16,"king mackerel adult"_17,"king mackerel adult"_18,"king mackerel adult"_19,"king mackerel adult"_20,"king mackerel adult"_21,"king mackerel adult"_22,"king mackerel adult"_23,"king mackerel adult"_24,"king mackerel adult"_25,"king mackerel adult"_26,"king mackerel adult"_27,"king mackerel adult"_28,"king mackerel adult"_29,"king mackerel adult"_30,"king mackerel adult"_31,"king mackerel adult"_32,"king mackerel adult"_33,"king mackerel adult"_34,"king mackerel adult"_35,"king mackerel adult"_36,"king mackerel adult"_37,"king mackerel adult"_38,"king mackerel adult"_39,"king mackerel adult"_40,"king mackerel adult"_41,"king mackerel adult"_42,"king mackerel adult"_43,"king mackerel adult"_44,"king mackerel adult"_45,"king mackerel adult"_46,"king mackerel adult"_47,"king mackerel adult"_48,"king mackerel adult"_49,"king mackerel adult"_50,"king mackerel adult"_51,"king mackerel adult"_52,"king mackerel adult"_53,"king mackerel adult"_54,"king mackerel adult"_55,"king mackerel adult"_56,"king mackerel adult"_57,"king mackerel adult"_58,"king mackerel adult"_59,"king mackerel adult"_60,"king mackerel adult"_61,"king mackerel adult"_62,"king mackerel adult"_63,"king mackerel adult"_64,"king mackerel adult"_65,"king mackerel adult"_66,"king mackerel adult"_67,"king mackerel adult"_68,"king mackerel adult"_69,"king mackerel adult"_70,"king mackerel adult"_71,"king mackerel adult"_72,"king mackerel adult"_73,"king mackerel adult"_74,"king mackerel adult"_75,"king mackerel adult"_76,"king mackerel adult"_77,"king mackerel adult"_78,"king mackerel adult"_79,"king mackerel adult"_80,"king mackerel adult"_81,"king mackerel adult"_82,"king mackerel adult"_83,"king mackerel adult"_84,"king mackerel adult"_85,"king mackerel adult"_86,"king mackerel adult"_87,"king mackerel adult"_88,"king mackerel adult"_89,"king mackerel adult"_90,"king mackerel adult"_91,"king mackerel adult"_92,"king mackerel adult"_93,"king mackerel adult"_94,"king mackerel adult"_95,"king mackerel adult"_96,"king mackerel adult"_97,"king mackerel adult"_98,"king mackerel adult"_99,"king mackerel adult"_100,"king mackerel adult"_101,"king mackerel adult"_102,"king mackerel adult"_103,"king mackerel adult"_104,"king mackerel adult"_105,"king mackerel adult"_106,"king mackerel adult"_107,"king mackerel adult"_108,"king mackerel adult"_109,"king mackerel adult"_110,"king mackerel adult"_111,"king mackerel adult"_112
0,Ecosim Base Values,0,2.599176E-05,0.0001988311,0.0006418228,0.001455413,0.002720003,0.004498467,0.006838393,0.009774107,0.01332845,0.01751439,0.02233643,0.02779186,0.0338719,0.0405627,0.04784615,0.05570073,0.06410213,0.07302384,0.0824378,0.09231461,0.1026242,0.1133359,0.124419,0.1358427,0.1475767,0.159591,0.1718563,0.1843441,0.1970266,0.209877,0.2228695,0.2359794,0.249183,0.2624576,0.2757818,0.2891353,0.3024987,0.3158539,0.3291838,0.3424724,0.3557047,0.3688668,0.3819455,0.3949289,0.4078058,0.420566,0.4332,0.4456993,0.4580559,0.4702629,0.4823138,0.4942027,0.5059249,0.5174755,0.5288508,0.5400474,0.5510623,0.5618932,0.572538,0.5829951,0.5932635,0.6033424,0.6132312,0.6229298,0.6324383,0.6417572,0.6508872,0.6598291,0.6685841,0.6771534,0.6855386,0.6937413,0.7017633,0.7096066,0.7172732,0.7247654,0.7320853,0.7392353,0.7462179,0.7530355,0.7596909,0.7661864,0.7725248,0.7787088,0.784741,0.7906243,0.7963613,0.8019549,0.8074078,0.8127227,0.8179024,0.8229497,0.8278673,0.8326579,0.8373242,0.8418691,0.8462948,0.8506044,0.8548002,0.8588849,0.862861,0.866731,0.8704975,0.8741629,0.8777294,0.8811996,0.8845757,0.8878601,0.8910549,0.8941624,0.8971847,0.9503921
1,1,9.999945E-11,9.629574E-06,7.527359E-05,0.000241957,0.0005591438,0.001056176,0.001776249,0.002783495,0.004069558,0.005682566,0.007870632,0.010154,0.01332161,0.09549383,0.1916924,0.3164931,0.4276917,0.5632808,0.6571162,0.7687443,0.8666825,0.9805759,1.09439,1.149005,1.275575,1.363056,1.426846,1.521204,1.550193,1.726454,1.777611,1.853379,1.992976,2.124547,2.290202,2.217028,2.364488,2.520926,2.606704,2.743542,2.786183,2.800932,2.864494,3.121731,3.158393,3.311243,3.249039,3.287967,3.305744,3.449591,3.631342,3.686672,3.579206,3.747903,3.939926,3.968671,4.198622,4.055067,3.973045,4.251081,4.296175,4.361993,4.360138,4.440187,4.328788,4.621673,4.462069,4.637688,4.730992,4.813637,4.901093,4.997309,4.970763,4.860348,4.836988,5.08405,5.018225,5.021434,5.02001,5.249305,5.234163,5.31814,5.069435,5.487654,5.406074,5.340481,5.486476,5.353149,5.494198,5.555273,5.627265,5.545221,5.448182,5.671831,5.883464,5.572981,5.708927,5.947039,5.762097,5.787872,5.936017,5.766014,5.700721,5.899286,5.844923,6.204784,5.946551,6.172688,6.097841,5.905858,6.15137,5.87927,6.509054
2,1,9.970532E-11,9.449479E-06,7.135584E-05,0.0002311211,0.0005271801,0.001003033,0.00166954,0.002571441,0.003756278,0.005242959,0.00704643,0.009389703,0.0119777,0.07597067,0.1596483,0.2562481,0.3802673,0.4900798,0.6243198,0.7173403,0.8263018,0.9286929,1.040266,1.162885,1.211607,1.342043,1.432561,1.494505,1.590897,1.628404,1.791744,1.851525,1.926546,2.063058,2.19864,2.36775,2.296471,2.444722,2.600087,2.687061,2.819879,2.872985,2.889821,2.939321,3.210194,3.24668,3.379014,3.331342,3.373863,3.387269,3.547608,3.717029,3.779723,3.671241,3.830508,4.031753,4.037282,4.285149,4.150844,4.0661,4.333535,4.401653,4.444653,4.446541,4.533413,4.414979,4.702784,4.5528,4.721911,4.809315,4.902172,4.981218,5.077468,5.042821,4.941641,4.913639,5.159891,5.113606,5.125964,5.114785,5.350435,5.316326,5.40008,5.162827,5.568152,5.49259,5.443774,5.587327,5.428623,5.592529,5.601498,5.709406,5.63584,5.532126,5.753006,5.96709,5.653274,5.797044,6.034153,5.824723,5.86661,6.016475,5.849488,5.788887,5.993547,5.907041,6.268735,6.014745,6.254954,6.200725,6.005466,6.218751,6.350611
3,1,9.985238E-11,9.15616E-06,7.061489E-05,0.0002221165,0.0005097191,0.0009543038,0.001593732,0.002451229,0.003533483,0.004910928,0.006568472,0.008584823,0.01105719,0.06268595,0.1263779,0.2105539,0.3052571,0.4270328,0.5344654,0.6630484,0.7569025,0.8596085,0.9632256,1.072793,1.194022,1.243438,1.368179,1.461112,1.524886,1.613954,1.665528,1.819078,1.879593,1.949749,2.087259,2.217237,2.382187,2.315093,2.46437,2.618844,2.696432,2.835253,2.88892,2.900058,2.949122,3.223555,3.251969,3.367558,3.34445,3.373242,3.394614,3.553497,3.716752,3.76567,3.673336,3.819341,4.032557,4.038638,4.254059,4.135437,4.061669,4.312315,4.395125,4.429206,4.418386,4.519524,4.409767,4.679533,4.528436,4.690825,4.795507,4.881121,4.928719,5.050344,5.022877,4.925491,4.88798,5.116263,5.085836,5.100465,5.08285,5.314422,5.283561,5.348786,5.128551,5.524579,5.461543,5.409032,5.548341,5.39239,5.556582,5.562044,5.636037,5.584749,5.490831,5.710595,5.902383,5.63275,5.736368,5.978405,5.78247,5.822533,5.958934,5.806182,5.760807,5.95202,5.855059,6.188091,5.977858,6.221403,6.138816,5.960773,6.473023
4,1,9.970532E-11,8.706136E-06,6.719401E-05,0.0002169835,0.000489431,0.0009216595,0.001535002,0.002342723,0.003397006,0.004664361,0.00626297,0.00807573,0.01022726,0.05410742,0.1085097,0.1712983,0.2545497,0.3464616,0.4648899,0.5672774,0.6931204,0.7855386,0.8811998,0.9843158,1.091197,1.212351,1.26258,1.38409,1.468964,1.537251,1.622405,1.67862,1.829244,1.879187,1.950385,2.088492,2.21323,2.371273,2.304663,2.462474,2.609644,2.676154,2.812047,2.867876,2.886117,2.925702,3.187038,3.22023,3.330276,3.317068,3.347461,3.375257,3.520208,3.672316,3.735457,3.633928,3.77308,3.966089,3.982332,4.198979,4.083119,4.007408,4.238682,4.33752,4.361671,4.368003,4.457779,4.356035,4.601258,4.469359,4.620616,4.714344,4.80377,4.855146,4.964308,4.944459,4.847388,4.814679,5.019089,4.994739,5.023802,5.011569,5.226616,5.176396,5.243641,5.050148,5.407934,5.371079,5.315533,5.44219,5.288522,5.464114,5.471162,5.552221,5.486353,5.378249,5.579612,5.801629,5.531204,5.638374,5.857224,5.681843,5.703408,5.84905,5.709783,5.656892,5.836006,5.750721,6.057607,5.880354,6.101081,5.986249,6.118242
5,1,9.970532E-11,8.283819E-06,6.547946E-05,0.000208479,0.0004772823,0.0008901896,0.001476915,0.002267944,0.003266098,0.004490558,0.005945566,0.007714047,0.009683629,0.0524224,0.09823593,0.1548195,0.2175396,0.2989413,0.3884306,0.5067093,0.6047856,0.7245868,0.8160031,0.9056501,1.011555,1.11646,1.231121,1.286415,1.401644,1.487121,1.554649,1.629108,1.690221,1.840732,1.890586,1.956636,2.097455,2.210831,2.371118,2.307985,2.457287,2.599507,2.664069,2.80289,2.857819,2.86382,2.90619,3.165568,3.194964,3.289742,3.290869,3.325266,3.346247,3.493536,3.630456,3.69489,3.598159,3.721276,3.933375,3.942733,4.152615,4.024092,3.974614,4.189787,4.315303,4.286764,4.304473,4.391639,4.301545,4.528019,4.406564,4.542853,4.649681,4.723809,4.771387,4.883316,4.870847,4.777301,4.749009,4.942294,4.91723,4.923775,4.924984,5.139025,5.092232,5.176388,4.963683,5.300791,5.272181,5.227682,5.345693,5.189528,5.370975,5.380759,5.440734,5.389716,5.291494,5.484803,5.691524,5.41908,5.544742,5.764984,5.581415,5.620042,5.741107,5.611303,5.550692,5.726916,5.634858,5.845011,5.775137,5.996232,6.170208
6,1,9.985238E-11,8.379526E-06,6.472287E-05,0.0002024562,0.0004564118,0.0008531801,0.001419292,0.002167386,0.003139636,0.004305978,0.005712608,0.007342703,0.009287038,0.05847608,0.104214,0.1520666,0.213019,0.2749245,0.3568347,0.4465703,0.5673497,0.6588513,0.7749453,0.8659917,0.9478201,1.059618,1.163319,1.279081,1.335041,1.444147,1.536528,1.59863,1.675165,1.741323,1.883644,1.935717,2.003552,2.136068,2.248338,2.40368,2.34039,2.502371,2.627488,2.691731,2.836709,2.887254,2.88947,2.928156,3.191584,3.216414,3.302622,3.308024,3.350785,3.358475,3.511024,3.648947,3.704386,3.614261,3.737663,3.943736,3.951288,4.151238,4.03346,3.972675,4.192421,4.316233,4.288397,4.308848,4.397099,4.308064,4.511519,4.401664,4.540971,4.652967,4.719761,4.75094,4.867113,4.866046,4.76194,4.735185,4.910634,4.901664,4.919394,4.923704,5.129468,5.095039,5.153202,4.944256,5.293471,5.286997,5.184062,5.33349,5.165891,5.338044,5.363358,5.414198,5.360116,5.267371,5.458972,5.653777,5.398589,5.531044,5.724753,5.549937,5.58189,5.689662,5.576137,5.521342,5.674249,5.593507,5.902537,5.737463,6.253625
7,1,9.985238E-11,8.06778E-06,6.647871E-05,0.000195231,0.0004444758,0.0008276511,0.001370739,0.002097378,0.003020792,0.004136645,0.00547,0.007090876,0.008854117,0.07361013,0.126662,0.1762441,0.227351,0.2972906,0.3603334,0.4437402,0.5330377,0.6571289,0.7456441,0.8608978,0.9593771,1.036821,1.155195,1.259763,1.375238,1.433488,1.544895,1.635342,1.69562,1.774812,1.848956,1.991123,2.044937,2.113189,2.240647,2.359787,2.515228,2.458507,2.616214,2.745805,2.794081,2.945812,3.001743,3.002003,3.047774,3.300317,3.338871,3.411979,3.420649,3.472828,3.467402,3.626489,3.758813,3.819956,3.727134,3.853808,4.06709,4.052314,4.263407,4.139132,4.099533,4.30541,4.424313,4.396764,4.416905,4.516071,4.431435,4.618143,4.515655,4.638501,4.773256,4.832629,4.854259,4.974926,4.973895,4.887912,4.849436,4.99302,5.018949,5.031678,5.042865,5.240932,5.201893,5.262517,5.052135,5.406544,5.388295,5.246501,5.453285,5.254404,5.445664,5.442408,5.528992,5.447487,5.400278,5.572415,5.761294,5.5044,5.65023,5.81981,5.669323,5.686474,5.794354,5.698513,5.612214,5.769737,5.690102,5.996884,6.214602
8,1,9.999945E-11,7.379917E-06,5.763625E-05,0.0001987175,0.0004202913,0.0007997481,0.001324588,0.002018574,0.00291068,0.003985293,0.005283441,0.006738096,0.008568756,0.09312602,0.1628492,0.2219657,0.2757863,0.3338034,0.415936,0.4777618,0.5719483,0.6632947,0.7917817,0.8859092,1.002059,1.110162,1.17685,1.31367,1.452563,1.543783,1.599911,1.726948,1.812314,1.872862,1.9513,2.039778,2.184743,2.226611,2.306953,2.447224,2.565607,2.724738,2.655838,2.84435,2.952849,3.001405,3.15795,3.22758,3.221624,3.277467,3.554351,3.570626,3.636533,3.671576,3.712706,3.697098,3.887192,4.01186,4.065536,3.95786,4.099977,4.342277,4.311918,4.515064,4.391467,4.354637,4.573173,4.698316,4.645077,4.68411,4.78539,4.69115,4.879113,4.781946,4.915763,5.062891,5.108055,5.116558,5.24324,5.256973,5.189444,5.116138,5.246161,5.292678,5.310007,5.317816,5.522682,5.48475,5.5478,5.318132,5.686088,5.67041,5.508278,5.745622,5.508842,5.741469,5.696681,5.807462,5.728573,5.667142,5.855278,6.037567,5.780776,5.932202,6.116194,5.96339,5.98514,6.091748,6.020953,5.916061,6.042508,5.976098,6.786436
9,1,9.985238E-11,7.449371E-06,5.474554E-05,0.0001804455,0.0004224005,0.0007795849,0.001282437,0.001948406,0.002809506,0.003860289,0.005098347,0.006555429,0.008161439,0.1152162,0.2076384,0.2815781,0.3508131,0.411996,0.4791557,0.5747866,0.6441397,0.7427508,0.8412752,0.9839297,1.078102,1.201915,1.322411,1.377107,1.537715,1.684642,1.787134,1.83745,1.974278,2.084907,2.137699,2.205435,2.30653,2.476877,2.499555,2.606128,2.727226,2.861015,3.057801,2.957864,3.16544,3.271579,3.318023,3.509451,3.556098,3.586595,3.609518,3.924895,3.906561,3.992694,4.051359,4.053977,4.044838,4.256982,4.381565,4.461756,4.3289,4.466694,4.741013,4.697446,4.8996,4.781923,4.733892,4.984771,5.077837,5.044242,5.085079,5.195768,5.079358,5.287989,5.196931,5.331179,5.486977,5.531246,5.523955,5.678678,5.689124,5.648998,5.555098,5.683379,5.715518,5.722889,5.746723,5.99658,5.934472,5.989959,5.752745,6.129128,6.101127,5.928017,6.191495,5.911748,6.2135,6.13871,6.266181,6.159761,6.115632,6.289751,6.499375,6.240933,6.398988,6.597294,6.409038,6.451662,6.566714,6.513472,6.379507,6.501577,7.005551
