"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,112
Timestep, Region,"king mackerel juv"_0,"king mackerel juv"_1,"king mackerel juv"_2,"king mackerel juv"_3,"king mackerel juv"_4,"king mackerel juv"_5,"king mackerel juv"_6,"king mackerel juv"_7,"king mackerel juv"_8,"king mackerel juv"_9,"king mackerel juv"_10,"king mackerel juv"_11,"king mackerel adult"_12,"king mackerel adult"_13,"king mackerel adult"_14,"king mackerel adult"_15,"king mackerel adult"_16,"king mackerel adult"_17,"king mackerel adult"_18,"king mackerel adult"_19,"king mackerel adult"_20,"king mackerel adult"_21,"king mackerel adult"_22,"king mackerel adult"_23,"king mackerel adult"_24,"king mackerel adult"_25,"king mackerel adult"_26,"king mackerel adult"_27,"king mackerel adult"_28,"king mackerel adult"_29,"king mackerel adult"_30,"king mackerel adult"_31,"king mackerel adult"_32,"king mackerel adult"_33,"king mackerel adult"_34,"king mackerel adult"_35,"king mackerel adult"_36,"king mackerel adult"_37,"king mackerel adult"_38,"king mackerel adult"_39,"king mackerel adult"_40,"king mackerel adult"_41,"king mackerel adult"_42,"king mackerel adult"_43,"king mackerel adult"_44,"king mackerel adult"_45,"king mackerel adult"_46,"king mackerel adult"_47,"king mackerel adult"_48,"king mackerel adult"_49,"king mackerel adult"_50,"king mackerel adult"_51,"king mackerel adult"_52,"king mackerel adult"_53,"king mackerel adult"_54,"king mackerel adult"_55,"king mackerel adult"_56,"king mackerel adult"_57,"king mackerel adult"_58,"king mackerel adult"_59,"king mackerel adult"_60,"king mackerel adult"_61,"king mackerel adult"_62,"king mackerel adult"_63,"king mackerel adult"_64,"king mackerel adult"_65,"king mackerel adult"_66,"king mackerel adult"_67,"king mackerel adult"_68,"king mackerel adult"_69,"king mackerel adult"_70,"king mackerel adult"_71,"king mackerel adult"_72,"king mackerel adult"_73,"king mackerel adult"_74,"king mackerel adult"_75,"king mackerel adult"_76,"king mackerel adult"_77,"king mackerel adult"_78,"king mackerel adult"_79,"king mackerel adult"_80,"king mackerel adult"_81,"king mackerel adult"_82,"king mackerel adult"_83,"king mackerel adult"_84,"king mackerel adult"_85,"king mackerel adult"_86,"king mackerel adult"_87,"king mackerel adult"_88,"king mackerel adult"_89,"king mackerel adult"_90,"king mackerel adult"_91,"king mackerel adult"_92,"king mackerel adult"_93,"king mackerel adult"_94,"king mackerel adult"_95,"king mackerel adult"_96,"king mackerel adult"_97,"king mackerel adult"_98,"king mackerel adult"_99,"king mackerel adult"_100,"king mackerel adult"_101,"king mackerel adult"_102,"king mackerel adult"_103,"king mackerel adult"_104,"king mackerel adult"_105,"king mackerel adult"_106,"king mackerel adult"_107,"king mackerel adult"_108,"king mackerel adult"_109,"king mackerel adult"_110,"king mackerel adult"_111,"king mackerel adult"_112
0,Ecosim Base Values,0.02223703,0.02025324,0.01844643,0.01680081,0.015302,0.01393689,0.01269357,0.01156117,0.01052978,0.009590413,0.008734844,0.007955601,0.007245875,0.007038957,0.006837949,0.006642681,0.006452988,0.006268713,0.0060897,0.005915799,0.005746863,0.005582753,0.005423328,0.005268456,0.005118007,0.004971854,0.004829875,0.004691951,0.004557964,0.004427805,0.004301362,0.00417853,0.004059205,0.003943288,0.003830681,0.00372129,0.003615022,0.00351179,0.003411505,0.003314084,0.003219445,0.003127509,0.003038198,0.002951437,0.002867154,0.002785278,0.00270574,0.002628473,0.002553413,0.002480496,0.002409662,0.00234085,0.002274003,0.002209065,0.002145982,0.0020847,0.002025168,0.001967336,0.001911156,0.00185658,0.001803562,0.001752059,0.001702026,0.001653422,0.001606206,0.001560338,0.00151578,0.001472495,0.001430445,0.001389596,0.001349914,0.001311365,0.001273917,0.001237539,0.001202199,0.001167868,0.001134518,0.00110212,0.001070647,0.001040073,0.001010372,0.0009815192,0.0009534903,0.0009262619,0.000899811,0.0008741155,0.0008491538,0.0008249049,0.0008013484,0.0007784646,0.0007562343,0.0007346388,0.0007136601,0.0006932804,0.0006734827,0.0006542504,0.0006355672,0.0006174176,0.0005997863,0.0005826585,0.0005660197,0.0005498561,0.0005341541,0.0005189005,0.0005040825,0.0004896876,0.0004757038,0.0004621193,0.0004489228,0.0004361031,0.0004236495,0.0004115515,0.01400024
1,0,0.1783596,0.1513163,0.1266911,0.1037582,0.08211813,0.06506387,0.05149466,0.04231459,0.03461943,0.02686148,0.02013384,0.01496122,0.0114536,0.01001521,0.008413168,0.006956482,0.005672719,0.004589106,0.00379896,0.003548077,0.003478541,0.0035002,0.003570829,0.00370369,0.004708212,0.004647343,0.00444627,0.00427766,0.004127989,0.003993774,0.00391412,0.003795645,0.003677369,0.003569487,0.003482134,0.003406636,0.003319066,0.003176947,0.003078607,0.002965946,0.00290942,0.0028096,0.002721013,0.002673526,0.002575991,0.002498944,0.002440148,0.002385033,0.002315802,0.002231199,0.002172646,0.002110053,0.002057488,0.002002598,0.0019394,0.001877812,0.001823724,0.001760683,0.00173136,0.001676513,0.001628748,0.001576901,0.00153004,0.001488887,0.001458913,0.001407111,0.001363981,0.00133342,0.001296645,0.001250045,0.00120577,0.001182557,0.001146808,0.001119848,0.001083468,0.001046248,0.00103039,0.000999738,0.0009679272,0.000936215,0.0009175946,0.0008835546,0.0008615692,0.0008324863,0.000810881,0.0007909674,0.000762229,0.0007417295,0.0007202466,0.0006999447,0.0006818739,0.0006634299,0.0006453824,0.0006228302,0.0006049535,0.0005941788,0.000574076,0.0005588515,0.0005344211,0.0005253993,0.0005092064,0.000495758,0.0004829982,0.0004682154,0.0004542322,0.0004378889,0.0004279317,0.0004158649,0.0004033968,0.0003948793,0.0003811111,0.0003737782,0.0003603277
2,0,0.1752549,0.1521264,0.1288167,0.1082292,0.08889502,0.07041299,0.05566407,0.04400027,0.03623679,0.02971406,0.02300833,0.01728004,0.01279498,0.01099679,0.009623143,0.008078816,0.006676211,0.005446176,0.004403802,0.003647647,0.003405519,0.00333809,0.003357839,0.003424482,0.003553827,0.004512731,0.004459392,0.004269156,0.004107352,0.003963938,0.003834208,0.003759129,0.003644396,0.003529841,0.003424969,0.003342093,0.003271694,0.0031862,0.003048843,0.002955506,0.002845972,0.002791668,0.002697016,0.002612244,0.002565804,0.002471521,0.002398015,0.002342648,0.002290537,0.002224634,0.002141074,0.002084219,0.00202475,0.001975274,0.001923356,0.001861568,0.001802283,0.00174981,0.001689906,0.001663069,0.001609337,0.001563819,0.001513407,0.001468422,0.001428833,0.001400868,0.001350838,0.001309707,0.001280864,0.001245388,0.00120014,0.001155791,0.001134695,0.001100092,0.001075231,0.001040153,0.001004375,0.0009890879,0.0009602567,0.0009296197,0.0008982029,0.0008814129,0.0008485402,0.0008274793,0.0007989012,0.0007786507,0.0007594096,0.0007315243,0.0007118518,0.0006915392,0.0006721207,0.000654667,0.0006368192,0.0006197452,0.0005976017,0.0005803916,0.0005703319,0.0005513367,0.0005364523,0.0005126034,0.0005043995,0.0004888481,0.0004757484,0.0004635789,0.0004496959,0.0004359219,0.0004199899,0.0004107117,0.0003992102,0.0003871694,0.0003790875,0.0003657329,0.0003590364
3,0,0.1678081,0.1479593,0.1290322,0.109001,0.091945,0.07562604,0.05997237,0.04725805,0.03735137,0.03085044,0.02528719,0.01956825,0.01473826,0.01227971,0.01055197,0.009242984,0.007753816,0.00640314,0.00522782,0.004223946,0.003500799,0.003267098,0.003201614,0.003219443,0.003283955,0.003407918,0.004327512,0.004275868,0.004097371,0.003942053,0.003804306,0.003678379,0.003608922,0.00349744,0.003387345,0.003284953,0.003206194,0.003140461,0.003056494,0.002923966,0.002835459,0.002729897,0.002678483,0.002587475,0.002505754,0.002461586,0.002370554,0.002300155,0.002247082,0.002198877,0.002135956,0.002053553,0.001998991,0.001943208,0.001895724,0.001846755,0.001785589,0.00172932,0.001677846,0.001620804,0.001596304,0.0015446,0.001500559,0.001451437,0.001408802,0.001370444,0.001343856,0.001296231,0.001257255,0.001229654,0.001195414,0.001151737,0.001108082,0.001088615,0.001053678,0.001031888,0.0009981183,0.0009632937,0.0009489664,0.0009220784,0.0008921266,0.0008617794,0.0008459843,0.000814443,0.0007944244,0.0007665002,0.0007471087,0.0007280108,0.000701911,0.0006827818,0.000663728,0.00064484,0.0006283714,0.0006111132,0.0005947824,0.0005731211,0.0005566915,0.0005472118,0.0005289707,0.0005147455,0.0004917312,0.0004840876,0.0004690203,0.000456602,0.0004447639,0.00043174,0.0004183744,0.0004025115,0.0003939786,0.0003829942,0.0003714469,0.0003635092,0.0003508952
4,0,0.1588345,0.1419173,0.1250112,0.1094,0.09210638,0.07797641,0.0642413,0.05097248,0.04010404,0.03175281,0.02627053,0.02150813,0.01661928,0.0141492,0.01178096,0.01012295,0.008872672,0.007438549,0.00613538,0.005014963,0.004040109,0.003358942,0.003133133,0.003068831,0.003085043,0.003148188,0.003267948,0.004149147,0.004097214,0.003931336,0.003780802,0.003652152,0.003528069,0.003462708,0.003354875,0.003249119,0.00314854,0.003074399,0.003012727,0.002926162,0.002802571,0.002720058,0.002617611,0.002568223,0.002481264,0.002403323,0.002360231,0.002271826,0.00220396,0.002155079,0.002108776,0.002049449,0.001968588,0.001916606,0.001863423,0.001818672,0.001771971,0.001712146,0.00165809,0.001607802,0.001553846,0.001530612,0.001481813,0.001438647,0.001391606,0.001350637,0.001313639,0.001288219,0.001242768,0.001206862,0.001180112,0.001146378,0.001104851,0.001061509,0.001043563,0.00100985,0.0009900474,0.0009572918,0.0009241397,0.0009100672,0.0008848959,0.0008560442,0.0008260284,0.0008117961,0.0007812905,0.0007621918,0.0007350298,0.000716095,0.0006979755,0.0006732988,0.0006546914,0.0006364447,0.0006184428,0.0006027627,0.0005864695,0.0005703896,0.0005494368,0.0005336484,0.0005246967,0.0005072042,0.0004935494,0.0004713162,0.0004644192,0.0004494536,0.0004379165,0.0004264975,0.000414161,0.000401333,0.0003856435,0.0003777268,0.0003673418,0.000356232,0.000348659
5,0,0.1506707,0.1351192,0.1209156,0.1062437,0.09319629,0.07830731,0.06654561,0.05478026,0.04351378,0.03419571,0.0270972,0.02244859,0.01837879,0.01592449,0.01358421,0.0112988,0.009714176,0.008515368,0.007137856,0.005878271,0.004810505,0.003869722,0.003221649,0.003000658,0.002939997,0.002956009,0.003017075,0.003132182,0.003976705,0.003921194,0.003770965,0.003626121,0.003503552,0.003382096,0.003321432,0.003217186,0.003117119,0.003017687,0.00294471,0.002888886,0.00280479,0.002686219,0.002608306,0.002508972,0.002460712,0.002378022,0.002304187,0.002262558,0.002175971,0.002111356,0.002065803,0.002022072,0.001966377,0.001887542,0.001837433,0.001786581,0.001745691,0.001699368,0.001641426,0.001589769,0.001540252,0.001489052,0.001467784,0.001421017,0.00137801,0.0013335,0.001294891,0.001259066,0.001235127,0.001191052,0.001158183,0.001132152,0.001099556,0.001059005,0.001017595,0.001000507,0.0009672852,0.000949109,0.0009179366,0.0008858028,0.000872464,0.000848968,0.0008211339,0.0007917392,0.0007787172,0.0007496722,0.0007311125,0.0007045469,0.0006864986,0.0006693917,0.0006457212,0.0006276193,0.0006101691,0.0005929137,0.0005781786,0.0005626963,0.0005469915,0.0005267008,0.0005115545,0.00050287,0.0004863956,0.0004732002,0.0004518844,0.0004454325,0.0004309365,0.0004199153,0.0004089313,0.0003972591,0.000384715,0.0003695676,0.0003620196,0.0003523657,0.0003416228
6,0,0.1454946,0.1288803,0.115563,0.1035233,0.09084873,0.07968696,0.06694193,0.05703657,0.04689602,0.03729244,0.02924695,0.02321995,0.01923748,0.01764614,0.01527791,0.01303462,0.01083024,0.00932062,0.008167899,0.0068503,0.005628053,0.004613342,0.003706145,0.003087742,0.002874492,0.002817201,0.002831264,0.002890684,0.003001637,0.003810608,0.003756455,0.003615368,0.003477039,0.003358519,0.003241774,0.003185184,0.003084308,0.002987953,0.002892131,0.002821464,0.002768172,0.002688608,0.002573765,0.002500616,0.002404463,0.002357305,0.002280211,0.002207819,0.0021666,0.002084174,0.002023066,0.001979664,0.001938876,0.001886223,0.001809956,0.001760971,0.00171196,0.001674908,0.001629441,0.001572895,0.001524228,0.001476416,0.001427175,0.001407186,0.001362448,0.00132095,0.00127768,0.001241111,0.001206741,0.001184054,0.001140901,0.001110999,0.001085958,0.001054112,0.001014912,0.0009752057,0.0009588947,0.0009263153,0.0009101478,0.0008803022,0.0008489896,0.0008363916,0.0008145678,0.000787219,0.0007587356,0.0007466923,0.0007189673,0.0007011203,0.0006751737,0.0006578898,0.0006417879,0.0006192242,0.0006016946,0.0005847092,0.000568533,0.0005543914,0.0005395905,0.0005244603,0.0005047785,0.0004900769,0.0004819086,0.0004664385,0.0004536319,0.0004330553,0.0004272283,0.0004129081,0.0004025539,0.0003920151,0.0003809826,0.0003688156,0.0003540594,0.0003469076,0.0003378591
7,0,0.1453471,0.1247552,0.110537,0.09904478,0.08880842,0.07794201,0.06829777,0.05735145,0.04893241,0.0401893,0.03195318,0.02506335,0.01991869,0.01844349,0.01693613,0.0146544,0.01250023,0.01037469,0.008933863,0.007829547,0.006570798,0.00539076,0.004421419,0.003549179,0.00295887,0.002754476,0.002698015,0.002710844,0.002768265,0.002876051,0.00364972,0.003596873,0.003465023,0.003333218,0.003214017,0.003101199,0.003051766,0.0029557,0.002860706,0.002770908,0.002702177,0.002651877,0.002575233,0.002464882,0.002396061,0.002303993,0.002258334,0.002184409,0.002115202,0.002075065,0.001993468,0.001937601,0.001896166,0.001858114,0.001809196,0.001734261,0.001686583,0.00163966,0.001606123,0.001561282,0.001506889,0.001460528,0.001414458,0.001366972,0.001347231,0.0013061,0.001265539,0.001223613,0.001188768,0.001155901,0.001134509,0.00109229,0.001065048,0.001041357,0.001009872,0.0009723531,0.0009342984,0.0009186844,0.0008872588,0.0008723467,0.0008434851,0.0008134175,0.0008013934,0.0007813398,0.000754578,0.0007271416,0.0007157432,0.0006890493,0.0006722586,0.0006469688,0.000630206,0.000615221,0.0005933608,0.0005762065,0.0005600074,0.0005448756,0.000531329,0.0005172762,0.0005026248,0.0004838278,0.0004693809,0.0004614985,0.0004468533,0.0004347433,0.0004147404,0.0004094389,0.0003953259,0.0003856722,0.0003753129,0.0003653025,0.0003534871,0.0003390764,0.0003323138
8,0,0.1513726,0.1246772,0.1069824,0.09480742,0.08495177,0.07620631,0.06685458,0.05861716,0.04918737,0.04195973,0.03445663,0.02739697,0.02148218,0.01908065,0.01767522,0.0162406,0.01403384,0.01198417,0.009940503,0.008562657,0.007506806,0.006299853,0.005159798,0.0042323,0.003398163,0.002834343,0.002638905,0.002583164,0.002594407,0.002650356,0.00275407,0.003493728,0.003442009,0.003318966,0.00319415,0.003077917,0.002969478,0.002923187,0.002830993,0.00274068,0.002654593,0.002586904,0.002540035,0.002466084,0.002359973,0.002295155,0.002203966,0.002163313,0.00209203,0.002025094,0.001986443,0.001907368,0.001855012,0.001815277,0.001779986,0.001734622,0.001660656,0.001614984,0.001569916,0.001539325,0.001495362,0.001442904,0.001398499,0.001354619,0.001308587,0.001290184,0.001250701,0.001212086,0.001172071,0.001139056,0.001106356,0.001086488,0.001045702,0.001020369,0.0009968119,0.0009671993,0.0009309152,0.0008945945,0.0008799167,0.0008493695,0.000835514,0.0008079375,0.0007790704,0.0007672581,0.0007488569,0.0007230046,0.0006962627,0.0006858508,0.0006599171,0.0006440765,0.0006194937,0.0006032982,0.0005893105,0.0005683451,0.0005518423,0.0005362178,0.0005212982,0.0005086811,0.0004954921,0.0004815219,0.0004633148,0.0004493638,0.0004417683,0.0004280292,0.0004164417,0.0003971656,0.0003921481,0.0003783129,0.0003693462,0.0003596172,0.0003501857,0.000338592,0.0003245262
9,0,0.1631753,0.1295501,0.1065616,0.09146317,0.08104514,0.07267677,0.06517016,0.057189,0.05011257,0.04205798,0.03587453,0.02943562,0.02342358,0.02055495,0.01826629,0.01693072,0.01556423,0.01344593,0.01147912,0.009517475,0.008203718,0.007191598,0.006032316,0.004934324,0.0040484,0.003252122,0.002712447,0.00252688,0.002471441,0.00248146,0.002535129,0.00263543,0.003342904,0.003290591,0.003176169,0.003059298,0.002944203,0.002840732,0.002797762,0.002709898,0.002623656,0.002540685,0.002474296,0.002430648,0.002359015,0.002257668,0.002195944,0.002108444,0.002070043,0.002002918,0.001938899,0.001900222,0.00182346,0.001774945,0.001736273,0.001703561,0.001661431,0.001589621,0.001545579,0.001501899,0.001474092,0.001431249,0.001380881,0.001338014,0.001296358,0.001252405,0.0012346,0.001196747,0.00116045,0.001121777,0.001090276,0.001058585,0.001039818,0.001000308,0.0009771271,0.0009545087,0.0009254884,0.0008905589,0.0008559685,0.0008420536,0.0008125002,0.0007996136,0.000773368,0.000745643,0.0007340448,0.0007171945,0.000692101,0.0006664547,0.0006567395,0.0006319461,0.000616767,0.0005928281,0.0005769896,0.0005641544,0.0005441774,0.0005285178,0.0005130343,0.000498942,0.0004866457,0.0004744343,0.0004609852,0.0004435585,0.0004298056,0.0004225627,0.0004097508,0.0003986282,0.0003801098,0.0003753224,0.0003617775,0.0003534805,0.0003443478,0.0003353645,0.0003241082
