"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,112
Timestep, Region,"king mackerel juv"_0,"king mackerel juv"_1,"king mackerel juv"_2,"king mackerel juv"_3,"king mackerel juv"_4,"king mackerel juv"_5,"king mackerel juv"_6,"king mackerel juv"_7,"king mackerel juv"_8,"king mackerel juv"_9,"king mackerel juv"_10,"king mackerel juv"_11,"king mackerel adult"_12,"king mackerel adult"_13,"king mackerel adult"_14,"king mackerel adult"_15,"king mackerel adult"_16,"king mackerel adult"_17,"king mackerel adult"_18,"king mackerel adult"_19,"king mackerel adult"_20,"king mackerel adult"_21,"king mackerel adult"_22,"king mackerel adult"_23,"king mackerel adult"_24,"king mackerel adult"_25,"king mackerel adult"_26,"king mackerel adult"_27,"king mackerel adult"_28,"king mackerel adult"_29,"king mackerel adult"_30,"king mackerel adult"_31,"king mackerel adult"_32,"king mackerel adult"_33,"king mackerel adult"_34,"king mackerel adult"_35,"king mackerel adult"_36,"king mackerel adult"_37,"king mackerel adult"_38,"king mackerel adult"_39,"king mackerel adult"_40,"king mackerel adult"_41,"king mackerel adult"_42,"king mackerel adult"_43,"king mackerel adult"_44,"king mackerel adult"_45,"king mackerel adult"_46,"king mackerel adult"_47,"king mackerel adult"_48,"king mackerel adult"_49,"king mackerel adult"_50,"king mackerel adult"_51,"king mackerel adult"_52,"king mackerel adult"_53,"king mackerel adult"_54,"king mackerel adult"_55,"king mackerel adult"_56,"king mackerel adult"_57,"king mackerel adult"_58,"king mackerel adult"_59,"king mackerel adult"_60,"king mackerel adult"_61,"king mackerel adult"_62,"king mackerel adult"_63,"king mackerel adult"_64,"king mackerel adult"_65,"king mackerel adult"_66,"king mackerel adult"_67,"king mackerel adult"_68,"king mackerel adult"_69,"king mackerel adult"_70,"king mackerel adult"_71,"king mackerel adult"_72,"king mackerel adult"_73,"king mackerel adult"_74,"king mackerel adult"_75,"king mackerel adult"_76,"king mackerel adult"_77,"king mackerel adult"_78,"king mackerel adult"_79,"king mackerel adult"_80,"king mackerel adult"_81,"king mackerel adult"_82,"king mackerel adult"_83,"king mackerel adult"_84,"king mackerel adult"_85,"king mackerel adult"_86,"king mackerel adult"_87,"king mackerel adult"_88,"king mackerel adult"_89,"king mackerel adult"_90,"king mackerel adult"_91,"king mackerel adult"_92,"king mackerel adult"_93,"king mackerel adult"_94,"king mackerel adult"_95,"king mackerel adult"_96,"king mackerel adult"_97,"king mackerel adult"_98,"king mackerel adult"_99,"king mackerel adult"_100,"king mackerel adult"_101,"king mackerel adult"_102,"king mackerel adult"_103,"king mackerel adult"_104,"king mackerel adult"_105,"king mackerel adult"_106,"king mackerel adult"_107,"king mackerel adult"_108,"king mackerel adult"_109,"king mackerel adult"_110,"king mackerel adult"_111,"king mackerel adult"_112
0,Ecosim Base Values,0,2.599176E-05,0.0001988311,0.0006418228,0.001455413,0.002720003,0.004498467,0.006838393,0.009774107,0.01332845,0.01751439,0.02233643,0.02779186,0.0338719,0.0405627,0.04784615,0.05570073,0.06410213,0.07302384,0.0824378,0.09231461,0.1026242,0.1133359,0.124419,0.1358427,0.1475767,0.159591,0.1718563,0.1843441,0.1970266,0.209877,0.2228695,0.2359794,0.249183,0.2624576,0.2757818,0.2891353,0.3024987,0.3158539,0.3291838,0.3424724,0.3557047,0.3688668,0.3819455,0.3949289,0.4078058,0.420566,0.4332,0.4456993,0.4580559,0.4702629,0.4823138,0.4942027,0.5059249,0.5174755,0.5288508,0.5400474,0.5510623,0.5618932,0.572538,0.5829951,0.5932635,0.6033424,0.6132312,0.6229298,0.6324383,0.6417572,0.6508872,0.6598291,0.6685841,0.6771534,0.6855386,0.6937413,0.7017633,0.7096066,0.7172732,0.7247654,0.7320853,0.7392353,0.7462179,0.7530355,0.7596909,0.7661864,0.7725248,0.7787088,0.784741,0.7906243,0.7963613,0.8019549,0.8074078,0.8127227,0.8179024,0.8229497,0.8278673,0.8326579,0.8373242,0.8418691,0.8462948,0.8506044,0.8548002,0.8588849,0.862861,0.866731,0.8704975,0.8741629,0.8777294,0.8811996,0.8845757,0.8878601,0.8910549,0.8941624,0.8971847,0.9503921
1,0,9.999945E-11,9.629574E-06,7.538508E-05,0.0002437844,0.0005614443,0.00105894,0.001782932,0.002787436,0.004086636,0.005711677,0.007870632,0.01026919,0.01338628,0.09565575,0.1919287,0.3165586,0.4279183,0.5648838,0.6584465,0.7703903,0.8676714,0.9817324,1.097496,1.14929,1.276122,1.363697,1.426846,1.521621,1.551772,1.727084,1.778828,1.853766,1.99342,2.125048,2.291055,2.217536,2.365323,2.522931,2.608645,2.758497,2.79166,2.8118,2.864872,3.127412,3.170273,3.312699,3.250121,3.287967,3.306609,3.459541,3.634708,3.700179,3.58656,3.749193,3.950252,3.972976,4.20466,4.063666,3.985238,4.252205,4.316434,4.369435,4.373012,4.440187,4.330598,4.621673,4.471239,4.638611,4.732597,4.813637,4.908999,4.998399,4.97291,4.864437,4.84374,5.092387,5.032658,5.022243,5.026489,5.257067,5.247483,5.319945,5.070963,5.490369,5.423635,5.358126,5.507251,5.356232,5.500646,5.557146,5.642439,5.561381,5.461383,5.672664,5.889622,5.575996,5.713858,5.956522,5.769961,5.794312,5.941176,5.766014,5.717859,5.906826,5.847856,6.221244,5.947768,6.187586,6.11841,5.911882,6.154231,5.889781,6.514817
2,0,9.999945E-11,9.464909E-06,7.135584E-05,0.0002322326,0.0005279282,0.001003033,0.00167435,0.002583269,0.003784891,0.005271155,0.007112194,0.009402907,0.01200624,0.07609797,0.1599679,0.2564865,0.3805413,0.4904135,0.6255907,0.718693,0.8266921,0.9288793,1.041329,1.16339,1.213892,1.342462,1.432561,1.496115,1.591404,1.630025,1.811031,1.851941,1.927023,2.066789,2.201666,2.371508,2.297457,2.446286,2.60168,2.68745,2.840944,2.87343,2.893853,2.943874,3.215194,3.251346,3.379014,3.338818,3.376518,3.392228,3.552778,3.720728,3.779723,3.673271,3.834637,4.038905,4.052048,4.286799,4.152071,4.076456,4.333535,4.445621,4.445693,4.459004,4.533413,4.417109,4.703605,4.555623,4.722589,4.823413,4.902172,4.985849,5.082035,5.05534,4.954142,4.926049,5.168318,5.122741,5.125964,5.122459,5.350435,5.332159,5.401602,5.162827,5.573709,5.508699,5.447638,5.590953,5.435122,5.59589,5.635673,5.714664,5.638165,5.549385,5.754694,5.975353,5.66749,5.799253,6.035622,5.842929,5.872469,6.021924,5.856761,5.805481,5.999583,5.928021,6.284581,6.030106,6.277448,6.201628,6.010957,6.242965,6.350611
3,0,9.999945E-11,9.181977E-06,7.061489E-05,0.0002221165,0.0005121367,0.0009587961,0.001598359,0.002459174,0.003550527,0.004954713,0.006602634,0.008653423,0.01108599,0.06282467,0.1265313,0.2106121,0.3055921,0.427309,0.534653,0.6648677,0.7582716,0.8596085,0.9644039,1.073449,1.195491,1.245633,1.371593,1.461604,1.524886,1.617344,1.666494,1.835012,1.879972,1.950724,2.087785,2.218916,2.390038,2.31599,2.466611,2.622058,2.699394,2.852966,2.890408,2.907573,2.950042,3.223952,3.255738,3.370677,3.344736,3.385597,3.404406,3.559463,3.721368,3.779653,3.676492,3.824328,4.033549,4.041462,4.26721,4.143155,4.070982,4.313565,4.436595,4.429206,4.437551,4.520183,4.41114,4.679533,4.538126,4.697625,4.798569,4.882758,4.949426,5.05154,5.051366,4.926221,4.897671,5.126232,5.094147,5.100465,5.094695,5.316239,5.291792,5.359383,5.130339,5.524579,5.46999,5.415597,5.551881,5.393316,5.559651,5.584666,5.660919,5.587505,5.502766,5.710595,5.921144,5.63275,5.753358,5.980864,5.789059,5.82721,5.963742,5.822525,5.761692,5.954351,5.874768,6.20195,5.982581,6.221403,6.141235,5.971615,6.492595
4,0,9.999945E-11,8.729795E-06,6.736575E-05,0.0002173251,0.0004910162,0.0009255317,0.001540811,0.002358381,0.003403887,0.004686121,0.006279075,0.008090344,0.01032605,0.05413853,0.1086957,0.1713928,0.2546491,0.3467516,0.466098,0.568773,0.6961387,0.7855386,0.8818767,0.9860292,1.092183,1.21274,1.266252,1.385678,1.47351,1.537588,1.622862,1.680929,1.842022,1.885587,1.951923,2.090756,2.213556,2.382596,2.309597,2.463,2.610451,2.681908,2.834052,2.872961,2.887351,2.925702,3.194616,3.224727,3.330276,3.317068,3.352594,3.377017,3.525551,3.675525,3.735457,3.633928,3.776975,3.984059,3.990322,4.205477,4.084208,4.020229,4.249148,4.376678,4.362771,4.371247,4.457779,4.356587,4.606871,4.473742,4.624443,4.722938,4.804472,4.859234,4.965712,5.080432,4.853721,4.823823,5.032689,5.011122,5.023802,5.016473,5.227711,5.199026,5.263253,5.050999,5.41496,5.387753,5.327157,5.44981,5.296832,5.464114,5.484873,5.556447,5.491028,5.402726,5.603444,5.805919,5.531204,5.651494,5.872842,5.684247,5.721529,5.85204,5.720798,5.658644,5.842025,5.759624,6.070227,5.881773,6.10851,6.022691,6.129884
5,0,9.999945E-11,8.333206E-06,6.556295E-05,0.000208479,0.0004772823,0.000891545,0.001483709,0.002268963,0.003276558,0.004499687,0.005945566,0.007737069,0.009702724,0.05247906,0.09834964,0.155007,0.2178427,0.2993174,0.3895228,0.5082376,0.6062734,0.7277015,0.8164018,0.906539,1.012725,1.117385,1.232799,1.288373,1.404733,1.490444,1.554649,1.634217,1.696632,1.852654,1.894701,1.960308,2.098088,2.212816,2.377439,2.310231,2.464195,2.600232,2.666907,2.819993,2.860873,2.868414,2.90619,3.172847,3.198702,3.292094,3.290869,3.325266,3.346958,3.499557,3.635459,3.69489,3.599313,3.736544,3.939034,3.94387,4.152615,4.030651,3.974614,4.189787,4.316895,4.304132,4.312895,4.401766,4.305237,4.537351,4.432532,4.55321,4.65767,4.73128,4.775839,4.887034,5.01582,4.780084,4.7537,4.943099,4.927293,4.947726,4.935834,5.141617,5.117969,5.176388,4.973119,5.321974,5.319328,5.227682,5.353682,5.199865,5.370975,5.393328,5.456084,5.393249,5.304976,5.502099,5.693358,5.435277,5.556009,5.769071,5.585009,5.621767,5.742977,5.620782,5.558022,5.726916,5.640023,5.947825,5.782084,5.997197,6.175522
6,0,9.999945E-11,8.398865E-06,6.480971E-05,0.0002024562,0.0004564118,0.0008554133,0.001422465,0.002185399,0.003144976,0.00432456,0.005728072,0.007359345,0.009329528,0.05848964,0.1042548,0.1526039,0.2133418,0.2762474,0.3576583,0.4470031,0.567445,0.6603193,0.7765006,0.8684739,0.9513825,1.061355,1.201484,1.279448,1.335377,1.450658,1.537602,1.600278,1.676027,1.74277,1.895712,1.939233,2.003552,2.13709,2.249099,2.410413,2.346606,2.55519,2.629467,2.693961,2.885221,2.889456,2.897197,2.929234,3.195501,3.220102,3.307235,3.31502,3.351864,3.358475,3.51741,3.653147,3.704386,3.617506,3.744217,3.944483,3.952498,4.152223,4.03409,3.981579,4.192421,4.319651,4.301876,4.313137,4.404063,4.317176,4.524171,4.429357,4.54296,4.660031,4.719761,4.758184,4.873351,4.997418,4.775869,4.735185,4.911734,4.914044,4.926889,4.925589,5.129468,5.095039,5.158913,4.953097,5.296533,5.288619,5.194972,5.33349,5.168697,5.349481,5.367661,5.426501,5.367701,5.285022,5.467873,5.657194,5.407343,5.532722,5.734881,5.552674,5.594259,5.700741,5.596028,5.524707,5.678142,5.599347,5.902537,5.75124,6.25788
7,0,9.999945E-11,8.082456E-06,7.268971E-05,0.0001953264,0.0004444758,0.0008294979,0.001374157,0.00210032,0.003025659,0.004144331,0.005485023,0.007100359,0.008898325,0.07366589,0.1268347,0.1765076,0.2276558,0.2976222,0.3605599,0.44416,0.5339799,0.6572171,0.7493851,0.863861,0.9613816,1.0396,1.155195,1.294513,1.379129,1.435281,1.553322,1.636609,1.696659,1.777291,1.851985,2.00412,2.047644,2.113189,2.251363,2.360535,2.51818,2.459518,2.691902,2.745805,2.797088,2.992381,3.003022,3.007699,3.048976,3.307958,3.344379,3.412535,3.43362,3.472828,3.467918,3.636609,3.761263,3.819956,3.727134,3.856474,4.069282,4.063182,4.263407,4.139132,4.100739,4.307855,4.432781,4.405539,4.430851,4.524463,4.441842,4.628446,4.539633,4.655159,4.779683,4.834549,4.872196,4.975711,5.100134,4.895896,4.849436,5.005279,5.030861,5.039047,5.043931,5.24365,5.204956,5.267144,5.057799,5.409518,5.397546,5.280869,5.453285,5.27009,5.464846,5.466949,5.529949,5.470814,5.401625,5.574091,5.761294,5.50958,5.652231,5.839903,5.669323,5.702068,5.800322,5.715469,5.627272,5.769737,5.702162,6.000012,6.228896
8,0,9.999945E-11,7.387038E-06,5.800788E-05,0.0001990156,0.0004233466,0.0008020459,0.001326689,0.002028343,0.002917948,0.003999857,0.00530002,0.006770678,0.008568756,0.09312602,0.1628651,0.2227719,0.2784082,0.3344155,0.4161744,0.478789,0.572543,0.6648299,0.7934629,0.8870403,1.002059,1.110831,1.183932,1.314214,1.45355,1.547271,1.603536,1.728867,1.813704,1.877287,1.9513,2.040924,2.2038,2.231891,2.31219,2.447959,2.566282,2.730886,2.661828,2.941403,2.956439,3.004054,3.199454,3.231504,3.228188,3.284579,3.555653,3.573879,3.636533,3.680944,3.712706,3.699251,3.887192,4.014599,4.073009,3.969733,4.102474,4.342981,4.320658,4.516395,4.392166,4.356483,4.574995,4.702061,4.655666,4.692683,4.789922,4.699822,4.889302,4.802815,4.929098,5.06874,5.116343,5.133223,5.244668,5.373152,5.191411,5.116138,5.264955,5.30377,5.317133,5.318971,5.535749,5.486615,5.555181,5.333889,5.700354,5.684512,5.526475,5.745622,5.535907,5.750806,5.738294,5.820447,5.741215,5.669866,5.858914,6.039254,5.785633,5.936941,6.131748,5.965092,5.995669,6.094584,6.022668,5.918139,6.050134,5.976098,6.789515
9,0,9.999945E-11,7.478285E-06,5.514115E-05,0.0001825993,0.0004224005,0.0007811654,0.001284906,0.001954701,0.002815978,0.003880451,0.005118148,0.006581802,0.008179746,0.1152162,0.2076384,0.2817764,0.3517141,0.4133209,0.4796129,0.5765844,0.6451904,0.7436474,0.8430485,0.987417,1.078995,1.20499,1.32294,1.385568,1.538103,1.687876,1.787615,1.842238,1.97787,2.085436,2.138113,2.206682,2.309211,2.503961,2.503179,2.609839,2.73439,2.861357,3.058233,2.959128,3.255129,3.277653,3.324672,3.519685,3.565273,3.590655,3.631753,3.926416,3.912785,3.992694,4.053124,4.062166,4.050643,4.262699,4.392365,4.462325,4.3289,4.477777,4.741013,4.710699,4.901008,4.784507,4.734594,4.996833,5.095516,5.048628,5.092173,5.200826,5.09012,5.302513,5.212449,5.341953,5.4923,5.553568,5.547208,5.678678,5.7982,5.652169,5.564147,5.684868,5.728911,5.741171,5.750258,6.000233,5.938749,6.006161,5.773553,6.139823,6.128167,5.939483,6.196008,5.942371,6.225732,6.281713,6.266974,6.162531,6.116749,6.298902,6.511557,6.25438,6.398988,6.601919,6.409038,6.45842,6.579996,6.513472,6.39188,6.501577,7.015834
