"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,86
Timestep, Region,"lionfish juv"_0,"lionfish juv"_1,"lionfish juv"_2,"lionfish juv"_3,"lionfish juv"_4,"lionfish juv"_5,"lionfish adult"_6,"lionfish adult"_7,"lionfish adult"_8,"lionfish adult"_9,"lionfish adult"_10,"lionfish adult"_11,"lionfish adult"_12,"lionfish adult"_13,"lionfish adult"_14,"lionfish adult"_15,"lionfish adult"_16,"lionfish adult"_17,"lionfish adult"_18,"lionfish adult"_19,"lionfish adult"_20,"lionfish adult"_21,"lionfish adult"_22,"lionfish adult"_23,"lionfish adult"_24,"lionfish adult"_25,"lionfish adult"_26,"lionfish adult"_27,"lionfish adult"_28,"lionfish adult"_29,"lionfish adult"_30,"lionfish adult"_31,"lionfish adult"_32,"lionfish adult"_33,"lionfish adult"_34,"lionfish adult"_35,"lionfish adult"_36,"lionfish adult"_37,"lionfish adult"_38,"lionfish adult"_39,"lionfish adult"_40,"lionfish adult"_41,"lionfish adult"_42,"lionfish adult"_43,"lionfish adult"_44,"lionfish adult"_45,"lionfish adult"_46,"lionfish adult"_47,"lionfish adult"_48,"lionfish adult"_49,"lionfish adult"_50,"lionfish adult"_51,"lionfish adult"_52,"lionfish adult"_53,"lionfish adult"_54,"lionfish adult"_55,"lionfish adult"_56,"lionfish adult"_57,"lionfish adult"_58,"lionfish adult"_59,"lionfish adult"_60,"lionfish adult"_61,"lionfish adult"_62,"lionfish adult"_63,"lionfish adult"_64,"lionfish adult"_65,"lionfish adult"_66,"lionfish adult"_67,"lionfish adult"_68,"lionfish adult"_69,"lionfish adult"_70,"lionfish adult"_71,"lionfish adult"_72,"lionfish adult"_73,"lionfish adult"_74,"lionfish adult"_75,"lionfish adult"_76,"lionfish adult"_77,"lionfish adult"_78,"lionfish adult"_79,"lionfish adult"_80,"lionfish adult"_81,"lionfish adult"_82,"lionfish adult"_83,"lionfish adult"_84,"lionfish adult"_85,"lionfish adult"_86
0,Ecosim Base Values,0,5.666545E-05,0.000427704,0.001362444,0.003049318,0.005625577,0.009185682,0.01378854,0.01946376,0.02621698,0.03403446,0.04288705,0.05273342,0.06352301,0.07519837,0.08769715,0.1009538,0.114901,0.1294708,0.1445956,0.1602087,0.1762452,0.1926425,0.2093402,0.2262809,0.2434101,0.2606766,0.2780321,0.2954316,0.3128334,0.3301988,0.3474921,0.3646809,0.3817353,0.3986284,0.4153358,0.4318356,0.4481083,0.4641368,0.4799058,0.4954022,0.5106146,0.5255334,0.5401505,0.5544596,0.5684552,0.5821335,0.5954916,0.608528,0.6212418,0.6336331,0.6457028,0.6574525,0.6688846,0.6800018,0.6908075,0.7013056,0.7115002,0.7213961,0.7309979,0.740311,0.7493405,0.7580923,0.7665719,0.7747852,0.7827382,0.7904369,0.7978873,0.8050955,0.8120678,0.81881,0.8253284,0.831629,0.8377178,0.8436006,0.8492833,0.8547719,0.8600718,0.8651888,0.8701285,0.8748959,0.8794968,0.8839361,0.8882189,0.8923503,0.8963351,0.9163717
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003717813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088037,0,0,0.5433015,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.116832,0,0,0.6380667,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004615438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.144508,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.161353,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.193828,0.005331344,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002860102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.218289,0.1700466,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,9.820764E-05,0,0,0,0,0,0.0004904157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07613,0.15106,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001107076,0,0,0,0.0004774232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9498564,0.1334824,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001108792,0,0,0,0.0006882237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002191592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8391997,0.1187528,0,0
10,1,0,0,0,0,1.262167E-05,0,0,0,0,0,0,0,0,0,0,0,0.001052102,0,0,0,0,0,0,0,0,0,0,0,0,0.001591709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7411618,0.1053692,0
