"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",188688.717455821
"Number of cells",550

Year,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
1,0.01537172,0.01472654,0.003105156,0.09026489,0.1318108,0.219835,0.1162092,0.0009741589,0.4833626,0.001355767,0.05025145,0.01413499,0.05933921,0.000471148,0.005344655,0.02021404,0.06160748,0.01701809,0.1572821,0.0009007542,0.007492578,0.008131857,0.007769947,0.008218576,0.02679475,0.0008975076,0.006318392,0.01481149,0.02479712,0.05746877,0.07890087,0.02015893,0.01408228,0.009415175,0.002817485,0.0109841,0.02345599,0.006333363,0.02903101,0.0002678888,0.009532635,0.03990085,0.04510269,0.01120514,0.03839044,1.640112,1.835539,1.90741,0.7892243,1.113296,1.05895,0.3559406,0.09035196,3.980177,18.44153,2.274543,1.317838,0.8047668,0.7788537,0.4913872,1.276031,6.429438,2.774611,1.769434,4.860296,20.5502,31.26463,24.59768,6.129154,33.70675,5.207929,10.01195,8.601112,0.4768887,7.096551,13.55224,0.4506581,12.71651,26.59672,14.84743,107.3193,141.3897,374.0294
2,0.01507479,0.01393504,0.002630763,0.09016565,0.118789,0.209861,0.08938079,0.0009012022,0.5152364,0.001274337,0.0462776,0.01562285,0.07480505,0.0004649443,0.006268203,0.02448227,0.0695454,0.01630869,0.1430202,0.0009966642,0.007629568,0.01083858,0.008206214,0.00820027,0.02583025,0.001082028,0.00675283,0.01871463,0.02624896,0.07730047,0.09928139,0.02052511,0.01322129,0.01000874,0.003302294,0.01144683,0.02231997,0.006270777,0.03600876,0.000271015,0.008400085,0.04628044,0.04351931,0.01194445,0.03946238,1.826331,1.837575,2.116795,0.8177403,1.456125,1.161794,0.3223974,0.0887276,4.326049,21.76757,2.108963,0.957766,0.8070652,0.9381289,0.4309013,1.306304,5.063333,3.030649,1.550982,5.202419,21.96916,30.54295,24.09396,5.976297,29.89023,5.246517,9.933494,8.552048,0.4919369,6.266271,13.33172,0.4396036,12.72135,26.56397,14.84616,108.0642,137.7848,372.5946
3,0.014836,0.01267677,0.002258162,0.08608976,0.1063181,0.1938129,0.06642843,0.0008847949,0.577256,0.00116536,0.03894411,0.01556947,0.08479067,0.000445441,0.008438974,0.02553424,0.07216898,0.01521654,0.1274214,0.0009953299,0.008069389,0.009998359,0.01009685,0.006845727,0.0241859,0.00129447,0.007441428,0.02043953,0.03355839,0.08174223,0.1063683,0.02075539,0.01228819,0.01026355,0.003361797,0.01161442,0.02143981,0.006234511,0.04017636,0.001086808,0.008587531,0.05035025,0.04098869,0.01177025,0.0383203,1.855646,1.704817,2.148735,0.8036821,1.43569,1.183125,0.2926193,0.09296179,4.347789,23.02353,1.962136,0.7174062,0.8050177,1.135084,0.3797,1.366282,4.182072,3.185686,1.420954,5.535248,22.72667,29.22882,24.23948,5.931556,29.22782,5.246613,9.982204,8.59402,0.5097763,5.831932,13.79581,0.4191649,12.66719,26.75867,14.93164,111.6464,138.9678,366.2882
4,0.01492353,0.01204703,0.001964578,0.08593404,0.09886686,0.1876824,0.05239477,0.0009020513,0.6184871,0.001217451,0.03412006,0.01605751,0.09631006,0.0004443473,0.009349239,0.02522891,0.07944218,0.01536914,0.1244961,0.0009899297,0.007971438,0.01006438,0.008504992,0.007890222,0.02252778,0.001404935,0.008258323,0.02342499,0.03811267,0.09309325,0.1057437,0.02139869,0.01163839,0.01086702,0.003285686,0.01214193,0.02069286,0.006206424,0.0436788,0.0003207506,0.01002441,0.05639832,0.04033026,0.01177244,0.03963162,1.914915,1.705619,2.265181,0.8187513,1.428462,1.242471,0.2790399,0.09914603,4.515705,24.87153,2.002653,0.5709847,0.8311582,1.406179,0.3732803,1.45823,3.854319,3.425025,1.383812,5.818443,24.34135,29.33729,24.47736,5.944375,30.57581,5.250807,9.905744,8.484539,0.5146542,6.260948,13.53803,0.4159696,11.94052,26.63488,14.81517,112.2534,138.7744,367.0061
5,0.0151064,0.01155561,0.001739933,0.08614086,0.09396552,0.183949,0.04254806,0.0009148971,0.63142,0.001265009,0.03354405,0.01626405,0.1058227,0.0004451479,0.008973115,0.02417276,0.0863438,0.01561829,0.1232345,0.0009972298,0.007869705,0.009682861,0.008493537,0.006461212,0.02260892,0.001406727,0.008334088,0.02662736,0.04437144,0.09533397,0.1114928,0.02222375,0.01167785,0.01153229,0.003146191,0.01267433,0.02013117,0.006219127,0.04703538,0.0003552035,0.01180675,0.06221746,0.03989534,0.01174068,0.04089123,1.969459,1.709371,2.341465,0.8306425,1.449198,1.279402,0.2735446,0.1030732,4.659359,26.48238,1.93657,0.4531891,0.8298593,1.748682,0.3580709,1.489561,3.677364,3.59481,1.35815,5.915075,24.47796,29.51044,24.10493,5.933696,30.13615,5.251327,9.915668,8.487237,0.518359,6.142529,13.38006,0.4136216,11.74343,26.57082,14.79036,111.2835,137.4619,368.5478
6,0.0153474,0.01118917,0.001571785,0.08684027,0.09050035,0.1816802,0.0355543,0.0009350306,0.66618,0.001291816,0.04032317,0.01669591,0.1146518,0.0004379106,0.009163336,0.02318964,0.09270421,0.01594684,0.12299,0.001005147,0.007969853,0.009683135,0.008305588,0.006682051,0.02238872,0.001451857,0.008434826,0.02740363,0.05060319,0.1014245,0.1186718,0.02324624,0.01217016,0.01220679,0.003185184,0.01316334,0.01975685,0.006272281,0.05030616,0.0003688465,0.01332543,0.06790731,0.03957032,0.01176157,0.04228267,1.998477,1.710112,2.384435,0.83978,1.441181,1.30337,0.2772352,0.1056418,4.786694,27.71053,1.895422,0.3648174,0.8300064,2.160734,0.3406871,1.528572,3.519494,3.698527,1.342611,6.002733,24.51556,29.49152,23.99768,5.917134,29.5191,5.247427,9.902007,8.46477,0.5225197,5.856823,13.3986,0.4119763,11.67036,26.51908,14.75732,111.5984,137.0927,366.6496
7,0.01561954,0.01085495,0.001452829,0.08650687,0.08655798,0.1782379,0.03028829,0.0009547432,0.676048,0.001237373,0.05536316,0.01675317,0.12155,0.0004383147,0.009279647,0.02195157,0.09745362,0.01584501,0.1204559,0.0009946247,0.007697506,0.009318183,0.007862772,0.006228132,0.02222952,0.001520172,0.008531306,0.02736203,0.05085856,0.1027579,0.1240441,0.02402877,0.01285064,0.01268018,0.003111209,0.01331584,0.01949383,0.006346074,0.05308245,0.0003761132,0.0142196,0.07200547,0.0391521,0.01145422,0.04257965,1.971462,1.681978,2.356213,0.8303202,1.396441,1.298895,0.2818961,0.1079287,4.817255,28.05991,1.852759,0.3006388,0.8247238,2.72097,0.3214827,1.526001,3.345363,3.758834,1.323625,6.027131,24.49236,29.0755,23.91613,5.90209,29.62012,5.272928,9.939221,8.587562,0.5271333,5.914979,13.61716,0.4083038,11.84441,26.60935,14.78577,112.3928,137.8892,365.8958
8,0.01576112,0.01057046,0.001383836,0.08610958,0.08170427,0.1734335,0.02617747,0.0009585142,0.6945004,0.001267066,0.07442156,0.016578,0.125816,0.0004444346,0.009136029,0.02160041,0.09946647,0.01564039,0.1183191,0.0009886122,0.007661387,0.009180125,0.007788617,0.006077925,0.02204387,0.001552145,0.008697699,0.02777931,0.05131342,0.09976575,0.1276576,0.02446503,0.01329355,0.0128909,0.003173074,0.01335811,0.01918701,0.006398795,0.05441671,0.0004798386,0.01369032,0.07466103,0.03828343,0.01125104,0.04230522,1.930291,1.633686,2.298581,0.8206532,1.399242,1.283886,0.2895964,0.1100501,4.760919,27.96507,1.879948,0.2540412,0.8197615,3.330066,0.3069936,1.519403,3.329579,3.79188,1.298183,5.975254,24.1765,28.58606,23.88959,5.914423,29.59357,5.098826,9.70013,8.397901,0.524396,8.167027,13.19859,0.4009855,12.28573,26.57222,14.78741,110.9512,138.8285,371.0319
9,0.01484891,0.009555027,0.00134671,0.07804429,0.07205424,0.1544252,0.01992171,0.0009409235,0.6809801,0.001329753,0.08362874,0.01428977,0.1192235,0.0004314977,0.008983612,0.01817806,0.08567375,0.01400284,0.1085319,0.0009737807,0.007631806,0.009074253,0.007641882,0.005840385,0.01997344,0.001524374,0.008885092,0.02889676,0.05279328,0.1008601,0.117133,0.02257729,0.01291373,0.01160283,0.002955648,0.0132164,0.01838679,0.006350789,0.05009073,0.001445252,0.0107529,0.07002529,0.03447986,0.01115908,0.03829642,1.839188,1.464865,2.085892,0.7799706,1.415311,1.171891,0.2854817,0.1101573,4.228622,24.64016,1.861055,0.2204924,0.8062782,3.580009,0.2905318,1.434617,3.089336,3.711322,1.242603,5.795008,24.82341,26.96937,24.82636,5.927417,29.36309,5.020578,10.15703,8.800006,0.5498803,5.974478,13.4323,0.361611,11.8875,26.81073,14.81983,110.8029,138.567,367.9731
10,0.01514416,0.00974677,0.001331104,0.0775351,0.06890086,0.1548136,0.01775778,0.0009110744,0.6467205,0.001472671,0.09663042,0.01439343,0.1193514,0.0004446142,0.008883553,0.01736918,0.0900338,0.01435058,0.1137679,0.0009626385,0.00744191,0.008994214,0.007457337,0.005750991,0.01935559,0.001408414,0.008512266,0.02922771,0.05440229,0.1005068,0.1149011,0.02259738,0.01226738,0.01180614,0.002792073,0.01356864,0.01789903,0.006290838,0.04900363,0.0003422342,0.01160383,0.07308134,0.03491997,0.01133514,0.03948601,1.848668,1.515373,2.166119,0.7943811,1.421388,1.23022,0.2890156,0.1252222,4.316038,25.62322,1.990727,0.1955719,0.8692227,3.816138,0.344781,1.529047,2.993947,3.755634,1.234933,5.810611,26.89409,27.68152,24.39892,5.84611,29.61117,5.164948,9.805313,8.406215,0.5215693,5.892717,13.28861,0.3637743,11.6331,26.67416,14.80589,112.0328,137.2399,366.5677
