"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average Other Mortlatiy biomass across modeled area"
"Modeled area km2",188688.717455821
"Number of cells",550

Year,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0001016107,0.0003830433,0,0.002588001,0.001859413,0.005871465,0.002138405,3.444562E-06,0.00204904,2.851284E-05,0.001628016,0.0007426778,0.002930888,1.284151E-06,0.0001206147,0.0007839696,0.003489944,0.0006782691,0.005221855,8.379037E-06,0.0001043876,0.0001495092,0.0002284829,0.0001914266,0.0006600322,1.640746E-05,8.951089E-05,0.0003319826,0.0006068015,0.001938774,0.004631181,0.0003774862,1.662887E-05,0.0002892242,6.495845E-05,0.000331665,2.306095E-05,4.171229E-06,0.0004536465,1.469457E-05,0.000492546,0.001611649,0.0009141493,0.0003002471,0.001706563,0.05028886,0.07671274,0.07404301,0.02150967,0.01489163,0.035483,0.008762043,0.0006883151,0.1417696,0.8550383,0.06408499,0.009073428,0.01307447,0.01164683,0.01001776,0.02874232,0.1283572,0.02762725,0.031052,0.1221625,1.072022,0.7018649,0.5990152,0.1553332,0.5414552,0.1580306,0.3074484,0.2649353,0.0139402,0.07825623,0.2749585,0.0109055,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4.543897E-06,1.349431E-05,0,0.0001091661,5.070936E-05,0.0002197629,3.37807E-05,1.629906E-06,0.00118901,2.997577E-06,3.791529E-05,2.763193E-05,0.0001838593,9.638067E-07,6.777366E-07,2.573169E-05,3.907323E-05,3.048926E-05,0.0002586943,2.993747E-06,3.600143E-05,5.214357E-05,5.60525E-05,5.198993E-05,7.439522E-06,6.126813E-06,3.475645E-05,0.0001102337,0.0001279528,0.0003179761,0.00011524,2.381863E-06,1.877461E-07,1.174879E-05,1.086942E-05,3.433792E-05,2.994529E-07,5.685154E-08,1.229057E-05,1.395481E-23,1.395481E-23,0.0001205048,1.767567E-05,5.287675E-05,8.177993E-05,0.004545965,0.00240528,0.005279297,0.002206985,0.001660575,0.001973966,0.0007776491,1.155308E-05,0.006938728,0.05805345,0.005962653,0.0001261974,0.0007578265,0.0007115072,0.0005813521,0.005208386,0.0108304,0.003911654,0.003804532,0.01698912,0.02289719,0.0670409,0.06651419,0.01004969,0.05894398,0.004221524,0.01029149,0.006470991,0.0007672366,0.0179094,0.03916318,0.0004062955,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.845707E-05,0.0001174008,0,0.0009953863,0.0003112944,0.002110209,0.0002943137,1.491391E-05,0.007894877,2.719301E-05,0.0007696835,0.0003946723,0.002435015,4.474829E-06,7.153807E-05,0.000221583,0.0006738678,0.0003207574,0.00271883,2.244376E-05,0.0001999706,0.0003446322,0.0003875727,0.0003473959,0.0002147339,3.65767E-05,0.0002543053,0.0008391072,0.001847232,0.002937399,0.00271023,4.612261E-05,2.056354E-06,0.0001297345,0.0001107549,0.0003323108,3.995867E-06,6.379603E-07,0.0001098237,1.674578E-22,4.948362E-05,0.001253052,0.0001887659,0.0004757389,0.001066065,0.03686468,0.02917024,0.04880262,0.02030159,0.01480282,0.01900755,0.006437432,0.0001875639,0.07169518,0.577621,0.04623825,0.0002653074,0.0062636,0.008631741,0.004482219,0.0326525,0.08640794,0.04060165,0.02411035,0.1125046,0.3438921,0.5237461,0.4214443,0.08787096,0.4485946,0.04227646,0.1274145,0.07888194,0.007392839,0.1205189,0.3091447,0.003313041,0,0,0,0,0,0
8,0.0009611549,0.000915888,0,0.00738778,0.005257683,0.01650615,0.002755072,3.239734E-06,0.0005324414,0.0001048571,0.007415242,0.002043796,0.0095243,3.060671E-06,0.0002055329,0.002360782,0.01541926,0.001575406,0.01128332,3.478388E-06,4.806502E-05,0.0001042757,0.0001662671,0.000217319,0.001680745,5.624833E-06,2.201711E-05,0.0001139427,0.0003386381,0.0008059317,0.01026529,0.001968889,0.0001221854,0.001358099,8.940598E-05,0.0005149826,0.0002873357,2.924215E-05,0.002862503,0.0002546321,0.00326522,0.007113369,0.003054085,0.0004153732,0.004418532,0.09975839,0.1716213,0.2211826,0.04892832,0.01256136,0.1240498,0.01321296,0.006618954,0.4985444,3.601838,0.1638525,0.0004997937,0.05315593,0.1422716,0.02848243,0.1141241,0.282821,0.1262235,0.05060318,0.2696792,3.569022,1.764377,1.703396,0.465972,1.493577,0.5714968,0.9068988,0.8403922,0.04397953,0.2183785,0.6750112,0.0352419,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8.007907E-05,0.0001476982,0,0.001537078,0.0002719736,0.00302227,0.000335375,1.852073E-05,0.005632186,6.595722E-05,0.002335513,0.0006877538,0.00396353,3.767035E-06,0.0004033456,0.0006623063,0.001282864,0.0005197742,0.004700901,2.235816E-05,0.0002513926,0.0004343952,0.0004918866,0.0005127712,0.0004339105,3.511717E-05,0.0003581472,0.001204683,0.002266846,0.005286832,0.005712024,0.0001136272,3.684074E-06,0.0001928288,0.000141409,0.0005206487,6.396076E-06,1.292383E-06,0.000204517,2.461565E-06,0.0001587013,0.002164602,0.0003524761,0.0007532369,0.001786686,0.06351646,0.05592309,0.08815608,0.03257762,0.02799286,0.03568195,0.00920153,0.0006971993,0.1333546,0.9249961,0.1052897,0.000109885,0.01299513,0.01625507,0.01168913,0.0479615,0.151872,0.04056163,0.03080112,0.1751079,1.266157,0.8778027,0.8445546,0.2280123,0.8195699,0.1285436,0.515945,0.3277432,0.02223216,0.196706,0.7790802,0.003561486,0,0,0,0,0,0
