"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass by region"
"Region 1 area km2",46657.5737708939
"Number of cells",136

Year,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
1,0.0009615852,0.0147172,0.003295992,0.09658936,0.09385375,0.1928811,0.06190826,0.003921867,1.952111,0.002594759,0.06625282,0.01564762,0.05047966,0.001905202,0.0114097,0.008492315,0.02392862,0.02055271,0.2538844,0.003639496,0.02972143,0.03105023,0.01838017,0.009713006,0.002298853,0.003627066,0.02533031,0.0580352,0.07164574,0.1268446,0.06653568,0.0007762697,0.0001126449,0.005389296,0.009053347,0.01429625,0.00023399,3.686318E-05,0.004354546,2.280816E-07,1.256146E-05,0.06175416,0.01571222,0.03518293,0.04546568,3.535398,2.042135,3.33188,1.427176,3.967089,1.169127,0.8124966,0.003381614,5.173583,38.29136,3.911414,1.925807,0.397938,0.3781015,0.4709195,2.580359,10.77892,4.685046,2.89064,13.94148,14.34479,52.82312,37.60355,8.417253,87.15485,2.783839,7.762028,4.650738,0.527221,24.08211,31.56591,0.4256701,49.21266,34.0167,18.8144,433.8204,255.3511,484.5049
2,0.002040768,0.0138387,0.002795825,0.09860104,0.07464425,0.1936675,0.04678044,0.00363306,2.079759,0.002368654,0.05892681,0.01714925,0.06424967,0.001879471,0.01334712,0.02174741,0.02699438,0.02013938,0.2448359,0.004026583,0.0302477,0.04182745,0.02844696,0.01575254,0.00338589,0.004371867,0.02705708,0.07343932,0.09819454,0.2396553,0.1200624,0.0009013466,0.000115624,0.006579312,0.01065885,0.01726606,0.0002515586,3.813854E-05,0.005447378,0,1.703572E-05,0.07135911,0.01534673,0.03719551,0.04696486,4.137125,2.052954,3.740545,1.480992,5.368498,1.293374,0.7310714,0.004066311,5.406637,41.71263,3.700162,1.207571,0.3901072,0.3936411,0.3837008,2.550688,7.555337,4.388434,2.770159,15.10017,16.20828,51.51472,36.23348,7.768137,71.86533,2.610604,7.517179,4.38934,0.5388235,20.81177,30.92802,0.4007324,49.65382,34.10245,18.94022,436.9059,242.1749,478.2578
3,0.003136254,0.0126688,0.002384644,0.09736636,0.05964869,0.1886269,0.03527588,0.003563354,2.32974,0.002170362,0.05020218,0.01723549,0.07076059,0.001800639,0.02094224,0.02777282,0.02887346,0.01942001,0.232324,0.004020236,0.03199711,0.03856135,0.03615484,0.02053187,0.004799029,0.005230288,0.02987609,0.08030418,0.1271003,0.296938,0.18288,0.0009596225,0.0001119821,0.007354113,0.01080271,0.01882857,0.0002548455,3.736684E-05,0.005942207,0,5.511998E-05,0.07789388,0.01440751,0.03674246,0.0465082,4.322584,1.952391,3.885726,1.465419,5.112115,1.333558,0.6734776,0.004726719,5.35459,42.29964,3.518512,0.8343779,0.3776096,0.4325027,0.3343679,2.697952,6.235,3.872087,2.780542,16.51353,17.43081,49.63147,37.15345,7.65143,70.03503,2.661434,7.604839,4.42092,0.5650339,19.13185,32.779,0.3843892,49.64927,34.65107,19.12268,451.4146,246.0358,451.5654
4,0.004168643,0.01174674,0.002046098,0.09828524,0.04891897,0.1867949,0.02794901,0.003631042,2.495552,0.002279846,0.04309028,0.01726837,0.07685094,0.001796745,0.02272669,0.02938371,0.03083908,0.01925723,0.2274393,0.004000141,0.03157587,0.03859295,0.03017922,0.02434855,0.006437026,0.005675659,0.03314281,0.09217825,0.144833,0.3364471,0.1995577,0.0009900137,0.0001093471,0.007912674,0.01039897,0.01984149,0.0002582899,3.776081E-05,0.006363802,0,5.659813E-05,0.08431933,0.01399804,0.03654309,0.04729453,4.444826,1.920448,4.029703,1.48155,4.843688,1.382001,0.6368833,0.005953348,5.387676,42.58641,3.642588,0.6549578,0.3943712,0.5081118,0.333494,2.842506,6.140465,3.81991,2.871095,17.29611,18.12534,49.64343,38.37984,7.676909,74.80032,2.623585,7.539159,4.356904,0.5783786,20.76808,31.90611,0.3784279,46.85366,34.64484,19.03432,453.8767,247.5659,456.3144
5,0.004963484,0.01108261,0.001775104,0.09975642,0.04142439,0.1879503,0.02331134,0.003689581,2.547852,0.002404758,0.04268404,0.01721689,0.08309577,0.001799555,0.02187166,0.02895018,0.0327733,0.01920523,0.2252344,0.004027567,0.03114553,0.03689234,0.02951116,0.01962244,0.00746038,0.005683733,0.03339991,0.1048712,0.16878,0.345276,0.2178985,0.001017457,0.0001088129,0.008369412,0.009764299,0.02062646,0.0002611828,3.859813E-05,0.006706269,0,3.049715E-05,0.09056649,0.01382749,0.03635916,0.04833942,4.585277,1.914392,4.131497,1.499042,4.72559,1.412591,0.6245914,0.007220589,5.520191,42.83955,3.583268,0.5185136,0.3871165,0.609228,0.3240749,2.816994,6.29447,3.729718,2.895176,17.21646,17.91351,49.78185,37.68317,7.652256,73.19506,2.618924,7.579615,4.389821,0.5745839,20.39861,31.41984,0.3740517,46.15906,34.53203,19.05476,449.9573,243.5921,463.6472
6,0.005580334,0.01055683,0.001558278,0.1021046,0.03629517,0.1911074,0.02017312,0.003769194,2.687763,0.00247455,0.05225855,0.01768891,0.08988393,0.001770205,0.02183933,0.02860478,0.03473428,0.01941567,0.2249005,0.004060783,0.03162228,0.03697884,0.02859995,0.01993852,0.006708165,0.005868247,0.03382125,0.1076459,0.1924244,0.3636842,0.2271528,0.001057519,0.0001103779,0.008788495,0.009708758,0.02111718,0.0002655338,3.949928E-05,0.006999461,0,1.791301E-05,0.09709594,0.01371115,0.03641713,0.04987201,4.641287,1.909079,4.192793,1.51546,4.548439,1.437806,0.6351481,0.008599569,5.699916,42.8604,3.565579,0.4206175,0.3826568,0.7152856,0.3094905,2.879295,6.316003,3.588856,2.894844,17.17703,17.94379,49.68286,37.74551,7.609944,70.85571,2.617901,7.580966,4.372434,0.577517,19.28218,31.65217,0.3709918,45.93803,34.4368,19.05246,451.2319,243.3382,456.2118
7,0.006080229,0.009892357,0.001384517,0.1015524,0.03174027,0.1898354,0.01736442,0.003842519,2.727792,0.002397816,0.07131719,0.01750109,0.09209072,0.00177163,0.02210483,0.02722187,0.03523599,0.01893453,0.2187268,0.004017168,0.03058451,0.03584256,0.02742058,0.01839904,0.006352945,0.00614543,0.03423381,0.107859,0.1937651,0.3686749,0.2330023,0.001035305,0.000108132,0.008825752,0.009430275,0.02072816,0.0002601152,3.87754E-05,0.006957482,0,3.272561E-05,0.100206,0.01332764,0.03547676,0.04948207,4.558775,1.856428,4.119519,1.485443,4.304312,1.41281,0.6440002,0.00955557,5.683348,41.27916,3.522243,0.3490622,0.3740106,0.785934,0.2886949,2.830692,6.186222,3.462472,2.866515,17.10144,17.71234,48.65783,37.81073,7.581285,71.59159,2.724519,7.751266,4.856731,0.5854125,19.58519,32.64087,0.3633952,46.63866,34.80821,19.2468,454.4455,247.2866,453.2108
8,0.006439122,0.009444854,0.001245126,0.1043434,0.02854234,0.1911907,0.0156702,0.003863014,2.802604,0.002520449,0.09559568,0.01781539,0.09553683,0.001797088,0.02206155,0.0284459,0.03647491,0.01901215,0.2186498,0.003993856,0.03038225,0.03520903,0.02704939,0.01821017,0.006179684,0.006272811,0.03492695,0.1095102,0.196985,0.3615015,0.2394699,0.001044399,0.0001081403,0.008940189,0.009586323,0.0204752,0.0002595547,3.887688E-05,0.006982281,0,2.592963E-05,0.1038416,0.0132126,0.03518565,0.050161,4.518239,1.846932,4.10947,1.486911,4.256731,1.422158,0.6644804,0.01074193,5.737129,40.86856,3.734775,0.2974193,0.3893261,0.8135914,0.2864941,2.842752,6.65983,3.432117,2.84147,16.98691,17.80095,48.37202,38.61807,7.874981,72.38095,2.566988,7.478626,4.772147,0.5948752,28.04101,31.07604,0.3609687,48.42605,34.2623,18.87369,448.6202,250.906,472.9991
9,0.006710167,0.008836158,0.001134601,0.1023301,0.02567029,0.1934753,0.01367594,0.003792066,2.747161,0.002688528,0.113978,0.01667305,0.09379733,0.001744501,0.0215422,0.02681071,0.03695755,0.01892935,0.218609,0.0039326,0.0302238,0.03471224,0.02651319,0.01755435,0.00573601,0.006159505,0.03563856,0.1138879,0.202667,0.369879,0.2309766,0.001032611,0.0001066843,0.008983908,0.00919108,0.02033796,0.00024194,3.728559E-05,0.006677963,1.58135E-07,2.508058E-06,0.1058578,0.01276595,0.03552996,0.04824182,4.465339,1.810403,4.021253,1.476135,4.267761,1.42872,0.6665654,0.0119911,5.685026,40.50543,3.66119,0.2608266,0.3801138,0.7807128,0.2753714,2.834708,6.903704,3.521589,2.862708,17.23105,17.93164,48.79863,38.30456,7.628695,71.91949,2.600965,7.609779,4.383095,0.5833885,19.6452,31.27777,0.3601394,46.85464,34.66223,19.10399,448.022,243.0417,457.2455
10,0.006710029,0.008368192,0.001045251,0.09753371,0.02286636,0.1940927,0.01211215,0.003673738,2.609102,0.002850949,0.1261663,0.0159426,0.09038496,0.001797817,0.02079128,0.02517111,0.0368075,0.01866001,0.217177,0.00388747,0.02962329,0.03451749,0.02581374,0.01699608,0.005311815,0.005691133,0.03408651,0.1150226,0.2083685,0.3650691,0.2274383,0.001010002,0.0001041169,0.008905555,0.00860054,0.02033104,0.000234179,3.66561E-05,0.006517656,0,5.368524E-06,0.106096,0.01245276,0.0355834,0.04757265,4.396719,1.786671,3.977263,1.46744,4.209949,1.422994,0.6553685,0.01321925,5.552834,40.50212,3.648797,0.2313164,0.3803019,0.7281556,0.2847722,2.834698,6.555869,3.60018,2.849924,17.1094,17.59554,48.82146,37.55532,7.511811,71.34753,2.571484,7.497634,4.321948,0.5747867,19.3961,31.29205,0.3591917,45.92421,34.85527,19.33858,452.9933,243.8805,454.3693
