"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",188688.717455821
"Number of cells",550

TimeStep,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
1,0.01559138,0.0151127,0.003359558,0.0899092,0.1377368,0.2247265,0.1307399,0.0009770587,0.5143526,0.001475628,0.05177883,0.01356662,0.05385821,0.0004195711,0.004397063,0.01983912,0.05791622,0.01731699,0.163419,0.0008878711,0.007665548,0.006640885,0.007844054,0.007477097,0.02839592,0.0008951654,0.005515928,0.01410189,0.02355454,0.04874208,0.07179474,0.02027166,0.01463458,0.009239558,0.002571062,0.01091895,0.02419484,0.006418225,0.02535927,0.0001365449,0.009407129,0.03715616,0.04594855,0.01057445,0.03791405,1.515888,1.794228,1.765394,0.7638193,0.8206035,0.9905464,0.3778259,0.1007999,3.750112,16.44481,2.347308,1.500664,0.7956635,0.7205297,0.5231962,1.458841,7.194066,2.526545,1.940759,5.065605,20.24904,32.02241,28.0951,6.727266,42.5918,5.308918,10.34348,8.792081,0.5035116,9.497962,14.07209,0.4602603,12.88211,25.50785,14.22136,92.81445,155.9836,345.5063
2,0.01554536,0.01504057,0.003309914,0.09026134,0.136877,0.2231722,0.1279334,0.0009870953,0.5059386,0.001433456,0.05141004,0.01367045,0.05406039,0.0004616804,0.00457114,0.01980415,0.0586192,0.01764653,0.1650834,0.0009067761,0.007703766,0.006766885,0.007947997,0.007598218,0.02797884,0.001021199,0.005972268,0.01450748,0.0240147,0.04964004,0.07290073,0.02022743,0.01449621,0.009249127,0.002640547,0.01090845,0.02403611,0.0063823,0.02605098,9.322884E-05,0.007533296,0.03768289,0.0456884,0.01052578,0.03800554,1.546858,1.808374,1.800714,0.7807351,0.906681,1.007301,0.3741381,0.0967617,3.805392,16.47662,2.393209,1.47797,0.8227122,0.7296937,0.5244289,1.452225,7.207002,2.628468,1.974257,5.094756,20.31453,32.14599,28.20511,6.534778,41.7462,5.082424,10.05929,8.647722,0.4879354,10.21751,11.38453,0.455829,11.23168,25.75531,14.34902,84.98875,145.4022,364.1878
3,0.01550182,0.01496904,0.003261358,0.09061276,0.1359113,0.2218379,0.1252151,0.0009904951,0.4857314,0.001411018,0.05111385,0.0137783,0.05428759,0.0004984825,0.004738966,0.01980861,0.05934831,0.01804704,0.1667296,0.0009307071,0.007673192,0.006969124,0.008049271,0.007720414,0.02757424,0.001073449,0.006399341,0.01489856,0.02449007,0.05082577,0.07413655,0.02018998,0.01436867,0.00926235,0.002714507,0.01091037,0.02388425,0.006348534,0.02673578,6.750009E-05,0.006180809,0.0382158,0.0454981,0.01052359,0.03815068,1.58086,1.824657,1.835474,0.7949555,0.9960556,1.024119,0.3707009,0.09368972,3.861239,16.62648,2.420604,1.457791,0.8455112,0.7401378,0.5241807,1.389897,7.196877,2.733421,1.982938,5.004433,20.30228,32.03744,27.20097,6.321489,37.61092,4.936393,9.869719,8.542052,0.4676117,9.270432,10.13723,0.4515101,10.35723,26.42057,14.70813,86.22597,136.1301,386.6044
4,0.01546012,0.01489816,0.003213899,0.09085753,0.1348564,0.2209576,0.1225565,0.0009926514,0.4613268,0.001395633,0.05088666,0.01388748,0.05471515,0.0005171089,0.004919176,0.01984485,0.06008143,0.01837227,0.1672488,0.000933055,0.007664131,0.007196129,0.008068595,0.007833683,0.02724829,0.001048228,0.006676174,0.01512826,0.02490399,0.05223409,0.0754676,0.02015942,0.0142521,0.009282641,0.002779115,0.01092215,0.02373946,0.006320568,0.02741399,6.517835E-05,0.005457088,0.03873643,0.0453828,0.01060253,0.03831594,1.613122,1.839739,1.867227,0.8050261,1.075228,1.039884,0.367162,0.0914484,3.913764,16.89781,2.416877,1.431691,0.8582871,0.7514076,0.5211295,1.308093,7.105568,2.816437,1.964259,4.856583,20.32821,31.7931,25.72904,6.159394,32.75836,4.892266,9.79089,8.525196,0.4535679,7.524011,9.857996,0.4481148,10.03427,26.36424,14.61397,91.23379,130.3338,406.3477
5,0.01541976,0.0148279,0.003167456,0.0909078,0.1337322,0.2204556,0.1199346,0.0009950972,0.4394213,0.001406233,0.05067217,0.01399542,0.0557067,0.0005117681,0.005098062,0.01992149,0.06080616,0.01832132,0.1652921,0.0009140953,0.007616332,0.007490417,0.008097236,0.007956013,0.02691496,0.0009695719,0.006782114,0.01518084,0.02522735,0.05389257,0.07687403,0.02013622,0.01414753,0.009314903,0.002827875,0.01094083,0.02360244,0.00630325,0.02808397,0.000119075,0.00632685,0.03926191,0.04528878,0.01080288,0.03846794,1.640495,1.851211,1.894751,0.8083532,1.135059,1.053431,0.3633416,0.08988912,3.960933,17.3623,2.384166,1.396903,0.855287,0.7617571,0.5143117,1.231066,6.916123,2.864316,1.908667,4.705743,20.36105,31.45815,24.07531,6.000403,28.88847,4.909015,9.647795,8.478491,0.4451768,5.84088,10.39901,0.4460458,10.21587,25.70052,14.26535,98.05235,127.2116,415.1474
6,0.01538043,0.01475821,0.003122011,0.0907637,0.13256,0.2200717,0.1173283,0.0009999189,0.425952,0.001393324,0.05050326,0.01410007,0.05726026,0.0004966793,0.005269468,0.02002018,0.06149712,0.0178672,0.1619557,0.000895157,0.00753087,0.007851577,0.008046858,0.008090989,0.02664119,0.0008726605,0.006736565,0.01504596,0.02536433,0.05591217,0.0780938,0.02012062,0.01405599,0.009358599,0.002859446,0.01096312,0.02347368,0.006299082,0.02874729,0.0002053809,0.009279161,0.03976781,0.04517921,0.011085,0.03857874,1.660719,1.857469,1.917175,0.8043467,1.170626,1.063844,0.3591731,0.08883751,4.001182,18.05101,2.330453,1.354156,0.8357448,0.770285,0.5035363,1.170729,6.64962,2.874124,1.816716,4.581437,20.29069,31.05517,22.46168,5.803297,26.51683,4.973642,9.416926,8.351211,0.4389811,4.687673,11.98141,0.4451908,10.8254,25.74759,14.4614,104.7218,126.5133,407.1729
7,0.01534221,0.01468899,0.003077504,0.09049945,0.1313584,0.2196301,0.1147341,0.0010078,0.4266186,0.001376514,0.05029724,0.01420033,0.05908078,0.0004789756,0.00544881,0.02012872,0.06212481,0.01722999,0.158171,0.0008741035,0.007459631,0.00820554,0.007999359,0.008223956,0.0264154,0.0007798543,0.006578418,0.01479964,0.02539077,0.05759064,0.0798295,0.02011261,0.01397749,0.009409089,0.002875592,0.01098554,0.02335301,0.006304428,0.02940357,0.0002495486,0.01132809,0.04023124,0.0450585,0.01138021,0.03862767,1.672873,1.857782,1.934617,0.7965531,1.184586,1.071567,0.3546613,0.08809467,4.032835,18.79881,2.264436,1.305569,0.8092679,0.7794853,0.4901333,1.13587,6.348436,2.852521,1.715413,4.511241,20.18458,30.68343,21.41537,5.674757,25.74026,5.102636,9.396673,8.279663,0.4384989,4.117061,14.71978,0.4452758,12.06651,26.97744,15.31778,113.8135,130.2857,385.5556
8,0.0153055,0.01462023,0.003033881,0.09018278,0.1301429,0.2190667,0.1121512,0.001004089,0.4443879,0.001355854,0.05003809,0.0142964,0.06099367,0.0004549659,0.005614881,0.02027053,0.06268606,0.01653939,0.1541825,0.0008669309,0.00736787,0.008615049,0.00792696,0.008350866,0.02622032,0.00071584,0.006372981,0.0145672,0.02531827,0.05977922,0.08102418,0.02011204,0.0139105,0.00946346,0.002881862,0.01100655,0.02323972,0.006315367,0.03005227,0.0003278949,0.01257236,0.04066135,0.04493508,0.01163139,0.03861581,1.678244,1.852907,1.948198,0.7873105,1.183603,1.077799,0.3499232,0.08753123,4.056377,19.49565,2.197971,1.255534,0.7835337,0.7914132,0.4759675,1.135285,6.053599,2.815362,1.626882,4.535109,20.22899,30.47362,21.21306,5.677056,26.83637,5.30725,9.758769,8.393176,0.4518318,4.157875,17.54981,0.447177,13.67771,27.73096,15.7107,122.6852,139.4389,362.5984
9,0.01527105,0.0145519,0.002991086,0.08989058,0.128926,0.2183482,0.1095937,0.0009870327,0.4779938,0.001321788,0.04971048,0.01438975,0.06318565,0.0004431883,0.005785634,0.02042497,0.06321833,0.01590719,0.1500346,0.0008679334,0.007342361,0.008946056,0.007790182,0.008497465,0.02610914,0.0007067348,0.006195235,0.01441341,0.0251455,0.06204084,0.08219694,0.02011856,0.01385311,0.009522852,0.002885853,0.01102665,0.02313289,0.006325907,0.0306928,0.0004779652,0.01332012,0.04108968,0.04477911,0.01180023,0.03856343,1.68033,1.844913,1.959859,0.7788695,1.17846,1.083419,0.3451339,0.08710114,4.07324,20.06186,2.145145,1.20952,0.7618687,0.8057559,0.4630217,1.173392,5.799925,2.781933,1.567017,4.673312,20.37474,30.49332,21.87879,5.819296,30.12916,5.509162,10.23717,8.616835,0.479151,4.933921,18.40286,0.4503424,15.13868,28.22081,15.87199,128.1333,149.354,347.5952
10,0.0152399,0.01448407,0.002949116,0.08970401,0.1277196,0.2176117,0.1071034,0.000953008,0.5172112,0.001267124,0.04931645,0.01448282,0.06522565,0.0004400515,0.005962855,0.02059489,0.06374752,0.01551523,0.1461659,0.0008766007,0.007326465,0.009290168,0.007535357,0.008698038,0.02603563,0.0007644088,0.006099158,0.01450296,0.02500422,0.0640498,0.08345551,0.02013187,0.01380393,0.009580543,0.002895853,0.01104698,0.02303215,0.006331792,0.03132454,0.0006034602,0.0129703,0.04153911,0.04462809,0.0118775,0.03849876,1.684125,1.836321,1.972003,0.775875,1.187041,1.089766,0.3404945,0.08681761,4.086685,20.3528,2.117856,1.17048,0.7529172,0.8198501,0.4542663,1.238651,5.618471,2.769709,1.551561,4.890468,20.81068,30.73236,23.3987,6.097448,34.95538,5.586318,10.59908,8.839042,0.5093861,6.580899,16.6549,0.4530808,16.03357,27.90085,15.52105,129.9684,154.5735,344.7037
