"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass by region"
"Region 1 area km2",46657.5737708939
"Number of cells",136

TimeStep,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
1,0.0005572117,0.01513324,0.003555284,0.09444059,0.10447,0.189124,0.07155343,0.003931255,2.077717,0.002820504,0.07038727,0.01503376,0.04304282,0.001696702,0.009426624,0.004198529,0.02242374,0.02025982,0.2527181,0.003585693,0.0305279,0.02512257,0.01339829,0.00775369,0.001943738,0.003618505,0.0221021,0.05506098,0.05231038,0.0890962,0.04720217,0.0007179426,0.0001104418,0.004846854,0.008154291,0.01305791,0.0002245751,3.601045E-05,0.003720544,0,1.167868E-05,0.05726148,0.0154677,0.03301403,0.04431318,3.097178,1.932431,3.033021,1.378705,2.745098,1.07396,0.8705572,0.002929209,4.932044,34.89218,3.99139,2.300804,0.409429,0.3946559,0.5487681,3.371537,12.61169,4.276839,3.139266,14.76528,14.47558,55.12215,51.29623,10.65611,123.5361,3.673084,8.644888,5.688829,0.668348,33.77085,33.74279,0.4580792,49.40443,25.44453,13.54782,375.084,313.0506,370.6875
2,0.0006230814,0.01505681,0.003505466,0.09594088,0.1024302,0.1897114,0.06999245,0.003967317,2.043669,0.002638343,0.06928445,0.01515208,0.04271575,0.001866925,0.009743369,0.004775755,0.02281558,0.02103867,0.2597294,0.003662416,0.03064064,0.0256735,0.01446144,0.008180927,0.001965011,0.004128103,0.02395263,0.05671253,0.05607658,0.0945124,0.05075356,0.0007277934,0.0001108053,0.004917928,0.008425159,0.01324357,0.0002263296,3.611547E-05,0.003845849,0,7.581188E-08,0.05835693,0.01575429,0.0326713,0.04467604,3.217061,1.98198,3.121539,1.417986,3.096039,1.1027,0.8610224,0.00310528,5.014989,34.53986,4.214605,2.291453,0.4766619,0.3882659,0.5614476,3.32996,12.90602,4.596864,3.327381,14.90923,13.59821,55.63552,50.58615,9.585051,119.8804,2.640563,6.487827,4.355254,0.5743911,36.69812,22.97518,0.4447932,42.86011,26.18506,14.102,343.4582,265.2291,427.2634
3,0.0006949839,0.01498092,0.003456513,0.09728902,0.1004609,0.1909349,0.06812659,0.003977866,1.961834,0.00267291,0.06791708,0.01527511,0.04305362,0.002015217,0.01018461,0.005612758,0.02316547,0.02199616,0.2662661,0.00375855,0.03049298,0.02639665,0.01546852,0.00850313,0.002098108,0.004340322,0.0256791,0.05831501,0.06038285,0.09997738,0.05388226,0.0007379559,0.0001112607,0.0049955,0.008711285,0.01346116,0.0002281632,3.644532E-05,0.003970296,0,6.70287E-08,0.05940139,0.0161903,0.03259264,0.0451194,3.343383,2.033623,3.204832,1.447895,3.45814,1.13017,0.8521504,0.003292388,5.097852,34.64384,4.34428,2.279731,0.5242916,0.3795498,0.5629293,3.05719,13.08656,4.919687,3.412318,14.55778,12.8471,55.1275,45.65512,8.552313,102.8246,1.912235,5.0729,3.277941,0.4605011,32.85277,18.04425,0.4293378,39.46512,29.62396,16.12194,348.4796,224.1744,499.699
4,0.0007696854,0.01490538,0.003408456,0.09814161,0.09852011,0.1929222,0.06614149,0.003996621,1.863071,0.002702517,0.06746588,0.01539898,0.04448392,0.002091249,0.01067912,0.006245786,0.02345518,0.02269514,0.2694524,0.003769314,0.03040831,0.02720944,0.01648523,0.008824463,0.002144124,0.004236938,0.02674147,0.05926487,0.06425345,0.1071545,0.05655459,0.0007485049,0.000111777,0.005084957,0.008956125,0.01370065,0.0002300321,3.675021E-05,0.004092611,0,6.343571E-08,0.06032319,0.01656759,0.03289077,0.04554299,3.45815,2.07553,3.274623,1.465655,3.779022,1.153355,0.8427993,0.003444337,5.169361,35.12679,4.341459,2.234436,0.5387053,0.3718402,0.5499444,2.704142,12.92797,5.144677,3.39447,13.96282,12.51651,54.05977,39.32258,7.857588,82.84206,1.592031,4.689478,2.859073,0.381613,25.76217,16.96443,0.4159364,38.29576,32.41616,17.83537,368.7472,199.8376,567.6326
5,0.0008443919,0.01483001,0.00336114,0.098239,0.09658786,0.1944725,0.06422963,0.004011655,1.774449,0.00270012,0.06700077,0.01551984,0.04737962,0.00206965,0.01105199,0.006967666,0.0237016,0.02256515,0.2668875,0.003692529,0.03016619,0.02846473,0.01730936,0.009241966,0.002253085,0.003916681,0.02718093,0.05947323,0.06791449,0.1141122,0.06111106,0.0007593887,0.000112307,0.005192947,0.009133392,0.01395049,0.0002318761,3.701583E-05,0.004211016,0,6.171205E-08,0.06114109,0.01662323,0.03373067,0.04586612,3.55132,2.101015,3.328648,1.465052,4.025488,1.170533,0.8324772,0.00353994,5.224181,36.20046,4.225617,2.148206,0.5079491,0.3660861,0.5218666,2.374292,12.36797,5.219762,3.246084,13.34516,12.55045,52.74437,32.96469,7.348097,66.95575,1.537485,4.980377,2.872985,0.3478139,18.94615,19.03772,0.4075255,39.1447,34.43053,19.32284,396.3352,191.0289,606.3654
6,0.0009174286,0.01475467,0.003314592,0.09774499,0.09466308,0.1950099,0.0623413,0.004023637,1.720467,0.002753764,0.06684411,0.01563396,0.05020351,0.002008582,0.01144178,0.00796851,0.02391061,0.02181215,0.262275,0.003617276,0.02978334,0.02984543,0.01816915,0.009576815,0.002267865,0.003527378,0.02699789,0.05899732,0.0709912,0.1224798,0.06516075,0.0007704969,0.0001128012,0.005313918,0.009238321,0.01419971,0.0002336497,3.716282E-05,0.004324871,0,2.858446E-06,0.06182101,0.01634189,0.03490267,0.04603557,3.615859,2.107588,3.366961,1.451645,4.181614,1.181397,0.8210899,0.003573416,5.257016,37.90858,4.038331,2.028675,0.4385562,0.3626101,0.4821389,2.12138,11.5025,5.137299,2.977679,12.82972,12.85432,51.39783,27.64364,6.898932,57.408,1.721162,5.805675,3.199892,0.3508011,14.30937,25.15581,0.4045048,41.7119,35.99492,20.37407,423.3215,196.8428,597.524
7,0.0009887456,0.01467925,0.003268785,0.09695347,0.09275001,0.194891,0.06048733,0.004062937,1.722824,0.002744365,0.06648651,0.01573857,0.05245754,0.001936845,0.01180832,0.00874278,0.02408782,0.02081694,0.2568716,0.003532233,0.02957121,0.03127822,0.01894453,0.009862094,0.002326881,0.003152118,0.02636692,0.05797334,0.07361133,0.1292877,0.06959703,0.0007817193,0.0001132105,0.005438837,0.009279862,0.01443849,0.0002353133,3.724931E-05,0.004433725,0,1.555633E-05,0.06236722,0.01586568,0.03608742,0.04602939,3.650033,2.096197,3.391175,1.433665,4.253118,1.186813,0.8087688,0.003547822,5.266503,39.66301,3.822711,1.890341,0.3634736,0.3615982,0.4411517,1.981912,10.51401,4.931101,2.688674,12.53469,13.36311,50.33555,24.95738,6.781967,54.53611,2.209345,7.057785,3.812017,0.3865516,12.06271,35.93896,0.4053296,46.79695,39.21405,22.39591,460.1044,218.6949,540.1268
8,0.001060143,0.01460377,0.003223659,0.09611576,0.09086015,0.1943415,0.05861241,0.004042755,1.794671,0.002681675,0.06533892,0.01583413,0.05448799,0.00183973,0.01204352,0.0096566,0.02424792,0.01977662,0.2509385,0.003504834,0.02919305,0.03291242,0.01966903,0.01033727,0.002385885,0.002889833,0.02554524,0.05692094,0.07613337,0.1377791,0.07295102,0.0007929194,0.0001135122,0.005563846,0.009281715,0.01466382,0.0002368498,3.723937E-05,0.004537628,0,3.069102E-05,0.06284515,0.01534081,0.03703636,0.04588559,3.660274,2.072424,3.40645,1.414783,4.264955,1.189894,0.7959504,0.003484801,5.256268,41.13032,3.628005,1.753825,0.3032345,0.3651802,0.4062768,1.989002,9.57199,4.66892,2.456303,12.62209,14.21554,49.94154,25.4927,7.109512,59.30064,3.019788,8.758167,4.763466,0.4644767,12.28458,47.25806,0.4114311,53.33282,41.03927,23.3007,495.9918,256.679,468.577
9,0.001135197,0.0145283,0.00317921,0.0955611,0.08900638,0.1936615,0.05692364,0.003974379,1.930146,0.002588433,0.06510817,0.01592204,0.05652287,0.001792081,0.0123564,0.01051156,0.02442203,0.01887761,0.2442684,0.003507893,0.02913054,0.03435276,0.02058158,0.01063645,0.002382894,0.002853972,0.02483749,0.05647977,0.07913035,0.1455715,0.07572958,0.0008039381,0.0001137101,0.005685386,0.00927594,0.01487909,0.0002382682,3.718085E-05,0.004637196,0,3.056308E-05,0.06335938,0.01501317,0.03751849,0.04567984,3.661156,2.044847,3.420193,1.397055,4.260326,1.193747,0.7831731,0.003416528,5.236198,41.96472,3.503961,1.639181,0.2703327,0.3733469,0.3859947,2.157984,8.81783,4.427832,2.345509,13.17171,15.26854,50.46419,29.35269,7.951094,72.93939,3.827665,10.37089,5.827638,0.5784845,15.44378,50.77556,0.4220902,59.19682,40.74699,22.90283,518.0275,295.2419,418.3137
10,0.001218199,0.01445279,0.003135431,0.09549627,0.08720443,0.193503,0.05561201,0.003842854,2.088546,0.002384326,0.06409817,0.01600575,0.05797937,0.001779145,0.01255373,0.01142469,0.02465124,0.01848749,0.2384395,0.003542597,0.02897609,0.03574074,0.02133088,0.01097943,0.002544597,0.003088944,0.02446387,0.05689159,0.08214979,0.1533187,0.07919662,0.0008146467,0.0001138381,0.005794,0.009296474,0.0150888,0.0002396061,3.703624E-05,0.004733433,1.44132E-06,2.332723E-05,0.06398221,0.01497896,0.03758213,0.04549988,3.672987,2.022959,3.440519,1.395052,4.308994,1.201222,0.7709967,0.003375811,5.215262,41.89319,3.487159,1.557541,0.2728309,0.3837273,0.3829086,2.434364,8.35323,4.276232,2.392322,14.03776,16.28573,51.74861,35.78627,9.031604,92.64435,4.130139,11.15347,6.567774,0.6863099,22.05333,43.93143,0.43257,62.75207,38.83849,21.56404,525.4499,313.1678,403.8402
