"LO"	"HI"	"INIT"	"PRIOR"	"PR_SD"	"PR_type"	"PHASE"	"desc"
0	1.21	0.915603613666818	0.915603613666818	1.4347645753384	6	4	"# NatM_break_1_Fem_GP_1_BLK1add_2005"
0	1.21	0.810334361430944	0.810334361430944	1.62543259985917	6	4	"# NatM_break_1_Fem_GP_1_BLK1add_2006"
0	1.21	0.273532667063162	0.273532667063162	0.548894088289644	6	4	"# NatM_break_1_Fem_GP_1_BLK1add_2018"
0	1.21	0.255704554841386	0.255704554841386	0.663714284450207	6	4	"# NatM_break_1_Fem_GP_1_BLK1add_2019"
0	1.21	0.979227055749548	0.979227055749548	2.1276654981505	6	4	"# NatM_break_1_Fem_GP_2_BLK1add_2005"
0	1.21	0.357059522118678	0.357059522118678	0.608895731930635	6	4	"# NatM_break_1_Fem_GP_2_BLK1add_2006"
0	1.21	0.270523541505894	0.270523541505894	0.546783572242234	6	4	"# NatM_break_1_Fem_GP_2_BLK1add_2018"
0	1.21	0.0981172048914259	0.0981172048914259	0.233442359989772	6	4	"# NatM_break_1_Fem_GP_2_BLK1add_2019"
0	1.21	1.01036900653782	1.01036900653782	2.60017454801784	6	4	"# NatM_break_1_Fem_GP_3_BLK1add_2005"
0	1.21	0.244735149817969	0.244735149817969	0.4205133542525	6	4	"# NatM_break_1_Fem_GP_3_BLK1add_2006"
0	1.21	0.260904073572573	0.260904073572573	0.497743225654855	6	4	"# NatM_break_1_Fem_GP_3_BLK1add_2018"
0	1.21	0.0718606718937277	0.0718606718937277	0.181559054926405	6	4	"# NatM_break_1_Fem_GP_3_BLK1add_2019"
0	1.21	0.974948328814431	0.974948328814431	2.89292809879141	6	4	"# NatM_break_1_Fem_GP_4_BLK1add_2005"
0	1.21	0.238347896704158	0.238347896704158	0.417638185297847	6	4	"# NatM_break_1_Fem_GP_4_BLK1add_2006"
0	1.21	0.265488181916615	0.265488181916615	0.522959762220767	6	4	"# NatM_break_1_Fem_GP_4_BLK1add_2018"
0	1.21	0.0732829153862276	0.0732829153862276	0.196506338863614	6	4	"# NatM_break_1_Fem_GP_4_BLK1add_2019"
0	1.21	0.924597220290028	0.924597220290028	2.74536598647544	6	4	"# NatM_break_1_Fem_GP_5_BLK1add_2005"
0	1.21	0.0884385962040278	0.0884385962040278	0.182624519185286	6	4	"# NatM_break_1_Fem_GP_5_BLK1add_2006"
0	1.21	0.254314050774489	0.254314050774489	0.435004713269181	6	4	"# NatM_break_1_Fem_GP_5_BLK1add_2018"
0	1.21	0.0473475844713314	0.0473475844713314	0.150336808356473	6	4	"# NatM_break_1_Fem_GP_5_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_6_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_6_BLK1add_2006"
